eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668292447	1	{"lClicked":2,"mouseX":709,"mouseY":86,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668324579	2	{"lClicked":1,"mouseX":466,"mouseY":150,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668421889	3	{"lClicked":1,"mouseX":543,"mouseY":179,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668451219	4	{"lClicked":1,"mouseX":413,"mouseY":149,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668482850	5	{"lClicked":2,"mouseX":830,"mouseY":128,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668509879	6	{"lClicked":1,"mouseX":434,"mouseY":150,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668539925	7	{"lClicked":1,"mouseX":451,"mouseY":102,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668618965	8	{"lClicked":2,"mouseX":733,"mouseY":133,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668641678	9	{"lClicked":0,"mouseX":78,"mouseY":229,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668678920	10	{"lClicked":0,"mouseX":203,"mouseY":135,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668704173	11	{"lClicked":1,"mouseX":397,"mouseY":136,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668735794	12	{"lClicked":2,"mouseX":771,"mouseY":174,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668762379	13	{"lClicked":0,"mouseX":150,"mouseY":117,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668795645	14	{"lClicked":1,"mouseX":489,"mouseY":213,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668830566	15	{"lClicked":2,"mouseX":722,"mouseY":127,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668923147	16	{"lClicked":1,"mouseX":424,"mouseY":157,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668951487	17	{"lClicked":2,"mouseX":845,"mouseY":73,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668970276	18	{"lClicked":2,"mouseX":754,"mouseY":169,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668991001	19	{"lClicked":2,"mouseX":769,"mouseY":96,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669010563	20	{"lClicked":1,"mouseX":452,"mouseY":136,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669034608	21	{"lClicked":2,"mouseX":702,"mouseY":95,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669070906	22	{"lClicked":0,"mouseX":143,"mouseY":163,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669094740	23	{"lClicked":2,"mouseX":738,"mouseY":152,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669132711	24	{"lClicked":1,"mouseX":449,"mouseY":146,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669151168	25	{"lClicked":2,"mouseX":768,"mouseY":96,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669168102	26	{"lClicked":1,"mouseX":440,"mouseY":143,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669216054	27	{"lClicked":2,"mouseX":757,"mouseY":162,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669238235	28	{"lClicked":0,"mouseX":112,"mouseY":187,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669256757	29	{"lClicked":0,"mouseX":137,"mouseY":195,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669281516	30	{"lClicked":1,"mouseX":496,"mouseY":160,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669296418	31	{"lClicked":2,"mouseX":696,"mouseY":120,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669398280	32	{"lClicked":1,"mouseX":417,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669415660	33	{"lClicked":2,"mouseX":738,"mouseY":136,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669447262	34	{"lClicked":0,"mouseX":77,"mouseY":221,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669475896	35	{"lClicked":2,"mouseX":689,"mouseY":125,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669493035	36	{"lClicked":0,"mouseX":137,"mouseY":154,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669537881	37	{"lClicked":1,"mouseX":479,"mouseY":95,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669553652	38	{"lClicked":0,"mouseX":175,"mouseY":129,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669572070	39	{"lClicked":2,"mouseX":715,"mouseY":136,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669608810	40	{"lClicked":1,"mouseX":439,"mouseY":171,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669634056	41	{"lClicked":2,"mouseX":698,"mouseY":121,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669647720	42	{"lClicked":1,"mouseX":456,"mouseY":143,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669668999	43	{"lClicked":2,"mouseX":700,"mouseY":132,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669690480	44	{"lClicked":0,"mouseX":244,"mouseY":185,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669706653	45	{"lClicked":2,"mouseX":735,"mouseY":112,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669726292	46	{"lClicked":0,"mouseX":197,"mouseY":87,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669754328	47	{"lClicked":0,"mouseX":134,"mouseY":136,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669784760	48	{"lClicked":1,"mouseX":473,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669802242	49	{"lClicked":2,"mouseX":770,"mouseY":148,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669814991	50	{"lClicked":1,"mouseX":399,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669845028	51	{"lClicked":2,"mouseX":750,"mouseY":138,"condition":{"name":"FAR"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669861603	52	{"lClicked":2,"mouseX":788,"mouseY":142,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669896520	53	{"lClicked":0,"mouseX":201,"mouseY":158,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669919075	54	{"lClicked":0,"mouseX":113,"mouseY":166,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669938306	55	{"lClicked":0,"mouseX":122,"mouseY":142,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669958226	56	{"lClicked":1,"mouseX":468,"mouseY":147,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669982196	57	{"lClicked":1,"mouseX":421,"mouseY":142,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523669997195	58	{"lClicked":0,"mouseX":231,"mouseY":175,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523670017190	59	{"lClicked":0,"mouseX":134,"mouseY":154,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523670032421	60	{"lClicked":2,"mouseX":733,"mouseY":156,"condition":{"name":"SPLIT"}}
