eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721487376	1	{"lClicked":2,"mouseX":763,"mouseY":131,"condition":{"name":"FAR"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721576315	2	{"lClicked":0,"mouseX":143,"mouseY":33,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721602324	3	{"lClicked":2,"mouseX":752,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721640394	4	{"lClicked":1,"mouseX":417,"mouseY":53,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721689877	5	{"lClicked":1,"mouseX":454,"mouseY":106,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721719237	6	{"lClicked":2,"mouseX":701,"mouseY":65,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721761325	7	{"lClicked":1,"mouseX":506,"mouseY":153,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721790852	8	{"lClicked":2,"mouseX":750,"mouseY":118,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721833879	9	{"lClicked":2,"mouseX":801,"mouseY":198,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721890411	10	{"lClicked":2,"mouseX":790,"mouseY":176,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721913421	11	{"lClicked":0,"mouseX":120,"mouseY":137,"condition":{"name":"FAR"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523721957797	12	{"lClicked":0,"mouseX":250,"mouseY":108,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722011950	13	{"lClicked":0,"mouseX":234,"mouseY":48,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722053619	14	{"lClicked":2,"mouseX":741,"mouseY":101,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722105929	15	{"lClicked":1,"mouseX":500,"mouseY":102,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722131835	16	{"lClicked":2,"mouseX":756,"mouseY":113,"condition":{"name":"FAR"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722167799	17	{"lClicked":2,"mouseX":752,"mouseY":154,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722211909	18	{"lClicked":2,"mouseX":761,"mouseY":128,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722238075	19	{"lClicked":0,"mouseX":98,"mouseY":126,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722273579	20	{"lClicked":0,"mouseX":229,"mouseY":38,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722299244	21	{"lClicked":1,"mouseX":470,"mouseY":94,"condition":{"name":"FAR"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722329807	22	{"lClicked":2,"mouseX":732,"mouseY":106,"condition":{"name":"FAR"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722358909	23	{"lClicked":2,"mouseX":713,"mouseY":155,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722388932	24	{"lClicked":0,"mouseX":237,"mouseY":96,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722413102	25	{"lClicked":1,"mouseX":438,"mouseY":127,"condition":{"name":"FAR"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722472140	26	{"lClicked":0,"mouseX":263,"mouseY":94,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722502513	27	{"lClicked":0,"mouseX":112,"mouseY":80,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722542852	28	{"lClicked":1,"mouseX":456,"mouseY":84,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9478-37fd786c-a6c0-4e5c-a448-6cb7cda4ba22	1523722568857	29	{"lClicked":0,"mouseX":169,"mouseY":158,"condition":{"name":"SPLIT"}}
