eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838419308	1	{"lClicked":1,"mouseX":483,"mouseY":168,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838480900	2	{"lClicked":2,"mouseX":755,"mouseY":186,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838571113	3	{"lClicked":1,"mouseX":374,"mouseY":121,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838596073	4	{"lClicked":2,"mouseX":722,"mouseY":148,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838642373	5	{"lClicked":1,"mouseX":454,"mouseY":111,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838666669	6	{"lClicked":0,"mouseX":100,"mouseY":66,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838685268	7	{"lClicked":0,"mouseX":216,"mouseY":150,"condition":{"name":"FAR"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838709640	8	{"lClicked":0,"mouseX":158,"mouseY":156,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838753595	9	{"lClicked":2,"mouseX":737,"mouseY":207,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838776836	10	{"lClicked":2,"mouseX":792,"mouseY":247,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838825479	11	{"lClicked":1,"mouseX":403,"mouseY":124,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838853452	12	{"lClicked":2,"mouseX":769,"mouseY":167,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838884764	13	{"lClicked":1,"mouseX":504,"mouseY":185,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838917170	14	{"lClicked":1,"mouseX":467,"mouseY":138,"condition":{"name":"FAR"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523838953542	15	{"lClicked":2,"mouseX":788,"mouseY":136,"condition":{"name":"FAR"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523839000015	16	{"lClicked":2,"mouseX":809,"mouseY":93,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523839042421	17	{"lClicked":0,"mouseX":170,"mouseY":199,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523839094877	18	{"lClicked":0,"mouseX":152,"mouseY":94,"condition":{"name":"FAR"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523839186417	19	{"lClicked":1,"mouseX":375,"mouseY":85,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8508-190b62fb-5776-469f-8adc-95a66c271fc9	1523839212318	20	{"lClicked":0,"mouseX":180,"mouseY":158,"condition":{"name":"FAR"}}
