eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523898892883	1	{"lClicked":1,"mouseX":403,"mouseY":150,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523898936757	2	{"lClicked":1,"mouseX":421,"mouseY":166,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523898955887	3	{"lClicked":2,"mouseX":761,"mouseY":159,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523898992075	4	{"lClicked":0,"mouseX":74,"mouseY":164,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899055622	5	{"lClicked":2,"mouseX":777,"mouseY":154,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899083432	6	{"lClicked":1,"mouseX":505,"mouseY":133,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899103783	7	{"lClicked":1,"mouseX":397,"mouseY":110,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899126162	8	{"lClicked":0,"mouseX":184,"mouseY":129,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899170383	9	{"lClicked":2,"mouseX":704,"mouseY":117,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899217633	10	{"lClicked":0,"mouseX":146,"mouseY":77,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899238950	11	{"lClicked":0,"mouseX":149,"mouseY":176,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899284527	12	{"lClicked":1,"mouseX":522,"mouseY":137,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899362455	13	{"lClicked":1,"mouseX":438,"mouseY":150,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899395563	14	{"lClicked":0,"mouseX":159,"mouseY":159,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899451034	15	{"lClicked":2,"mouseX":716,"mouseY":146,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899507112	16	{"lClicked":1,"mouseX":496,"mouseY":158,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899547590	17	{"lClicked":1,"mouseX":453,"mouseY":146,"condition":{"name":"FAR"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899577360	18	{"lClicked":2,"mouseX":761,"mouseY":246,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899632830	19	{"lClicked":0,"mouseX":169,"mouseY":98,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899660198	20	{"lClicked":0,"mouseX":198,"mouseY":177,"condition":{"name":"SPLIT"}}
