eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898074741	1	{"lClicked":2,"mouseX":710,"mouseY":119,"condition":{"name":"FAR"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898130793	2	{"lClicked":1,"mouseX":461,"mouseY":176,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898183549	3	{"lClicked":2,"mouseX":728,"mouseY":151,"condition":{"name":"FAR"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898277588	4	{"lClicked":2,"mouseX":745,"mouseY":201,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898297916	5	{"lClicked":1,"mouseX":433,"mouseY":112,"condition":{"name":"FAR"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898323138	6	{"lClicked":2,"mouseX":755,"mouseY":141,"condition":{"name":"FAR"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898413877	7	{"lClicked":1,"mouseX":425,"mouseY":117,"condition":{"name":"FAR"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898456170	8	{"lClicked":2,"mouseX":738,"mouseY":152,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898474823	9	{"lClicked":0,"mouseX":132,"mouseY":130,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898517852	10	{"lClicked":0,"mouseX":168,"mouseY":162,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898559684	11	{"lClicked":2,"mouseX":752,"mouseY":136,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898594939	12	{"lClicked":0,"mouseX":133,"mouseY":133,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898642931	13	{"lClicked":0,"mouseX":157,"mouseY":133,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898684921	14	{"lClicked":2,"mouseX":739,"mouseY":133,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898708162	15	{"lClicked":0,"mouseX":168,"mouseY":112,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898749150	16	{"lClicked":0,"mouseX":119,"mouseY":149,"condition":{"name":"FAR"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898769227	17	{"lClicked":0,"mouseX":133,"mouseY":151,"condition":{"name":"FAR"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898790979	18	{"lClicked":2,"mouseX":741,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898823847	19	{"lClicked":1,"mouseX":429,"mouseY":120,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898896216	20	{"lClicked":2,"mouseX":752,"mouseY":152,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898916838	21	{"lClicked":2,"mouseX":776,"mouseY":140,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9345-777fb152-a0aa-4c84-8343-b9ce82de277b	1523898941029	22	{"lClicked":1,"mouseX":430,"mouseY":164,"condition":{"name":"SPLIT"}}
