eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903566922	1	{"lClicked":1,"mouseX":465,"mouseY":132,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903625566	2	{"lClicked":1,"mouseX":444,"mouseY":164,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903653055	3	{"lClicked":1,"mouseX":482,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903664589	4	{"lClicked":2,"mouseX":789,"mouseY":167,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903681510	5	{"lClicked":0,"mouseX":156,"mouseY":150,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903692580	6	{"lClicked":0,"mouseX":148,"mouseY":154,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903724197	7	{"lClicked":1,"mouseX":483,"mouseY":147,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903737774	8	{"lClicked":2,"mouseX":723,"mouseY":162,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903753716	9	{"lClicked":2,"mouseX":775,"mouseY":145,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903767149	10	{"lClicked":1,"mouseX":365,"mouseY":103,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903780614	11	{"lClicked":2,"mouseX":768,"mouseY":132,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903802626	12	{"lClicked":2,"mouseX":713,"mouseY":151,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903830185	13	{"lClicked":1,"mouseX":427,"mouseY":150,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903858180	14	{"lClicked":0,"mouseX":129,"mouseY":196,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903881400	15	{"lClicked":1,"mouseX":472,"mouseY":98,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903893489	16	{"lClicked":1,"mouseX":471,"mouseY":194,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903914577	17	{"lClicked":0,"mouseX":170,"mouseY":154,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903967161	18	{"lClicked":0,"mouseX":160,"mouseY":252,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903986076	19	{"lClicked":1,"mouseX":425,"mouseY":116,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904026879	20	{"lClicked":2,"mouseX":704,"mouseY":181,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904072425	21	{"lClicked":1,"mouseX":497,"mouseY":188,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904098821	22	{"lClicked":2,"mouseX":730,"mouseY":161,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904132828	23	{"lClicked":0,"mouseX":206,"mouseY":133,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904153464	24	{"lClicked":2,"mouseX":759,"mouseY":128,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904183563	25	{"lClicked":1,"mouseX":462,"mouseY":145,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904196014	26	{"lClicked":1,"mouseX":421,"mouseY":153,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904243256	27	{"lClicked":1,"mouseX":463,"mouseY":154,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904280802	28	{"lClicked":0,"mouseX":138,"mouseY":176,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904326064	29	{"lClicked":0,"mouseX":163,"mouseY":112,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904337640	30	{"lClicked":1,"mouseX":430,"mouseY":123,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904358699	31	{"lClicked":1,"mouseX":422,"mouseY":165,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904372340	32	{"lClicked":0,"mouseX":149,"mouseY":204,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904417127	33	{"lClicked":0,"mouseX":150,"mouseY":118,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904453745	34	{"lClicked":1,"mouseX":453,"mouseY":167,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904479514	35	{"lClicked":2,"mouseX":799,"mouseY":146,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904496109	36	{"lClicked":0,"mouseX":156,"mouseY":161,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904539765	37	{"lClicked":2,"mouseX":764,"mouseY":142,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904554251	38	{"lClicked":2,"mouseX":784,"mouseY":133,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904568990	39	{"lClicked":1,"mouseX":413,"mouseY":143,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904578350	40	{"lClicked":2,"mouseX":753,"mouseY":160,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904590180	41	{"lClicked":0,"mouseX":194,"mouseY":110,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904609207	42	{"lClicked":2,"mouseX":778,"mouseY":141,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904623595	43	{"lClicked":1,"mouseX":445,"mouseY":114,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904657944	44	{"lClicked":0,"mouseX":222,"mouseY":223,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904672702	45	{"lClicked":0,"mouseX":175,"mouseY":142,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904685532	46	{"lClicked":0,"mouseX":113,"mouseY":100,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904745517	47	{"lClicked":2,"mouseX":802,"mouseY":201,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904755658	48	{"lClicked":1,"mouseX":451,"mouseY":161,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904793734	49	{"lClicked":1,"mouseX":435,"mouseY":145,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904820718	50	{"lClicked":1,"mouseX":414,"mouseY":117,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904862512	51	{"lClicked":2,"mouseX":731,"mouseY":127,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904876174	52	{"lClicked":1,"mouseX":429,"mouseY":150,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904902276	53	{"lClicked":1,"mouseX":432,"mouseY":181,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904926350	54	{"lClicked":1,"mouseX":413,"mouseY":158,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904949687	55	{"lClicked":0,"mouseX":137,"mouseY":148,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904964070	56	{"lClicked":2,"mouseX":779,"mouseY":120,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523905015077	57	{"lClicked":2,"mouseX":796,"mouseY":147,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523905025530	58	{"lClicked":0,"mouseX":163,"mouseY":121,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523905041955	59	{"lClicked":0,"mouseX":188,"mouseY":95,"condition":{"name":"FAR"}}
action	ActionColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523905058702	60	{"lClicked":1,"mouseX":440,"mouseY":188,"condition":{"name":"FAR"}}
