eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924570293	1	{"lClicked":0,"mouseX":143,"mouseY":148,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924621662	2	{"lClicked":2,"mouseX":731,"mouseY":131,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924750290	3	{"lClicked":0,"mouseX":140,"mouseY":149,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924819359	4	{"lClicked":0,"mouseX":57,"mouseY":187,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924860058	5	{"lClicked":0,"mouseX":162,"mouseY":144,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924944097	6	{"lClicked":1,"mouseX":407,"mouseY":233,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925013639	7	{"lClicked":2,"mouseX":743,"mouseY":148,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925081140	8	{"lClicked":0,"mouseX":97,"mouseY":127,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925150245	9	{"lClicked":0,"mouseX":176,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925199478	10	{"lClicked":2,"mouseX":763,"mouseY":169,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925218477	11	{"lClicked":1,"mouseX":475,"mouseY":149,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925268070	12	{"lClicked":1,"mouseX":440,"mouseY":193,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925307531	13	{"lClicked":0,"mouseX":193,"mouseY":166,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925346304	14	{"lClicked":1,"mouseX":491,"mouseY":179,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925375586	15	{"lClicked":0,"mouseX":137,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925431081	16	{"lClicked":1,"mouseX":501,"mouseY":164,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925494425	17	{"lClicked":0,"mouseX":153,"mouseY":134,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925614860	18	{"lClicked":2,"mouseX":757,"mouseY":139,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925690848	19	{"lClicked":0,"mouseX":156,"mouseY":138,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925791873	20	{"lClicked":1,"mouseX":463,"mouseY":148,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925852981	21	{"lClicked":0,"mouseX":165,"mouseY":157,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925917327	22	{"lClicked":2,"mouseX":741,"mouseY":238,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925950748	23	{"lClicked":1,"mouseX":443,"mouseY":146,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926019797	24	{"lClicked":2,"mouseX":799,"mouseY":69,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926084978	25	{"lClicked":1,"mouseX":454,"mouseY":152,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926168225	26	{"lClicked":1,"mouseX":458,"mouseY":160,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926211097	27	{"lClicked":0,"mouseX":152,"mouseY":152,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926355222	28	{"lClicked":0,"mouseX":168,"mouseY":155,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926375559	29	{"lClicked":1,"mouseX":457,"mouseY":144,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926451262	30	{"lClicked":2,"mouseX":797,"mouseY":187,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926513725	31	{"lClicked":0,"mouseX":138,"mouseY":140,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926584368	32	{"lClicked":0,"mouseX":110,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926606532	33	{"lClicked":1,"mouseX":439,"mouseY":117,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926638543	34	{"lClicked":1,"mouseX":476,"mouseY":139,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926699083	35	{"lClicked":0,"mouseX":153,"mouseY":113,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926743105	36	{"lClicked":1,"mouseX":483,"mouseY":228,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926779298	37	{"lClicked":2,"mouseX":784,"mouseY":101,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926833538	38	{"lClicked":2,"mouseX":755,"mouseY":107,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926914673	39	{"lClicked":1,"mouseX":475,"mouseY":135,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523926991602	40	{"lClicked":0,"mouseX":161,"mouseY":104,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927031111	41	{"lClicked":0,"mouseX":193,"mouseY":170,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927075276	42	{"lClicked":0,"mouseX":131,"mouseY":122,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927149870	43	{"lClicked":1,"mouseX":451,"mouseY":188,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927194522	44	{"lClicked":0,"mouseX":109,"mouseY":121,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927227493	45	{"lClicked":1,"mouseX":456,"mouseY":117,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927293788	46	{"lClicked":2,"mouseX":701,"mouseY":262,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927353787	47	{"lClicked":2,"mouseX":749,"mouseY":125,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927413871	48	{"lClicked":0,"mouseX":132,"mouseY":194,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927465746	49	{"lClicked":0,"mouseX":174,"mouseY":131,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927511284	50	{"lClicked":2,"mouseX":770,"mouseY":107,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927565057	51	{"lClicked":1,"mouseX":485,"mouseY":141,"condition":{"name":"FAR"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927705355	52	{"lClicked":1,"mouseX":491,"mouseY":199,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927760950	53	{"lClicked":0,"mouseX":191,"mouseY":116,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927857171	54	{"lClicked":0,"mouseX":200,"mouseY":140,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523927880621	55	{"lClicked":0,"mouseX":143,"mouseY":115,"condition":{"name":"FAR"}}
