eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925685354	1	{"lClicked":0,"mouseX":146,"mouseY":86,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925718903	2	{"lClicked":2,"mouseX":713,"mouseY":122,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925805395	3	{"lClicked":1,"mouseX":512,"mouseY":126,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925829918	4	{"lClicked":2,"mouseX":710,"mouseY":74,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925962467	5	{"lClicked":0,"mouseX":152,"mouseY":82,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926009799	6	{"lClicked":1,"mouseX":482,"mouseY":175,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926081828	7	{"lClicked":1,"mouseX":417,"mouseY":59,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926195810	8	{"lClicked":2,"mouseX":748,"mouseY":176,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926279661	9	{"lClicked":0,"mouseX":166,"mouseY":70,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926332706	10	{"lClicked":1,"mouseX":452,"mouseY":142,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926350558	11	{"lClicked":1,"mouseX":448,"mouseY":104,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926367488	12	{"lClicked":0,"mouseX":186,"mouseY":142,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926410958	13	{"lClicked":0,"mouseX":175,"mouseY":55,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926470669	14	{"lClicked":1,"mouseX":426,"mouseY":201,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926487670	15	{"lClicked":2,"mouseX":728,"mouseY":133,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926526552	16	{"lClicked":1,"mouseX":453,"mouseY":123,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926552519	17	{"lClicked":2,"mouseX":834,"mouseY":125,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926576910	18	{"lClicked":2,"mouseX":709,"mouseY":144,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926624463	19	{"lClicked":0,"mouseX":135,"mouseY":81,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926653402	20	{"lClicked":0,"mouseX":156,"mouseY":126,"condition":{"name":"FAR"}}
action	ActionColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926746776	21	{"lClicked":0,"mouseX":170,"mouseY":56,"condition":{"name":"SPLIT"}}
