eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927419987	1	{"lClicked":1,"mouseX":436,"mouseY":120,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927448243	2	{"lClicked":0,"mouseX":122,"mouseY":115,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927495799	3	{"lClicked":2,"mouseX":782,"mouseY":118,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927538490	4	{"lClicked":1,"mouseX":440,"mouseY":149,"condition":{"name":"FAR"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927550545	5	{"lClicked":1,"mouseX":435,"mouseY":161,"condition":{"name":"FAR"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927570551	6	{"lClicked":2,"mouseX":706,"mouseY":148,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927585484	7	{"lClicked":0,"mouseX":87,"mouseY":191,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927633239	8	{"lClicked":2,"mouseX":793,"mouseY":122,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927648047	9	{"lClicked":0,"mouseX":98,"mouseY":112,"condition":{"name":"FAR"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927691658	10	{"lClicked":0,"mouseX":185,"mouseY":188,"condition":{"name":"FAR"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927727672	11	{"lClicked":2,"mouseX":740,"mouseY":186,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927756880	12	{"lClicked":0,"mouseX":107,"mouseY":117,"condition":{"name":"SPLIT"}}
