eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928100486	1	{"lClicked":2,"mouseX":735,"mouseY":136,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928124507	2	{"lClicked":0,"mouseX":119,"mouseY":105,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928186089	3	{"lClicked":1,"mouseX":456,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928213594	4	{"lClicked":2,"mouseX":735,"mouseY":55,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928250765	5	{"lClicked":0,"mouseX":198,"mouseY":210,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928273061	6	{"lClicked":1,"mouseX":415,"mouseY":210,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928307319	7	{"lClicked":2,"mouseX":721,"mouseY":212,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928336247	8	{"lClicked":0,"mouseX":158,"mouseY":169,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928513253	9	{"lClicked":1,"mouseX":471,"mouseY":116,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928538070	10	{"lClicked":0,"mouseX":137,"mouseY":158,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928560111	11	{"lClicked":0,"mouseX":113,"mouseY":198,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928581815	12	{"lClicked":0,"mouseX":138,"mouseY":116,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928647107	13	{"lClicked":0,"mouseX":183,"mouseY":207,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928683382	14	{"lClicked":0,"mouseX":65,"mouseY":135,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928780207	15	{"lClicked":1,"mouseX":449,"mouseY":112,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928821410	16	{"lClicked":2,"mouseX":727,"mouseY":109,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928844693	17	{"lClicked":1,"mouseX":447,"mouseY":140,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928866979	18	{"lClicked":0,"mouseX":30,"mouseY":101,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928890606	19	{"lClicked":1,"mouseX":456,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928915611	20	{"lClicked":1,"mouseX":434,"mouseY":130,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523928960761	21	{"lClicked":2,"mouseX":739,"mouseY":143,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929006644	22	{"lClicked":2,"mouseX":734,"mouseY":33,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929044394	23	{"lClicked":1,"mouseX":490,"mouseY":109,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929076510	24	{"lClicked":1,"mouseX":445,"mouseY":225,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929110062	25	{"lClicked":2,"mouseX":763,"mouseY":137,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929133551	26	{"lClicked":1,"mouseX":438,"mouseY":137,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929155490	27	{"lClicked":1,"mouseX":470,"mouseY":117,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929183866	28	{"lClicked":1,"mouseX":404,"mouseY":91,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929217070	29	{"lClicked":0,"mouseX":145,"mouseY":132,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929239655	30	{"lClicked":0,"mouseX":164,"mouseY":156,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929266494	31	{"lClicked":2,"mouseX":751,"mouseY":152,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929311200	32	{"lClicked":0,"mouseX":166,"mouseY":135,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929419080	33	{"lClicked":1,"mouseX":414,"mouseY":190,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929469098	34	{"lClicked":1,"mouseX":381,"mouseY":71,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929486907	35	{"lClicked":0,"mouseX":103,"mouseY":108,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929561017	36	{"lClicked":0,"mouseX":130,"mouseY":112,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929603424	37	{"lClicked":1,"mouseX":453,"mouseY":173,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929709236	38	{"lClicked":2,"mouseX":724,"mouseY":154,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929783877	39	{"lClicked":1,"mouseX":482,"mouseY":190,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929824202	40	{"lClicked":2,"mouseX":763,"mouseY":81,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929912308	41	{"lClicked":1,"mouseX":471,"mouseY":55,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523929974221	42	{"lClicked":0,"mouseX":170,"mouseY":179,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930024224	43	{"lClicked":0,"mouseX":206,"mouseY":152,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930046339	44	{"lClicked":2,"mouseX":754,"mouseY":109,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930088047	45	{"lClicked":0,"mouseX":165,"mouseY":108,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930185579	46	{"lClicked":1,"mouseX":439,"mouseY":99,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930315580	47	{"lClicked":0,"mouseX":187,"mouseY":124,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930335124	48	{"lClicked":0,"mouseX":50,"mouseY":111,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930360963	49	{"lClicked":0,"mouseX":212,"mouseY":94,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930543226	50	{"lClicked":0,"mouseX":194,"mouseY":180,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930587507	51	{"lClicked":2,"mouseX":703,"mouseY":190,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930610348	52	{"lClicked":2,"mouseX":742,"mouseY":79,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930700312	53	{"lClicked":2,"mouseX":683,"mouseY":224,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930727745	54	{"lClicked":2,"mouseX":781,"mouseY":123,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930788547	55	{"lClicked":0,"mouseX":149,"mouseY":183,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930808047	56	{"lClicked":0,"mouseX":175,"mouseY":173,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523930837114	57	{"lClicked":0,"mouseX":180,"mouseY":135,"condition":{"name":"FAR"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523931003412	58	{"lClicked":0,"mouseX":189,"mouseY":77,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523931032980	59	{"lClicked":1,"mouseX":477,"mouseY":133,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6677-6bfea9dd-7c54-41f2-98f1-6efa4e779d8e	1523931139846	60	{"lClicked":2,"mouseX":709,"mouseY":175,"condition":{"name":"SPLIT"}}
