eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523897976897	1	{"lClicked":0,"mouseX":157,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898005697	2	{"lClicked":2,"mouseX":805,"mouseY":107,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898039677	3	{"lClicked":0,"mouseX":142,"mouseY":118,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898083202	4	{"lClicked":1,"mouseX":492,"mouseY":64,"condition":{"name":"FAR"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898111874	5	{"lClicked":1,"mouseX":394,"mouseY":120,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898175192	6	{"lClicked":2,"mouseX":704,"mouseY":115,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898204099	7	{"lClicked":1,"mouseX":457,"mouseY":131,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898259262	8	{"lClicked":1,"mouseX":476,"mouseY":121,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898314428	9	{"lClicked":0,"mouseX":168,"mouseY":137,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898353545	10	{"lClicked":1,"mouseX":453,"mouseY":148,"condition":{"name":"FAR"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898377835	11	{"lClicked":0,"mouseX":182,"mouseY":149,"condition":{"name":"FAR"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898415988	12	{"lClicked":2,"mouseX":741,"mouseY":142,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898431240	13	{"lClicked":0,"mouseX":102,"mouseY":134,"condition":{"name":"FAR"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898478736	14	{"lClicked":2,"mouseX":731,"mouseY":143,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898516547	15	{"lClicked":2,"mouseX":713,"mouseY":112,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6353-7200c6ee-f38f-4907-b467-695fe11c3046	1523898532747	16	{"lClicked":1,"mouseX":504,"mouseY":198,"condition":{"name":"FAR"}}
