eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986249555	1	{"lClicked":2,"mouseX":746,"mouseY":108,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986286911	2	{"lClicked":1,"mouseX":466,"mouseY":180,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986324601	3	{"lClicked":2,"mouseX":726,"mouseY":119,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986346165	4	{"lClicked":2,"mouseX":751,"mouseY":164,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986369830	5	{"lClicked":0,"mouseX":196,"mouseY":126,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986396134	6	{"lClicked":1,"mouseX":438,"mouseY":112,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986416425	7	{"lClicked":0,"mouseX":140,"mouseY":170,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986436857	8	{"lClicked":2,"mouseX":759,"mouseY":201,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986481483	9	{"lClicked":2,"mouseX":872,"mouseY":229,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986497074	10	{"lClicked":1,"mouseX":471,"mouseY":108,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986517552	11	{"lClicked":0,"mouseX":151,"mouseY":129,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986534581	12	{"lClicked":0,"mouseX":190,"mouseY":156,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986551093	13	{"lClicked":2,"mouseX":708,"mouseY":91,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986616504	14	{"lClicked":0,"mouseX":149,"mouseY":190,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986645683	15	{"lClicked":2,"mouseX":707,"mouseY":156,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986679731	16	{"lClicked":0,"mouseX":193,"mouseY":151,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986731284	17	{"lClicked":1,"mouseX":436,"mouseY":91,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986775166	18	{"lClicked":1,"mouseX":486,"mouseY":125,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986790840	19	{"lClicked":2,"mouseX":771,"mouseY":125,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986805178	20	{"lClicked":2,"mouseX":776,"mouseY":130,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986830336	21	{"lClicked":0,"mouseX":184,"mouseY":140,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986844173	22	{"lClicked":0,"mouseX":215,"mouseY":172,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986870245	23	{"lClicked":0,"mouseX":171,"mouseY":133,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986895112	24	{"lClicked":1,"mouseX":434,"mouseY":173,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986940882	25	{"lClicked":0,"mouseX":226,"mouseY":87,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986972865	26	{"lClicked":1,"mouseX":522,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523987028337	27	{"lClicked":0,"mouseX":256,"mouseY":103,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523987042180	28	{"lClicked":1,"mouseX":542,"mouseY":155,"condition":{"name":"FAR"}}
