eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986905309	1	{"lClicked":0,"mouseX":153,"mouseY":140,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986935789	2	{"lClicked":2,"mouseX":713,"mouseY":142,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986948495	3	{"lClicked":0,"mouseX":142,"mouseY":131,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986964434	4	{"lClicked":2,"mouseX":653,"mouseY":148,"condition":{"name":"FAR"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986982168	5	{"lClicked":0,"mouseX":121,"mouseY":219,"condition":{"name":"FAR"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986995734	6	{"lClicked":1,"mouseX":484,"mouseY":202,"condition":{"name":"FAR"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987007562	7	{"lClicked":1,"mouseX":466,"mouseY":121,"condition":{"name":"FAR"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987020578	8	{"lClicked":2,"mouseX":722,"mouseY":102,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987037363	9	{"lClicked":0,"mouseX":185,"mouseY":127,"condition":{"name":"FAR"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987134795	10	{"lClicked":1,"mouseX":450,"mouseY":122,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987149072	11	{"lClicked":0,"mouseX":209,"mouseY":87,"condition":{"name":"FAR"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987169501	12	{"lClicked":0,"mouseX":227,"mouseY":157,"condition":{"name":"FAR"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987209339	13	{"lClicked":1,"mouseX":456,"mouseY":136,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987259674	14	{"lClicked":0,"mouseX":238,"mouseY":221,"condition":{"name":"CLOSE"}}
