eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997776044	1	{"lClicked":2,"mouseX":736,"mouseY":151,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997808092	2	{"lClicked":2,"mouseX":756,"mouseY":108,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997908178	3	{"lClicked":2,"mouseX":756,"mouseY":152,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997927533	4	{"lClicked":2,"mouseX":753,"mouseY":157,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997958258	5	{"lClicked":1,"mouseX":456,"mouseY":106,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997983693	6	{"lClicked":2,"mouseX":732,"mouseY":122,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997996409	7	{"lClicked":0,"mouseX":169,"mouseY":173,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998015975	8	{"lClicked":1,"mouseX":453,"mouseY":157,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998032037	9	{"lClicked":2,"mouseX":787,"mouseY":204,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998099978	10	{"lClicked":1,"mouseX":432,"mouseY":150,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998127596	11	{"lClicked":1,"mouseX":441,"mouseY":175,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998153735	12	{"lClicked":0,"mouseX":221,"mouseY":106,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998223412	13	{"lClicked":1,"mouseX":445,"mouseY":173,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998272377	14	{"lClicked":0,"mouseX":225,"mouseY":228,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998298686	15	{"lClicked":1,"mouseX":482,"mouseY":182,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998341195	16	{"lClicked":0,"mouseX":213,"mouseY":172,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998358169	17	{"lClicked":1,"mouseX":499,"mouseY":165,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998377842	18	{"lClicked":2,"mouseX":796,"mouseY":103,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998399635	19	{"lClicked":0,"mouseX":161,"mouseY":123,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998421482	20	{"lClicked":1,"mouseX":482,"mouseY":158,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998443082	21	{"lClicked":1,"mouseX":449,"mouseY":102,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998463585	22	{"lClicked":1,"mouseX":423,"mouseY":182,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998482786	23	{"lClicked":0,"mouseX":124,"mouseY":97,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998500546	24	{"lClicked":0,"mouseX":115,"mouseY":159,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998524298	25	{"lClicked":2,"mouseX":696,"mouseY":130,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998547998	26	{"lClicked":1,"mouseX":451,"mouseY":218,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998560356	27	{"lClicked":1,"mouseX":500,"mouseY":136,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998577359	28	{"lClicked":1,"mouseX":448,"mouseY":100,"condition":{"name":"FAR"}}
action	ActionColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998609173	29	{"lClicked":0,"mouseX":182,"mouseY":123,"condition":{"name":"SPLIT"}}
