eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000028514	1	{"lClicked":0,"mouseX":130,"mouseY":123,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000066328	2	{"lClicked":0,"mouseX":178,"mouseY":135,"condition":{"name":"FAR"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000087076	3	{"lClicked":0,"mouseX":162,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000121864	4	{"lClicked":2,"mouseX":746,"mouseY":178,"condition":{"name":"FAR"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000159704	5	{"lClicked":1,"mouseX":404,"mouseY":121,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000200088	6	{"lClicked":0,"mouseX":167,"mouseY":132,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000218153	7	{"lClicked":0,"mouseX":134,"mouseY":142,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000256900	8	{"lClicked":0,"mouseX":233,"mouseY":145,"condition":{"name":"FAR"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000308306	9	{"lClicked":1,"mouseX":410,"mouseY":143,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000361384	10	{"lClicked":0,"mouseX":180,"mouseY":168,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000390648	11	{"lClicked":0,"mouseX":136,"mouseY":148,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000487346	12	{"lClicked":2,"mouseX":716,"mouseY":155,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000513861	13	{"lClicked":0,"mouseX":151,"mouseY":158,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000538638	14	{"lClicked":2,"mouseX":659,"mouseY":94,"condition":{"name":"FAR"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000559480	15	{"lClicked":2,"mouseX":825,"mouseY":179,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000591476	16	{"lClicked":0,"mouseX":168,"mouseY":130,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000608449	17	{"lClicked":1,"mouseX":374,"mouseY":89,"condition":{"name":"FAR"}}
action	ActionColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000652200	18	{"lClicked":0,"mouseX":105,"mouseY":188,"condition":{"name":"SPLIT"}}
