eventType	type	gameid	time	roundNum	state
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508259434	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,69,50]},{"color":[112,46,50]},{"color":[78,93,50]},{"color":[332,66,50]},{"color":[42,64,50]},{"color":[226,72,50]},{"color":[232,51,50]},{"color":[80,69,50]},{"color":[237,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,97,50]},{"color":[80,80,50]},{"color":[120,73,50]},{"color":[316,66,50]},{"color":[26,53,50]},{"color":[209,33,50]},{"color":[243,61,50]},{"color":[135,61,50]},{"color":[212,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[61,97,50]},{"color":[336,94,50]},{"color":[176,7,50]},{"color":[177,28,50]},{"color":[313,91,50]},{"color":[174,50,50]},{"color":[13,21,50]},{"color":[22,7,50]},{"color":[10,55,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508281240	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[138,3,50]},{"color":[160,94,50]},{"color":[65,34,50]},{"color":[219,47,50]},{"color":[118,19,50]},{"color":[350,54,50]},{"color":[317,84,50]},{"color":[35,9,50]},{"color":[209,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,65,50]},{"color":[176,46,50]},{"color":[313,66,50]},{"color":[256,65,50]},{"color":[176,67,50]},{"color":[33,61,50]},{"color":[145,88,50]},{"color":[289,87,50]},{"color":[246,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[267,47,50]},{"color":[88,31,50]},{"color":[261,93,50]},{"color":[282,17,50]},{"color":[204,78,50]},{"color":[134,29,50]},{"color":[333,3,50]},{"color":[210,85,50]},{"color":[56,8,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508302978	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,22,50]},{"color":[348,74,50]},{"color":[259,24,50]},{"color":[129,78,50]},{"color":[345,0,50]},{"color":[233,70,50]},{"color":[13,87,50]},{"color":[155,56,50]},{"color":[267,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[203,44,50]},{"color":[331,47,50]},{"color":[319,10,50]},{"color":[66,66,50]},{"color":[37,12,50]},{"color":[249,37,50]},{"color":[19,61,50]},{"color":[124,74,50]},{"color":[228,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,33,50]},{"color":[200,44,50]},{"color":[144,13,50]},{"color":[262,50,50]},{"color":[186,60,50]},{"color":[348,24,50]},{"color":[267,35,50]},{"color":[325,16,50]},{"color":[333,99,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508346045	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[298,13,50]},{"color":[19,50,50]},{"color":[299,22,50]},{"color":[272,32,50]},{"color":[122,44,50]},{"color":[290,70,50]},{"color":[99,42,50]},{"color":[92,57,50]},{"color":[141,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,6,50]},{"color":[14,67,50]},{"color":[263,29,50]},{"color":[266,70,50]},{"color":[117,68,50]},{"color":[299,79,50]},{"color":[108,76,50]},{"color":[154,59,50]},{"color":[127,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,0,50]},{"color":[17,27,50]},{"color":[317,12,50]},{"color":[249,33,50]},{"color":[77,36,50]},{"color":[314,88,50]},{"color":[146,45,50]},{"color":[106,85,50]},{"color":[72,83,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508373342	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[18,14,50]},{"color":[149,86,50]},{"color":[290,23,50]},{"color":[150,48,50]},{"color":[131,18,50]},{"color":[296,63,50]},{"color":[310,13,50]},{"color":[324,32,50]},{"color":[141,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,10,50]},{"color":[103,63,50]},{"color":[305,5,50]},{"color":[163,21,50]},{"color":[157,51,50]},{"color":[277,68,50]},{"color":[344,15,50]},{"color":[256,24,50]},{"color":[114,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,10,50]},{"color":[162,67,50]},{"color":[337,15,50]},{"color":[124,31,50]},{"color":[163,64,50]},{"color":[307,79,50]},{"color":[9,10,50]},{"color":[304,31,50]},{"color":[76,51,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508391046	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,20,50]},{"color":[171,92,50]},{"color":[223,12,50]},{"color":[180,37,50]},{"color":[222,41,50]},{"color":[66,34,50]},{"color":[332,38,50]},{"color":[267,74,50]},{"color":[95,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[238,95,50]},{"color":[88,5,50]},{"color":[189,74,50]},{"color":[118,45,50]},{"color":[321,44,50]},{"color":[143,82,50]},{"color":[90,86,50]},{"color":[139,46,50]},{"color":[44,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[309,69,50]},{"color":[66,49,50]},{"color":[37,31,50]},{"color":[15,60,50]},{"color":[31,11,50]},{"color":[148,1,50]},{"color":[277,82,50]},{"color":[68,10,50]},{"color":[345,79,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508408821	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[296,26,50]},{"color":[134,94,50]},{"color":[259,77,50]},{"color":[126,5,50]},{"color":[282,30,50]},{"color":[157,96,50]},{"color":[328,22,50]},{"color":[210,39,50]},{"color":[0,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,42,50]},{"color":[292,18,50]},{"color":[158,24,50]},{"color":[186,75,50]},{"color":[10,65,50]},{"color":[273,27,50]},{"color":[196,15,50]},{"color":[102,69,50]},{"color":[300,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,28,50]},{"color":[143,44,50]},{"color":[225,45,50]},{"color":[90,15,50]},{"color":[309,6,50]},{"color":[176,80,50]},{"color":[335,73,50]},{"color":[190,18,50]},{"color":[281,9,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508430967	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[80,36,50]},{"color":[99,92,50]},{"color":[21,54,50]},{"color":[324,83,50]},{"color":[122,92,50]},{"color":[255,73,50]},{"color":[7,34,50]},{"color":[318,13,50]},{"color":[88,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,35,50]},{"color":[142,87,50]},{"color":[1,94,50]},{"color":[285,26,50]},{"color":[86,42,50]},{"color":[223,74,50]},{"color":[355,28,50]},{"color":[292,19,50]},{"color":[108,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,30,50]},{"color":[154,98,50]},{"color":[4,71,50]},{"color":[280,37,50]},{"color":[77,59,50]},{"color":[242,35,50]},{"color":[5,4,50]},{"color":[333,5,50]},{"color":[99,86,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508490900	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[336,70,50]},{"color":[287,12,50]},{"color":[11,23,50]},{"color":[282,23,50]},{"color":[228,13,50]},{"color":[80,6,50]},{"color":[66,10,50]},{"color":[35,36,50]},{"color":[290,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,77,50]},{"color":[302,45,50]},{"color":[39,16,50]},{"color":[330,74,50]},{"color":[309,7,50]},{"color":[70,18,50]},{"color":[217,7,50]},{"color":[71,11,50]},{"color":[322,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[334,54,50]},{"color":[251,36,50]},{"color":[3,7,50]},{"color":[326,58,50]},{"color":[317,1,50]},{"color":[37,3,50]},{"color":[33,15,50]},{"color":[22,5,50]},{"color":[301,68,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508551985	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,35,50]},{"color":[63,8,50]},{"color":[16,60,50]},{"color":[156,24,50]},{"color":[292,35,50]},{"color":[126,98,50]},{"color":[57,71,50]},{"color":[267,98,50]},{"color":[126,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[181,69,50]},{"color":[352,5,50]},{"color":[357,29,50]},{"color":[138,51,50]},{"color":[244,43,50]},{"color":[132,62,50]},{"color":[49,90,50]},{"color":[289,29,50]},{"color":[86,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[172,71,50]},{"color":[22,2,50]},{"color":[10,44,50]},{"color":[87,30,50]},{"color":[283,78,50]},{"color":[83,81,50]},{"color":[43,96,50]},{"color":[271,39,50]},{"color":[129,82,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
