eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523573856862	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[334,58,50]},{"color":[27,98,50]},{"color":[285,39,50]},{"color":[241,49,50]},{"color":[210,39,50]},{"color":[158,20,50]},{"color":[321,71,50]},{"color":[233,11,50]},{"color":[238,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[324,79,50]},{"color":[34,76,50]},{"color":[275,52,50]},{"color":[232,81,50]},{"color":[23,0,50]},{"color":[117,1,50]},{"color":[339,92,50]},{"color":[202,9,50]},{"color":[217,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,41,50]},{"color":[38,60,50]},{"color":[287,56,50]},{"color":[227,34,50]},{"color":[187,22,50]},{"color":[57,21,50]},{"color":[337,25,50]},{"color":[213,35,50]},{"color":[226,59,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523573894321	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[295,54,50]},{"color":[121,91,50]},{"color":[284,41,50]},{"color":[197,34,50]},{"color":[34,30,50]},{"color":[30,87,50]},{"color":[144,84,50]},{"color":[292,31,50]},{"color":[296,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[180,13,50]},{"color":[242,31,50]},{"color":[26,8,50]},{"color":[41,33,50]},{"color":[181,70,50]},{"color":[151,69,50]},{"color":[174,9,50]},{"color":[117,32,50]},{"color":[194,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,93,50]},{"color":[154,80,50]},{"color":[263,91,50]},{"color":[223,31,50]},{"color":[28,56,50]},{"color":[13,58,50]},{"color":[150,39,50]},{"color":[317,36,50]},{"color":[343,51,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523573913189	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,7,50]},{"color":[219,15,50]},{"color":[160,78,50]},{"color":[38,39,50]},{"color":[191,72,50]},{"color":[114,47,50]},{"color":[73,94,50]},{"color":[136,35,50]},{"color":[335,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[61,75,50]},{"color":[350,17,50]},{"color":[2,55,50]},{"color":[279,30,50]},{"color":[344,76,50]},{"color":[232,25,50]},{"color":[136,53,50]},{"color":[201,32,50]},{"color":[105,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[143,80,50]},{"color":[350,95,50]},{"color":[328,88,50]},{"color":[116,29,50]},{"color":[218,97,50]},{"color":[295,57,50]},{"color":[279,3,50]},{"color":[300,16,50]},{"color":[297,37,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523573940483	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[76,79,50]},{"color":[72,19,50]},{"color":[228,73,50]},{"color":[279,6,50]},{"color":[45,88,50]},{"color":[47,96,50]},{"color":[244,77,50]},{"color":[30,69,50]},{"color":[83,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,80,50]},{"color":[333,79,50]},{"color":[355,69,50]},{"color":[46,60,50]},{"color":[172,45,50]},{"color":[51,31,50]},{"color":[333,94,50]},{"color":[90,76,50]},{"color":[132,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[253,59,50]},{"color":[303,93,50]},{"color":[19,97,50]},{"color":[55,86,50]},{"color":[176,27,50]},{"color":[36,9,50]},{"color":[347,88,50]},{"color":[129,95,50]},{"color":[156,46,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523573956112	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,83,50]},{"color":[197,67,50]},{"color":[250,99,50]},{"color":[23,87,50]},{"color":[313,16,50]},{"color":[88,0,50]},{"color":[51,65,50]},{"color":[276,20,50]},{"color":[136,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[14,37,50]},{"color":[279,40,50]},{"color":[129,78,50]},{"color":[47,25,50]},{"color":[53,10,50]},{"color":[25,49,50]},{"color":[223,8,50]},{"color":[189,10,50]},{"color":[274,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,56,50]},{"color":[291,32,50]},{"color":[87,61,50]},{"color":[186,1,50]},{"color":[132,29,50]},{"color":[19,43,50]},{"color":[303,22,50]},{"color":[301,81,50]},{"color":[286,24,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523573980001	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[181,4,50]},{"color":[243,52,50]},{"color":[113,62,50]},{"color":[319,3,50]},{"color":[241,92,50]},{"color":[334,87,50]},{"color":[0,20,50]},{"color":[292,27,50]},{"color":[288,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,8,50]},{"color":[244,94,50]},{"color":[86,48,50]},{"color":[20,6,50]},{"color":[285,72,50]},{"color":[322,32,50]},{"color":[270,1,50]},{"color":[304,47,50]},{"color":[329,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[53,61,50]},{"color":[357,19,50]},{"color":[81,1,50]},{"color":[305,97,50]},{"color":[14,18,50]},{"color":[357,87,50]},{"color":[42,35,50]},{"color":[98,92,50]},{"color":[40,89,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523574023864	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[40,98,50]},{"color":[19,60,50]},{"color":[63,84,50]},{"color":[80,40,50]},{"color":[309,26,50]},{"color":[346,60,50]},{"color":[2,82,50]},{"color":[31,21,50]},{"color":[82,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,31,50]},{"color":[342,77,50]},{"color":[249,82,50]},{"color":[346,87,50]},{"color":[59,36,50]},{"color":[234,95,50]},{"color":[184,52,50]},{"color":[274,92,50]},{"color":[186,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,49,50]},{"color":[324,47,50]},{"color":[244,34,50]},{"color":[326,89,50]},{"color":[64,12,50]},{"color":[234,48,50]},{"color":[187,12,50]},{"color":[300,73,50]},{"color":[157,35,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523574051364	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[106,42,50]},{"color":[76,38,50]},{"color":[15,17,50]},{"color":[269,99,50]},{"color":[307,43,50]},{"color":[218,22,50]},{"color":[88,20,50]},{"color":[293,76,50]},{"color":[193,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[58,27,50]},{"color":[111,43,50]},{"color":[344,27,50]},{"color":[230,97,50]},{"color":[271,76,50]},{"color":[239,6,50]},{"color":[65,1,50]},{"color":[312,38,50]},{"color":[100,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[93,27,50]},{"color":[142,54,50]},{"color":[296,14,50]},{"color":[254,59,50]},{"color":[297,69,50]},{"color":[206,11,50]},{"color":[54,17,50]},{"color":[300,51,50]},{"color":[175,30,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523574063036	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,13,50]},{"color":[340,31,50]},{"color":[326,82,50]},{"color":[68,18,50]},{"color":[277,88,50]},{"color":[8,12,50]},{"color":[308,56,50]},{"color":[280,85,50]},{"color":[143,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[334,12,50]},{"color":[304,0,50]},{"color":[280,97,50]},{"color":[272,4,50]},{"color":[31,24,50]},{"color":[298,38,50]},{"color":[227,8,50]},{"color":[135,47,50]},{"color":[235,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[113,55,50]},{"color":[137,71,50]},{"color":[120,53,50]},{"color":[221,44,50]},{"color":[95,76,50]},{"color":[148,5,50]},{"color":[41,18,50]},{"color":[144,8,50]},{"color":[179,90,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	5626-77df9de8-51f1-4187-b7da-540a54583944	1523574076559	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[80,88,50]},{"color":[263,49,50]},{"color":[6,7,50]},{"color":[100,8,50]},{"color":[234,15,50]},{"color":[15,37,50]},{"color":[160,25,50]},{"color":[347,85,50]},{"color":[128,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,31,50]},{"color":[86,96,50]},{"color":[44,45,50]},{"color":[135,56,50]},{"color":[194,67,50]},{"color":[88,75,50]},{"color":[298,39,50]},{"color":[22,28,50]},{"color":[231,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,49,50]},{"color":[2,62,50]},{"color":[199,46,50]},{"color":[22,22,50]},{"color":[50,43,50]},{"color":[161,10,50]},{"color":[159,88,50]},{"color":[199,6,50]},{"color":[297,91,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
