eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652052531	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[339,47,50]},{"color":[219,22,50]},{"color":[228,74,50]},{"color":[228,20,50]},{"color":[332,21,50]},{"color":[112,31,50]},{"color":[343,74,50]},{"color":[24,89,50]},{"color":[202,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[347,58,50]},{"color":[324,3,50]},{"color":[211,80,50]},{"color":[210,99,50]},{"color":[348,17,50]},{"color":[92,28,50]},{"color":[10,43,50]},{"color":[13,88,50]},{"color":[202,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,42,50]},{"color":[348,0,50]},{"color":[232,40,50]},{"color":[223,76,50]},{"color":[4,25,50]},{"color":[127,66,50]},{"color":[339,59,50]},{"color":[24,35,50]},{"color":[196,60,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652071978	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[199,5,50]},{"color":[190,89,50]},{"color":[297,65,50]},{"color":[166,71,50]},{"color":[265,26,50]},{"color":[347,85,50]},{"color":[32,3,50]},{"color":[270,81,50]},{"color":[162,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,57,50]},{"color":[234,27,50]},{"color":[151,28,50]},{"color":[188,30,50]},{"color":[25,35,50]},{"color":[51,94,50]},{"color":[55,96,50]},{"color":[92,40,50]},{"color":[350,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[349,67,50]},{"color":[13,49,50]},{"color":[3,65,50]},{"color":[319,14,50]},{"color":[341,80,50]},{"color":[120,27,50]},{"color":[0,94,50]},{"color":[10,63,50]},{"color":[252,22,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652089698	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[123,69,50]},{"color":[221,36,50]},{"color":[333,10,50]},{"color":[319,95,50]},{"color":[10,60,50]},{"color":[294,64,50]},{"color":[5,52,50]},{"color":[256,82,50]},{"color":[59,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[357,81,50]},{"color":[193,4,50]},{"color":[26,70,50]},{"color":[225,75,50]},{"color":[63,34,50]},{"color":[168,32,50]},{"color":[220,1,50]},{"color":[81,23,50]},{"color":[111,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[13,84,50]},{"color":[297,35,50]},{"color":[27,54,50]},{"color":[215,73,50]},{"color":[114,57,50]},{"color":[185,59,50]},{"color":[86,9,50]},{"color":[154,40,50]},{"color":[184,7,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652112647	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[195,23,50]},{"color":[14,42,50]},{"color":[70,1,50]},{"color":[303,71,50]},{"color":[175,58,50]},{"color":[41,46,50]},{"color":[64,7,50]},{"color":[214,54,50]},{"color":[39,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,21,50]},{"color":[352,81,50]},{"color":[139,17,50]},{"color":[269,74,50]},{"color":[160,26,50]},{"color":[58,52,50]},{"color":[207,8,50]},{"color":[201,54,50]},{"color":[38,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[218,61,50]},{"color":[8,23,50]},{"color":[182,10,50]},{"color":[286,46,50]},{"color":[190,35,50]},{"color":[53,47,50]},{"color":[202,18,50]},{"color":[221,26,50]},{"color":[44,73,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652125111	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,94,50]},{"color":[251,58,50]},{"color":[301,72,50]},{"color":[281,5,50]},{"color":[85,23,50]},{"color":[70,45,50]},{"color":[288,6,50]},{"color":[256,8,50]},{"color":[111,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[206,53,50]},{"color":[112,73,50]},{"color":[288,1,50]},{"color":[173,28,50]},{"color":[40,69,50]},{"color":[339,80,50]},{"color":[341,68,50]},{"color":[4,66,50]},{"color":[90,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[157,29,50]},{"color":[297,92,50]},{"color":[337,28,50]},{"color":[297,40,50]},{"color":[93,78,50]},{"color":[276,86,50]},{"color":[115,95,50]},{"color":[52,52,50]},{"color":[182,0,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652142472	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[123,81,50]},{"color":[223,31,50]},{"color":[81,33,50]},{"color":[310,46,50]},{"color":[49,40,50]},{"color":[288,70,50]},{"color":[117,31,50]},{"color":[194,92,50]},{"color":[103,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[333,46,50]},{"color":[77,84,50]},{"color":[257,46,50]},{"color":[87,91,50]},{"color":[13,19,50]},{"color":[90,68,50]},{"color":[318,38,50]},{"color":[82,64,50]},{"color":[146,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[112,31,50]},{"color":[267,51,50]},{"color":[50,45,50]},{"color":[314,13,50]},{"color":[67,32,50]},{"color":[272,88,50]},{"color":[98,25,50]},{"color":[203,24,50]},{"color":[61,76,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652156761	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,62,50]},{"color":[8,87,50]},{"color":[173,97,50]},{"color":[25,6,50]},{"color":[171,0,50]},{"color":[215,12,50]},{"color":[357,94,50]},{"color":[97,22,50]},{"color":[190,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[214,17,50]},{"color":[332,68,50]},{"color":[120,79,50]},{"color":[40,81,50]},{"color":[96,38,50]},{"color":[41,64,50]},{"color":[155,54,50]},{"color":[178,40,50]},{"color":[239,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,57,50]},{"color":[81,65,50]},{"color":[5,93,50]},{"color":[94,38,50]},{"color":[326,25,50]},{"color":[12,53,50]},{"color":[56,40,50]},{"color":[347,10,50]},{"color":[74,48,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652174552	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[237,52,50]},{"color":[59,42,50]},{"color":[267,32,50]},{"color":[184,58,50]},{"color":[162,35,50]},{"color":[351,36,50]},{"color":[233,7,50]},{"color":[194,63,50]},{"color":[25,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[267,79,50]},{"color":[70,28,50]},{"color":[284,93,50]},{"color":[184,39,50]},{"color":[158,85,50]},{"color":[324,86,50]},{"color":[86,4,50]},{"color":[197,34,50]},{"color":[11,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[224,88,50]},{"color":[49,72,50]},{"color":[284,27,50]},{"color":[175,40,50]},{"color":[97,39,50]},{"color":[338,72,50]},{"color":[197,6,50]},{"color":[193,84,50]},{"color":[28,14,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652195031	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[86,48,50]},{"color":[13,92,50]},{"color":[244,52,50]},{"color":[326,95,50]},{"color":[293,11,50]},{"color":[223,54,50]},{"color":[23,37,50]},{"color":[57,2,50]},{"color":[281,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[170,43,50]},{"color":[226,18,50]},{"color":[181,70,50]},{"color":[162,51,50]},{"color":[120,91,50]},{"color":[65,94,50]},{"color":[146,74,50]},{"color":[336,77,50]},{"color":[325,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[75,33,50]},{"color":[0,88,50]},{"color":[280,31,50]},{"color":[343,64,50]},{"color":[11,3,50]},{"color":[221,81,50]},{"color":[358,32,50]},{"color":[250,11,50]},{"color":[25,3,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652217582	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,75,50]},{"color":[290,12,50]},{"color":[68,74,50]},{"color":[30,10,50]},{"color":[109,30,50]},{"color":[105,47,50]},{"color":[133,49,50]},{"color":[234,91,50]},{"color":[10,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[323,87,50]},{"color":[237,45,50]},{"color":[246,41,50]},{"color":[286,25,50]},{"color":[254,20,50]},{"color":[335,1,50]},{"color":[2,62,50]},{"color":[180,32,50]},{"color":[161,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,19,50]},{"color":[259,87,50]},{"color":[217,81,50]},{"color":[313,50,50]},{"color":[317,45,50]},{"color":[241,14,50]},{"color":[20,50,50]},{"color":[85,9,50]},{"color":[200,47,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
