eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654258348	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[207,96,50]},{"color":[56,88,50]},{"color":[46,70,50]},{"color":[8,46,50]},{"color":[173,45,50]},{"color":[118,76,50]},{"color":[340,51,50]},{"color":[73,44,50]},{"color":[190,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[210,63,50]},{"color":[53,79,50]},{"color":[65,69,50]},{"color":[349,96,50]},{"color":[167,81,50]},{"color":[87,95,50]},{"color":[359,52,50]},{"color":[92,94,50]},{"color":[168,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[195,82,50]},{"color":[63,80,50]},{"color":[55,92,50]},{"color":[20,91,50]},{"color":[176,85,50]},{"color":[103,90,50]},{"color":[345,89,50]},{"color":[142,82,50]},{"color":[188,76,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654277043	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,94,50]},{"color":[101,89,50]},{"color":[13,69,50]},{"color":[228,77,50]},{"color":[47,2,50]},{"color":[93,36,50]},{"color":[32,87,50]},{"color":[29,17,50]},{"color":[82,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,67,50]},{"color":[302,55,50]},{"color":[147,40,50]},{"color":[186,53,50]},{"color":[160,25,50]},{"color":[11,72,50]},{"color":[151,70,50]},{"color":[168,24,50]},{"color":[121,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,1,50]},{"color":[11,32,50]},{"color":[250,35,50]},{"color":[54,76,50]},{"color":[21,71,50]},{"color":[34,11,50]},{"color":[97,0,50]},{"color":[253,98,50]},{"color":[307,82,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654308099	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,36,50]},{"color":[278,81,50]},{"color":[144,26,50]},{"color":[316,53,50]},{"color":[261,40,50]},{"color":[74,35,50]},{"color":[213,38,50]},{"color":[30,4,50]},{"color":[132,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,89,50]},{"color":[306,74,50]},{"color":[75,37,50]},{"color":[270,36,50]},{"color":[260,71,50]},{"color":[109,27,50]},{"color":[254,1,50]},{"color":[233,14,50]},{"color":[271,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,52,50]},{"color":[269,68,50]},{"color":[142,56,50]},{"color":[324,16,50]},{"color":[294,80,50]},{"color":[134,45,50]},{"color":[246,18,50]},{"color":[196,20,50]},{"color":[192,15,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654330087	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[132,22,50]},{"color":[353,24,50]},{"color":[350,70,50]},{"color":[38,68,50]},{"color":[253,66,50]},{"color":[189,12,50]},{"color":[341,17,50]},{"color":[209,0,50]},{"color":[84,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[338,21,50]},{"color":[50,80,50]},{"color":[227,31,50]},{"color":[176,24,50]},{"color":[197,98,50]},{"color":[352,6,50]},{"color":[98,8,50]},{"color":[82,99,50]},{"color":[242,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,17,50]},{"color":[292,73,50]},{"color":[164,57,50]},{"color":[87,99,50]},{"color":[9,30,50]},{"color":[243,88,50]},{"color":[154,99,50]},{"color":[18,60,50]},{"color":[312,96,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654343534	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,93,50]},{"color":[304,30,50]},{"color":[176,29,50]},{"color":[27,6,50]},{"color":[215,32,50]},{"color":[276,26,50]},{"color":[107,43,50]},{"color":[23,83,50]},{"color":[198,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,76,50]},{"color":[303,94,50]},{"color":[161,6,50]},{"color":[232,2,50]},{"color":[198,35,50]},{"color":[327,40,50]},{"color":[87,64,50]},{"color":[0,66,50]},{"color":[58,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,35,50]},{"color":[117,55,50]},{"color":[86,29,50]},{"color":[139,97,50]},{"color":[52,17,50]},{"color":[104,7,50]},{"color":[239,93,50]},{"color":[266,88,50]},{"color":[111,58,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654358732	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,31,50]},{"color":[311,46,50]},{"color":[257,6,50]},{"color":[274,0,50]},{"color":[143,53,50]},{"color":[81,79,50]},{"color":[311,15,50]},{"color":[146,68,50]},{"color":[281,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[193,75,50]},{"color":[330,83,50]},{"color":[18,13,50]},{"color":[194,29,50]},{"color":[137,84,50]},{"color":[149,81,50]},{"color":[341,17,50]},{"color":[119,52,50]},{"color":[257,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[275,36,50]},{"color":[257,56,50]},{"color":[262,92,50]},{"color":[120,75,50]},{"color":[210,5,50]},{"color":[351,99,50]},{"color":[264,52,50]},{"color":[342,35,50]},{"color":[296,7,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654439123	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,11,50]},{"color":[297,50,50]},{"color":[140,52,50]},{"color":[354,35,50]},{"color":[230,83,50]},{"color":[228,30,50]},{"color":[11,22,50]},{"color":[198,48,50]},{"color":[46,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,70,50]},{"color":[87,82,50]},{"color":[316,2,50]},{"color":[226,29,50]},{"color":[166,90,50]},{"color":[87,95,50]},{"color":[58,12,50]},{"color":[246,39,50]},{"color":[322,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,32,50]},{"color":[357,52,50]},{"color":[207,49,50]},{"color":[293,53,50]},{"color":[313,6,50]},{"color":[136,33,50]},{"color":[142,57,50]},{"color":[355,17,50]},{"color":[21,18,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654474861	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[233,62,50]},{"color":[13,51,50]},{"color":[55,20,50]},{"color":[229,78,50]},{"color":[187,5,50]},{"color":[332,14,50]},{"color":[175,19,50]},{"color":[151,1,50]},{"color":[103,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[152,69,50]},{"color":[294,93,50]},{"color":[174,28,50]},{"color":[282,5,50]},{"color":[256,81,50]},{"color":[192,88,50]},{"color":[336,19,50]},{"color":[218,76,50]},{"color":[174,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,27,50]},{"color":[353,35,50]},{"color":[97,41,50]},{"color":[265,65,50]},{"color":[175,19,50]},{"color":[349,0,50]},{"color":[129,9,50]},{"color":[107,9,50]},{"color":[69,84,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654494626	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,5,50]},{"color":[235,62,50]},{"color":[3,19,50]},{"color":[98,63,50]},{"color":[321,61,50]},{"color":[333,34,50]},{"color":[301,61,50]},{"color":[225,73,50]},{"color":[208,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,47,50]},{"color":[91,89,50]},{"color":[121,7,50]},{"color":[283,53,50]},{"color":[274,99,50]},{"color":[19,72,50]},{"color":[176,16,50]},{"color":[349,20,50]},{"color":[170,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,65,50]},{"color":[90,31,50]},{"color":[56,51,50]},{"color":[8,15,50]},{"color":[288,5,50]},{"color":[196,38,50]},{"color":[359,98,50]},{"color":[96,10,50]},{"color":[231,96,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654506482	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[87,46,50]},{"color":[89,27,50]},{"color":[240,4,50]},{"color":[245,21,50]},{"color":[328,99,50]},{"color":[181,10,50]},{"color":[231,37,50]},{"color":[247,99,50]},{"color":[116,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[315,81,50]},{"color":[355,0,50]},{"color":[158,69,50]},{"color":[181,49,50]},{"color":[237,26,50]},{"color":[129,46,50]},{"color":[310,31,50]},{"color":[138,71,50]},{"color":[288,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[291,45,50]},{"color":[208,9,50]},{"color":[151,28,50]},{"color":[159,50,50]},{"color":[286,61,50]},{"color":[90,89,50]},{"color":[332,35,50]},{"color":[153,37,50]},{"color":[307,48,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
