eventType	type	gameid	time	roundNum	state
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655631119	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,47,50]},{"color":[29,81,50]},{"color":[25,80,50]},{"color":[59,27,50]},{"color":[90,76,50]},{"color":[272,12,50]},{"color":[143,17,50]},{"color":[196,4,50]},{"color":[13,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[294,13,50]},{"color":[21,57,50]},{"color":[30,77,50]},{"color":[151,11,50]},{"color":[60,96,50]},{"color":[204,3,50]},{"color":[93,12,50]},{"color":[90,4,50]},{"color":[29,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[315,75,50]},{"color":[38,54,50]},{"color":[14,41,50]},{"color":[102,33,50]},{"color":[82,57,50]},{"color":[219,9,50]},{"color":[58,1,50]},{"color":[62,14,50]},{"color":[16,62,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655652651	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,67,50]},{"color":[338,89,50]},{"color":[200,72,50]},{"color":[103,83,50]},{"color":[137,68,50]},{"color":[176,66,50]},{"color":[90,87,50]},{"color":[190,56,50]},{"color":[59,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,90,50]},{"color":[349,41,50]},{"color":[207,29,50]},{"color":[119,51,50]},{"color":[103,40,50]},{"color":[168,56,50]},{"color":[91,42,50]},{"color":[178,42,50]},{"color":[86,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[217,94,50]},{"color":[321,23,50]},{"color":[189,56,50]},{"color":[66,41,50]},{"color":[118,91,50]},{"color":[149,51,50]},{"color":[109,46,50]},{"color":[174,72,50]},{"color":[44,28,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655694510	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,69,50]},{"color":[92,39,50]},{"color":[343,61,50]},{"color":[130,81,50]},{"color":[274,70,50]},{"color":[272,30,50]},{"color":[1,60,50]},{"color":[231,54,50]},{"color":[7,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,88,50]},{"color":[322,5,50]},{"color":[104,97,50]},{"color":[356,68,50]},{"color":[27,69,50]},{"color":[100,34,50]},{"color":[208,85,50]},{"color":[85,13,50]},{"color":[136,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,69,50]},{"color":[23,13,50]},{"color":[130,53,50]},{"color":[16,87,50]},{"color":[25,46,50]},{"color":[136,78,50]},{"color":[196,91,50]},{"color":[222,2,50]},{"color":[65,47,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655716573	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,17,50]},{"color":[355,69,50]},{"color":[240,15,50]},{"color":[138,33,50]},{"color":[148,98,50]},{"color":[219,46,50]},{"color":[15,66,50]},{"color":[92,34,50]},{"color":[101,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,72,50]},{"color":[284,18,50]},{"color":[345,92,50]},{"color":[207,66,50]},{"color":[260,85,50]},{"color":[7,10,50]},{"color":[293,80,50]},{"color":[296,80,50]},{"color":[330,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,41,50]},{"color":[85,24,50]},{"color":[144,23,50]},{"color":[278,98,50]},{"color":[338,15,50]},{"color":[97,60,50]},{"color":[183,37,50]},{"color":[165,3,50]},{"color":[290,35,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655742828	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[161,97,50]},{"color":[179,81,50]},{"color":[213,97,50]},{"color":[17,63,50]},{"color":[89,63,50]},{"color":[47,42,50]},{"color":[105,8,50]},{"color":[190,59,50]},{"color":[173,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[149,58,50]},{"color":[173,83,50]},{"color":[207,59,50]},{"color":[346,76,50]},{"color":[93,41,50]},{"color":[46,98,50]},{"color":[153,7,50]},{"color":[182,85,50]},{"color":[189,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[164,56,50]},{"color":[171,40,50]},{"color":[215,38,50]},{"color":[13,26,50]},{"color":[103,84,50]},{"color":[61,74,50]},{"color":[183,23,50]},{"color":[175,42,50]},{"color":[179,92,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655776783	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[333,41,50]},{"color":[122,5,50]},{"color":[199,86,50]},{"color":[147,47,50]},{"color":[158,62,50]},{"color":[95,89,50]},{"color":[337,8,50]},{"color":[350,82,50]},{"color":[316,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[60,29,50]},{"color":[46,95,50]},{"color":[39,19,50]},{"color":[192,23,50]},{"color":[261,82,50]},{"color":[242,23,50]},{"color":[61,56,50]},{"color":[169,34,50]},{"color":[224,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,75,50]},{"color":[85,3,50]},{"color":[193,36,50]},{"color":[169,78,50]},{"color":[175,66,50]},{"color":[108,42,50]},{"color":[344,16,50]},{"color":[0,71,50]},{"color":[297,86,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655813403	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,33,50]},{"color":[49,8,50]},{"color":[260,15,50]},{"color":[243,36,50]},{"color":[338,41,50]},{"color":[297,95,50]},{"color":[105,14,50]},{"color":[266,36,50]},{"color":[71,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[296,4,50]},{"color":[138,13,50]},{"color":[182,0,50]},{"color":[220,78,50]},{"color":[337,66,50]},{"color":[305,75,50]},{"color":[146,25,50]},{"color":[277,56,50]},{"color":[105,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[345,23,50]},{"color":[163,20,50]},{"color":[345,12,50]},{"color":[220,14,50]},{"color":[322,65,50]},{"color":[302,31,50]},{"color":[106,8,50]},{"color":[319,36,50]},{"color":[138,29,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655833031	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[250,18,50]},{"color":[19,28,50]},{"color":[52,64,50]},{"color":[14,3,50]},{"color":[209,15,50]},{"color":[9,15,50]},{"color":[23,43,50]},{"color":[39,76,50]},{"color":[38,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[41,30,50]},{"color":[67,94,50]},{"color":[21,61,50]},{"color":[105,95,50]},{"color":[114,17,50]},{"color":[122,76,50]},{"color":[308,86,50]},{"color":[288,36,50]},{"color":[222,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[208,47,50]},{"color":[42,13,50]},{"color":[64,40,50]},{"color":[210,5,50]},{"color":[240,43,50]},{"color":[47,1,50]},{"color":[22,16,50]},{"color":[30,70,50]},{"color":[17,30,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655846585	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[183,72,50]},{"color":[42,26,50]},{"color":[319,31,50]},{"color":[152,40,50]},{"color":[275,78,50]},{"color":[357,65,50]},{"color":[296,68,50]},{"color":[197,70,50]},{"color":[218,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[304,61,50]},{"color":[249,55,50]},{"color":[11,36,50]},{"color":[7,8,50]},{"color":[190,94,50]},{"color":[267,14,50]},{"color":[215,34,50]},{"color":[295,28,50]},{"color":[177,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,18,50]},{"color":[349,51,50]},{"color":[240,0,50]},{"color":[72,80,50]},{"color":[67,38,50]},{"color":[182,11,50]},{"color":[180,43,50]},{"color":[127,33,50]},{"color":[315,67,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655867801	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[174,94,50]},{"color":[72,82,50]},{"color":[232,85,50]},{"color":[326,69,50]},{"color":[186,53,50]},{"color":[144,16,50]},{"color":[63,63,50]},{"color":[335,68,50]},{"color":[56,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[244,9,50]},{"color":[171,22,50]},{"color":[337,37,50]},{"color":[187,31,50]},{"color":[295,25,50]},{"color":[110,94,50]},{"color":[329,34,50]},{"color":[174,68,50]},{"color":[183,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[315,67,50]},{"color":[29,92,50]},{"color":[177,92,50]},{"color":[52,6,50]},{"color":[248,97,50]},{"color":[6,70,50]},{"color":[164,73,50]},{"color":[278,73,50]},{"color":[116,66,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
