eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665211904	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,16,50]},{"color":[51,5,50]},{"color":[312,48,50]},{"color":[44,27,50]},{"color":[290,99,50]},{"color":[123,60,50]},{"color":[256,0,50]},{"color":[259,23,50]},{"color":[293,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,68,50]},{"color":[343,52,50]},{"color":[116,35,50]},{"color":[202,99,50]},{"color":[211,42,50]},{"color":[251,18,50]},{"color":[121,43,50]},{"color":[103,37,50]},{"color":[156,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[195,35,50]},{"color":[18,67,50]},{"color":[312,8,50]},{"color":[261,92,50]},{"color":[90,15,50]},{"color":[204,54,50]},{"color":[250,36,50]},{"color":[353,96,50]},{"color":[213,3,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665238172	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,91,50]},{"color":[131,97,50]},{"color":[325,14,50]},{"color":[317,7,50]},{"color":[320,20,50]},{"color":[303,53,50]},{"color":[201,80,50]},{"color":[3,73,50]},{"color":[133,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[45,23,50]},{"color":[19,93,50]},{"color":[62,54,50]},{"color":[102,30,50]},{"color":[164,4,50]},{"color":[116,81,50]},{"color":[300,15,50]},{"color":[160,86,50]},{"color":[188,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,29,50]},{"color":[20,61,50]},{"color":[119,60,50]},{"color":[129,30,50]},{"color":[88,13,50]},{"color":[113,43,50]},{"color":[286,64,50]},{"color":[108,68,50]},{"color":[205,53,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665249042	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,19,50]},{"color":[77,2,50]},{"color":[191,89,50]},{"color":[137,36,50]},{"color":[189,82,50]},{"color":[54,66,50]},{"color":[346,98,50]},{"color":[44,1,50]},{"color":[30,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[91,63,50]},{"color":[188,91,50]},{"color":[88,61,50]},{"color":[54,39,50]},{"color":[91,64,50]},{"color":[278,94,50]},{"color":[133,1,50]},{"color":[107,97,50]},{"color":[85,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,40,50]},{"color":[122,84,50]},{"color":[42,36,50]},{"color":[178,4,50]},{"color":[269,48,50]},{"color":[134,14,50]},{"color":[198,64,50]},{"color":[282,82,50]},{"color":[292,49,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665288874	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,29,50]},{"color":[62,10,50]},{"color":[114,48,50]},{"color":[138,17,50]},{"color":[209,32,50]},{"color":[186,81,50]},{"color":[271,16,50]},{"color":[359,80,50]},{"color":[164,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[320,39,50]},{"color":[334,45,50]},{"color":[15,77,50]},{"color":[208,82,50]},{"color":[327,53,50]},{"color":[322,57,50]},{"color":[98,30,50]},{"color":[275,14,50]},{"color":[338,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[40,56,50]},{"color":[89,0,50]},{"color":[97,68,50]},{"color":[133,29,50]},{"color":[195,46,50]},{"color":[189,95,50]},{"color":[241,14,50]},{"color":[357,57,50]},{"color":[129,17,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665308084	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[109,77,50]},{"color":[38,35,50]},{"color":[228,37,50]},{"color":[36,98,50]},{"color":[19,50,50]},{"color":[135,30,50]},{"color":[334,35,50]},{"color":[83,12,50]},{"color":[25,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,99,50]},{"color":[100,1,50]},{"color":[323,93,50]},{"color":[331,64,50]},{"color":[85,99,50]},{"color":[192,6,50]},{"color":[42,33,50]},{"color":[278,75,50]},{"color":[256,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,36,50]},{"color":[351,70,50]},{"color":[146,72,50]},{"color":[196,25,50]},{"color":[153,58,50]},{"color":[244,43,50]},{"color":[117,82,50]},{"color":[47,49,50]},{"color":[309,44,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665357735	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,21,50]},{"color":[204,54,50]},{"color":[336,15,50]},{"color":[285,80,50]},{"color":[359,42,50]},{"color":[24,79,50]},{"color":[72,25,50]},{"color":[36,38,50]},{"color":[352,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,66,50]},{"color":[316,60,50]},{"color":[143,2,50]},{"color":[159,93,50]},{"color":[179,68,50]},{"color":[123,44,50]},{"color":[83,77,50]},{"color":[92,90,50]},{"color":[269,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,17,50]},{"color":[223,65,50]},{"color":[10,32,50]},{"color":[319,78,50]},{"color":[325,64,50]},{"color":[25,30,50]},{"color":[129,34,50]},{"color":[59,5,50]},{"color":[312,28,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665376263	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[310,33,50]},{"color":[314,10,50]},{"color":[70,92,50]},{"color":[192,9,50]},{"color":[84,0,50]},{"color":[38,59,50]},{"color":[175,13,50]},{"color":[217,50,50]},{"color":[69,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[85,55,50]},{"color":[190,85,50]},{"color":[204,97,50]},{"color":[89,76,50]},{"color":[357,45,50]},{"color":[201,9,50]},{"color":[107,64,50]},{"color":[182,64,50]},{"color":[228,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,74,50]},{"color":[131,9,50]},{"color":[300,28,50]},{"color":[143,36,50]},{"color":[47,94,50]},{"color":[96,32,50]},{"color":[211,91,50]},{"color":[284,45,50]},{"color":[93,19,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665415797	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[167,80,50]},{"color":[138,56,50]},{"color":[42,71,50]},{"color":[225,5,50]},{"color":[155,34,50]},{"color":[138,4,50]},{"color":[183,20,50]},{"color":[78,56,50]},{"color":[129,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[177,83,50]},{"color":[91,87,50]},{"color":[52,46,50]},{"color":[48,1,50]},{"color":[129,23,50]},{"color":[38,15,50]},{"color":[197,92,50]},{"color":[56,21,50]},{"color":[121,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,53,50]},{"color":[79,60,50]},{"color":[32,56,50]},{"color":[199,35,50]},{"color":[69,25,50]},{"color":[193,2,50]},{"color":[191,68,50]},{"color":[91,46,50]},{"color":[170,39,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665430600	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[48,55,50]},{"color":[357,58,50]},{"color":[64,54,50]},{"color":[60,23,50]},{"color":[177,12,50]},{"color":[351,89,50]},{"color":[196,73,50]},{"color":[120,97,50]},{"color":[349,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[11,60,50]},{"color":[352,2,50]},{"color":[192,1,50]},{"color":[90,69,50]},{"color":[25,94,50]},{"color":[177,89,50]},{"color":[135,85,50]},{"color":[198,64,50]},{"color":[80,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[282,63,50]},{"color":[98,98,50]},{"color":[183,49,50]},{"color":[190,71,50]},{"color":[108,94,50]},{"color":[50,72,50]},{"color":[230,9,50]},{"color":[6,73,50]},{"color":[231,17,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665488917	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,52,50]},{"color":[346,25,50]},{"color":[247,37,50]},{"color":[230,63,50]},{"color":[107,96,50]},{"color":[317,60,50]},{"color":[294,34,50]},{"color":[144,75,50]},{"color":[77,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[250,63,50]},{"color":[335,69,50]},{"color":[242,64,50]},{"color":[241,76,50]},{"color":[146,80,50]},{"color":[331,59,50]},{"color":[338,61,50]},{"color":[167,72,50]},{"color":[153,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[273,25,50]},{"color":[341,50,50]},{"color":[238,21,50]},{"color":[282,82,50]},{"color":[100,49,50]},{"color":[279,46,50]},{"color":[302,16,50]},{"color":[149,51,50]},{"color":[108,37,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
