eventType	type	gameid	time	roundNum	state
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721353318	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[314,93,50]},{"color":[105,26,50]},{"color":[45,84,50]},{"color":[102,29,50]},{"color":[188,82,50]},{"color":[238,50,50]},{"color":[84,61,50]},{"color":[233,3,50]},{"color":[310,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,62,50]},{"color":[141,78,50]},{"color":[59,85,50]},{"color":[121,68,50]},{"color":[184,46,50]},{"color":[274,72,50]},{"color":[94,48,50]},{"color":[202,25,50]},{"color":[271,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[294,58,50]},{"color":[159,71,50]},{"color":[69,61,50]},{"color":[159,53,50]},{"color":[183,87,50]},{"color":[223,69,50]},{"color":[119,90,50]},{"color":[141,8,50]},{"color":[265,59,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721379305	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[90,44,50]},{"color":[152,83,50]},{"color":[181,94,50]},{"color":[53,93,50]},{"color":[105,56,50]},{"color":[143,85,50]},{"color":[161,8,50]},{"color":[137,37,50]},{"color":[97,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,87,50]},{"color":[323,13,50]},{"color":[141,65,50]},{"color":[315,50,50]},{"color":[310,81,50]},{"color":[25,43,50]},{"color":[177,92,50]},{"color":[317,0,50]},{"color":[119,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,8,50]},{"color":[54,82,50]},{"color":[35,33,50]},{"color":[127,5,50]},{"color":[353,9,50]},{"color":[177,59,50]},{"color":[199,87,50]},{"color":[303,26,50]},{"color":[316,30,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721438178	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[68,17,50]},{"color":[119,91,50]},{"color":[210,59,50]},{"color":[163,72,50]},{"color":[331,78,50]},{"color":[101,74,50]},{"color":[104,74,50]},{"color":[60,81,50]},{"color":[115,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,34,50]},{"color":[144,82,50]},{"color":[224,58,50]},{"color":[178,33,50]},{"color":[317,48,50]},{"color":[72,49,50]},{"color":[72,53,50]},{"color":[65,55,50]},{"color":[55,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[119,16,50]},{"color":[104,59,50]},{"color":[239,39,50]},{"color":[178,85,50]},{"color":[291,42,50]},{"color":[147,80,50]},{"color":[63,46,50]},{"color":[95,83,50]},{"color":[75,68,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721471746	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[271,99,50]},{"color":[231,50,50]},{"color":[245,27,50]},{"color":[240,15,50]},{"color":[246,69,50]},{"color":[301,6,50]},{"color":[219,96,50]},{"color":[128,98,50]},{"color":[343,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[311,48,50]},{"color":[216,89,50]},{"color":[233,92,50]},{"color":[205,18,50]},{"color":[272,35,50]},{"color":[91,3,50]},{"color":[255,40,50]},{"color":[146,71,50]},{"color":[320,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,36,50]},{"color":[243,8,50]},{"color":[194,55,50]},{"color":[309,88,50]},{"color":[338,95,50]},{"color":[245,67,50]},{"color":[167,26,50]},{"color":[35,47,50]},{"color":[27,6,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721505056	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[108,4,50]},{"color":[232,88,50]},{"color":[317,23,50]},{"color":[153,43,50]},{"color":[118,35,50]},{"color":[279,3,50]},{"color":[303,23,50]},{"color":[20,86,50]},{"color":[197,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,50,50]},{"color":[71,9,50]},{"color":[177,39,50]},{"color":[16,97,50]},{"color":[345,0,50]},{"color":[285,87,50]},{"color":[127,65,50]},{"color":[255,45,50]},{"color":[37,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[153,77,50]},{"color":[196,13,50]},{"color":[182,57,50]},{"color":[23,65,50]},{"color":[67,4,50]},{"color":[250,99,50]},{"color":[81,24,50]},{"color":[201,16,50]},{"color":[62,26,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721525049	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,18,50]},{"color":[16,45,50]},{"color":[204,71,50]},{"color":[224,92,50]},{"color":[47,76,50]},{"color":[86,93,50]},{"color":[297,74,50]},{"color":[223,16,50]},{"color":[103,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[317,9,50]},{"color":[148,67,50]},{"color":[296,76,50]},{"color":[291,22,50]},{"color":[265,62,50]},{"color":[93,34,50]},{"color":[194,43,50]},{"color":[145,15,50]},{"color":[42,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,84,50]},{"color":[68,52,50]},{"color":[178,44,50]},{"color":[155,44,50]},{"color":[194,49,50]},{"color":[223,13,50]},{"color":[123,12,50]},{"color":[276,67,50]},{"color":[311,1,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721573664	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[183,19,50]},{"color":[75,15,50]},{"color":[265,35,50]},{"color":[332,39,50]},{"color":[186,59,50]},{"color":[181,44,50]},{"color":[234,45,50]},{"color":[254,34,50]},{"color":[63,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,86,50]},{"color":[171,21,50]},{"color":[244,34,50]},{"color":[277,33,50]},{"color":[172,73,50]},{"color":[156,50,50]},{"color":[220,98,50]},{"color":[310,54,50]},{"color":[79,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[199,49,50]},{"color":[120,2,50]},{"color":[232,29,50]},{"color":[326,67,50]},{"color":[159,26,50]},{"color":[134,11,50]},{"color":[216,69,50]},{"color":[287,32,50]},{"color":[103,9,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721605637	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[320,25,50]},{"color":[242,41,50]},{"color":[32,36,50]},{"color":[292,56,50]},{"color":[195,76,50]},{"color":[317,35,50]},{"color":[196,82,50]},{"color":[198,96,50]},{"color":[1,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[278,90,50]},{"color":[31,84,50]},{"color":[51,95,50]},{"color":[341,83,50]},{"color":[146,91,50]},{"color":[65,13,50]},{"color":[268,55,50]},{"color":[318,99,50]},{"color":[268,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,99,50]},{"color":[126,20,50]},{"color":[163,92,50]},{"color":[46,52,50]},{"color":[137,6,50]},{"color":[92,56,50]},{"color":[116,95,50]},{"color":[270,79,50]},{"color":[70,18,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721625359	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,87,50]},{"color":[236,12,50]},{"color":[100,50,50]},{"color":[138,24,50]},{"color":[290,77,50]},{"color":[287,63,50]},{"color":[136,53,50]},{"color":[126,7,50]},{"color":[180,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[54,75,50]},{"color":[1,25,50]},{"color":[12,27,50]},{"color":[56,68,50]},{"color":[41,9,50]},{"color":[21,71,50]},{"color":[352,26,50]},{"color":[321,89,50]},{"color":[89,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[284,71,50]},{"color":[186,4,50]},{"color":[137,18,50]},{"color":[116,45,50]},{"color":[276,36,50]},{"color":[228,90,50]},{"color":[120,71,50]},{"color":[262,2,50]},{"color":[166,91,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721734696	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[272,79,50]},{"color":[197,27,50]},{"color":[90,44,50]},{"color":[309,54,50]},{"color":[54,33,50]},{"color":[126,66,50]},{"color":[236,66,50]},{"color":[139,78,50]},{"color":[168,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[155,46,50]},{"color":[98,89,50]},{"color":[285,62,50]},{"color":[154,42,50]},{"color":[274,78,50]},{"color":[233,62,50]},{"color":[48,46,50]},{"color":[236,51,50]},{"color":[42,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[153,10,50]},{"color":[64,92,50]},{"color":[296,43,50]},{"color":[96,9,50]},{"color":[252,88,50]},{"color":[274,94,50]},{"color":[56,88,50]},{"color":[260,96,50]},{"color":[60,55,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
