eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523721945368	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[83,68,50]},{"color":[156,26,50]},{"color":[148,0,50]},{"color":[116,46,50]},{"color":[210,81,50]},{"color":[24,84,50]},{"color":[250,72,50]},{"color":[9,38,50]},{"color":[151,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,61,50]},{"color":[48,55,50]},{"color":[265,40,50]},{"color":[247,39,50]},{"color":[311,91,50]},{"color":[60,50,50]},{"color":[200,6,50]},{"color":[128,18,50]},{"color":[41,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,2,50]},{"color":[352,13,50]},{"color":[193,81,50]},{"color":[352,36,50]},{"color":[320,7,50]},{"color":[162,43,50]},{"color":[105,73,50]},{"color":[249,80,50]},{"color":[78,92,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523721989919	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[249,27,50]},{"color":[328,26,50]},{"color":[258,43,50]},{"color":[298,68,50]},{"color":[314,69,50]},{"color":[112,34,50]},{"color":[286,80,50]},{"color":[228,0,50]},{"color":[33,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,42,50]},{"color":[336,88,50]},{"color":[253,55,50]},{"color":[275,37,50]},{"color":[337,17,50]},{"color":[118,63,50]},{"color":[264,59,50]},{"color":[290,7,50]},{"color":[330,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[240,62,50]},{"color":[350,64,50]},{"color":[223,59,50]},{"color":[288,32,50]},{"color":[324,41,50]},{"color":[133,81,50]},{"color":[293,56,50]},{"color":[240,12,50]},{"color":[30,2,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722052997	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[324,3,50]},{"color":[228,82,50]},{"color":[134,31,50]},{"color":[85,56,50]},{"color":[285,47,50]},{"color":[30,86,50]},{"color":[337,62,50]},{"color":[42,18,50]},{"color":[283,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[214,7,50]},{"color":[276,54,50]},{"color":[178,22,50]},{"color":[112,41,50]},{"color":[306,92,50]},{"color":[42,85,50]},{"color":[348,47,50]},{"color":[101,15,50]},{"color":[247,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,7,50]},{"color":[222,90,50]},{"color":[116,14,50]},{"color":[145,68,50]},{"color":[333,67,50]},{"color":[42,65,50]},{"color":[339,39,50]},{"color":[73,28,50]},{"color":[298,32,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722070841	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,26,50]},{"color":[207,96,50]},{"color":[315,67,50]},{"color":[17,48,50]},{"color":[174,14,50]},{"color":[352,66,50]},{"color":[342,4,50]},{"color":[258,47,50]},{"color":[232,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[320,49,50]},{"color":[59,41,50]},{"color":[2,76,50]},{"color":[209,79,50]},{"color":[43,97,50]},{"color":[37,1,50]},{"color":[57,24,50]},{"color":[82,10,50]},{"color":[167,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,59,50]},{"color":[359,38,50]},{"color":[135,21,50]},{"color":[307,60,50]},{"color":[319,15,50]},{"color":[103,72,50]},{"color":[217,44,50]},{"color":[121,97,50]},{"color":[316,81,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722117756	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,87,50]},{"color":[255,12,50]},{"color":[62,32,50]},{"color":[314,0,50]},{"color":[158,11,50]},{"color":[205,67,50]},{"color":[110,61,50]},{"color":[291,93,50]},{"color":[259,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,88,50]},{"color":[300,20,50]},{"color":[133,53,50]},{"color":[180,17,50]},{"color":[201,28,50]},{"color":[225,51,50]},{"color":[82,54,50]},{"color":[278,63,50]},{"color":[286,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,92,50]},{"color":[202,2,50]},{"color":[116,20,50]},{"color":[125,14,50]},{"color":[163,23,50]},{"color":[202,34,50]},{"color":[150,96,50]},{"color":[302,61,50]},{"color":[272,91,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722133919	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,4,50]},{"color":[176,56,50]},{"color":[98,99,50]},{"color":[248,18,50]},{"color":[276,13,50]},{"color":[301,25,50]},{"color":[67,37,50]},{"color":[2,94,50]},{"color":[260,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[48,17,50]},{"color":[181,39,50]},{"color":[92,52,50]},{"color":[333,6,50]},{"color":[13,8,50]},{"color":[232,26,50]},{"color":[104,63,50]},{"color":[353,90,50]},{"color":[269,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[233,85,50]},{"color":[95,55,50]},{"color":[326,32,50]},{"color":[86,15,50]},{"color":[217,40,50]},{"color":[119,13,50]},{"color":[31,53,50]},{"color":[340,22,50]},{"color":[50,56,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722152398	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,30,50]},{"color":[137,54,50]},{"color":[95,11,50]},{"color":[114,30,50]},{"color":[77,95,50]},{"color":[127,21,50]},{"color":[123,21,50]},{"color":[93,42,50]},{"color":[31,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,43,50]},{"color":[250,40,50]},{"color":[245,74,50]},{"color":[73,71,50]},{"color":[189,55,50]},{"color":[195,19,50]},{"color":[13,28,50]},{"color":[259,54,50]},{"color":[239,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,70,50]},{"color":[119,65,50]},{"color":[92,23,50]},{"color":[131,9,50]},{"color":[112,85,50]},{"color":[154,38,50]},{"color":[165,8,50]},{"color":[60,61,50]},{"color":[26,63,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722174350	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[267,89,50]},{"color":[67,16,50]},{"color":[303,85,50]},{"color":[220,12,50]},{"color":[242,53,50]},{"color":[84,3,50]},{"color":[5,17,50]},{"color":[145,11,50]},{"color":[321,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,62,50]},{"color":[41,26,50]},{"color":[304,55,50]},{"color":[222,38,50]},{"color":[220,87,50]},{"color":[108,20,50]},{"color":[295,22,50]},{"color":[68,17,50]},{"color":[339,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,42,50]},{"color":[226,1,50]},{"color":[303,37,50]},{"color":[212,94,50]},{"color":[242,72,50]},{"color":[181,25,50]},{"color":[282,5,50]},{"color":[39,19,50]},{"color":[310,64,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722204627	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,11,50]},{"color":[242,26,50]},{"color":[12,77,50]},{"color":[245,8,50]},{"color":[156,49,50]},{"color":[108,11,50]},{"color":[189,53,50]},{"color":[189,8,50]},{"color":[163,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[29,52,50]},{"color":[58,29,50]},{"color":[300,36,50]},{"color":[163,74,50]},{"color":[333,46,50]},{"color":[312,88,50]},{"color":[331,62,50]},{"color":[65,49,50]},{"color":[37,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,0,50]},{"color":[262,95,50]},{"color":[16,91,50]},{"color":[218,9,50]},{"color":[170,51,50]},{"color":[43,12,50]},{"color":[180,70,50]},{"color":[209,29,50]},{"color":[160,65,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722227963	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[118,49,50]},{"color":[165,15,50]},{"color":[78,10,50]},{"color":[56,41,50]},{"color":[46,60,50]},{"color":[131,43,50]},{"color":[321,82,50]},{"color":[158,62,50]},{"color":[340,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,29,50]},{"color":[320,60,50]},{"color":[10,99,50]},{"color":[286,22,50]},{"color":[248,17,50]},{"color":[284,55,50]},{"color":[145,23,50]},{"color":[298,47,50]},{"color":[82,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,83,50]},{"color":[269,27,50]},{"color":[13,68,50]},{"color":[318,71,50]},{"color":[264,4,50]},{"color":[270,83,50]},{"color":[101,25,50]},{"color":[284,51,50]},{"color":[86,21,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
