eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838275526	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,49,50]},{"color":[254,76,50]},{"color":[70,36,50]},{"color":[338,82,50]},{"color":[351,51,50]},{"color":[97,6,50]},{"color":[67,41,50]},{"color":[141,41,50]},{"color":[173,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[158,70,50]},{"color":[282,56,50]},{"color":[74,93,50]},{"color":[343,28,50]},{"color":[316,32,50]},{"color":[115,23,50]},{"color":[93,74,50]},{"color":[83,59,50]},{"color":[144,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[108,30,50]},{"color":[248,41,50]},{"color":[52,74,50]},{"color":[322,87,50]},{"color":[336,97,50]},{"color":[50,22,50]},{"color":[75,65,50]},{"color":[61,23,50]},{"color":[159,53,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838336865	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[11,84,50]},{"color":[235,63,50]},{"color":[196,85,50]},{"color":[111,33,50]},{"color":[229,39,50]},{"color":[64,27,50]},{"color":[257,58,50]},{"color":[21,3,50]},{"color":[13,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[261,71,50]},{"color":[79,64,50]},{"color":[69,90,50]},{"color":[260,98,50]},{"color":[317,45,50]},{"color":[218,26,50]},{"color":[198,86,50]},{"color":[344,90,50]},{"color":[148,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[190,10,50]},{"color":[315,54,50]},{"color":[282,66,50]},{"color":[198,5,50]},{"color":[183,69,50]},{"color":[149,93,50]},{"color":[94,15,50]},{"color":[77,71,50]},{"color":[184,55,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838385625	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[119,27,50]},{"color":[346,78,50]},{"color":[150,32,50]},{"color":[13,16,50]},{"color":[47,22,50]},{"color":[350,72,50]},{"color":[190,53,50]},{"color":[81,93,50]},{"color":[200,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[340,3,50]},{"color":[257,70,50]},{"color":[266,20,50]},{"color":[78,14,50]},{"color":[122,65,50]},{"color":[149,99,50]},{"color":[153,34,50]},{"color":[65,7,50]},{"color":[95,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[17,17,50]},{"color":[269,45,50]},{"color":[314,54,50]},{"color":[124,27,50]},{"color":[137,47,50]},{"color":[97,97,50]},{"color":[163,46,50]},{"color":[52,30,50]},{"color":[161,24,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838450419	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,53,50]},{"color":[105,30,50]},{"color":[94,46,50]},{"color":[339,21,50]},{"color":[328,57,50]},{"color":[69,13,50]},{"color":[247,88,50]},{"color":[118,10,50]},{"color":[150,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[186,65,50]},{"color":[0,96,50]},{"color":[21,56,50]},{"color":[175,0,50]},{"color":[254,47,50]},{"color":[300,29,50]},{"color":[301,7,50]},{"color":[269,15,50]},{"color":[190,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,44,50]},{"color":[239,51,50]},{"color":[323,13,50]},{"color":[131,42,50]},{"color":[110,79,50]},{"color":[226,59,50]},{"color":[168,13,50]},{"color":[297,79,50]},{"color":[303,33,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838479431	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,2,50]},{"color":[2,74,50]},{"color":[254,85,50]},{"color":[232,82,50]},{"color":[169,54,50]},{"color":[53,45,50]},{"color":[323,63,50]},{"color":[179,60,50]},{"color":[200,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[263,87,50]},{"color":[175,55,50]},{"color":[99,45,50]},{"color":[308,38,50]},{"color":[261,4,50]},{"color":[295,64,50]},{"color":[108,40,50]},{"color":[314,98,50]},{"color":[265,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,80,50]},{"color":[226,72,50]},{"color":[161,13,50]},{"color":[74,57,50]},{"color":[190,98,50]},{"color":[194,71,50]},{"color":[248,87,50]},{"color":[252,36,50]},{"color":[350,40,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838528070	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[164,94,50]},{"color":[149,59,50]},{"color":[277,94,50]},{"color":[244,4,50]},{"color":[82,63,50]},{"color":[106,91,50]},{"color":[245,9,50]},{"color":[171,57,50]},{"color":[251,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,76,50]},{"color":[127,41,50]},{"color":[309,32,50]},{"color":[270,9,50]},{"color":[65,61,50]},{"color":[131,69,50]},{"color":[333,28,50]},{"color":[160,60,50]},{"color":[253,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[153,73,50]},{"color":[77,52,50]},{"color":[311,56,50]},{"color":[300,17,50]},{"color":[57,90,50]},{"color":[73,78,50]},{"color":[287,3,50]},{"color":[136,42,50]},{"color":[205,24,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838555573	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[131,5,50]},{"color":[160,51,50]},{"color":[140,55,50]},{"color":[169,86,50]},{"color":[247,79,50]},{"color":[146,46,50]},{"color":[330,78,50]},{"color":[183,75,50]},{"color":[189,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[52,54,50]},{"color":[304,60,50]},{"color":[292,44,50]},{"color":[96,50,50]},{"color":[308,76,50]},{"color":[262,96,50]},{"color":[195,94,50]},{"color":[132,29,50]},{"color":[247,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,42,50]},{"color":[116,97,50]},{"color":[8,39,50]},{"color":[265,85,50]},{"color":[312,6,50]},{"color":[62,7,50]},{"color":[40,43,50]},{"color":[256,38,50]},{"color":[95,94,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838584242	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,42,50]},{"color":[296,29,50]},{"color":[82,17,50]},{"color":[211,1,50]},{"color":[92,17,50]},{"color":[103,15,50]},{"color":[19,62,50]},{"color":[238,71,50]},{"color":[62,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[147,57,50]},{"color":[229,51,50]},{"color":[305,70,50]},{"color":[83,98,50]},{"color":[29,73,50]},{"color":[170,95,50]},{"color":[259,79,50]},{"color":[50,52,50]},{"color":[10,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,37,50]},{"color":[69,82,50]},{"color":[350,85,50]},{"color":[184,65,50]},{"color":[201,42,50]},{"color":[330,98,50]},{"color":[258,13,50]},{"color":[210,84,50]},{"color":[159,39,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838613865	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[25,98,50]},{"color":[15,84,50]},{"color":[296,3,50]},{"color":[87,41,50]},{"color":[4,59,50]},{"color":[309,81,50]},{"color":[168,14,50]},{"color":[224,34,50]},{"color":[90,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[290,69,50]},{"color":[10,22,50]},{"color":[252,31,50]},{"color":[264,9,50]},{"color":[225,71,50]},{"color":[225,48,50]},{"color":[316,23,50]},{"color":[299,39,50]},{"color":[170,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,92,50]},{"color":[128,37,50]},{"color":[54,75,50]},{"color":[355,92,50]},{"color":[320,79,50]},{"color":[174,79,50]},{"color":[160,64,50]},{"color":[93,44,50]},{"color":[206,26,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9955-1cbd5506-e782-422f-84e7-70366d4f805c	1523838644249	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,62,50]},{"color":[30,52,50]},{"color":[55,4,50]},{"color":[126,68,50]},{"color":[99,11,50]},{"color":[7,69,50]},{"color":[138,11,50]},{"color":[122,91,50]},{"color":[257,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[5,23,50]},{"color":[225,59,50]},{"color":[330,96,50]},{"color":[140,19,50]},{"color":[24,28,50]},{"color":[117,63,50]},{"color":[315,48,50]},{"color":[314,68,50]},{"color":[326,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[324,86,50]},{"color":[302,27,50]},{"color":[10,44,50]},{"color":[287,48,50]},{"color":[303,85,50]},{"color":[244,11,50]},{"color":[30,22,50]},{"color":[186,75,50]},{"color":[184,16,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
