eventType	type	gameid	time	roundNum	state
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838478538	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,40,50]},{"color":[129,90,50]},{"color":[270,19,50]},{"color":[259,25,50]},{"color":[129,93,50]},{"color":[71,99,50]},{"color":[264,84,50]},{"color":[282,0,50]},{"color":[248,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,14,50]},{"color":[139,27,50]},{"color":[122,1,50]},{"color":[41,52,50]},{"color":[286,54,50]},{"color":[39,27,50]},{"color":[220,50,50]},{"color":[190,95,50]},{"color":[190,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,92,50]},{"color":[217,38,50]},{"color":[220,82,50]},{"color":[10,66,50]},{"color":[22,38,50]},{"color":[12,51,50]},{"color":[179,19,50]},{"color":[336,98,50]},{"color":[149,53,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838504510	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[275,57,50]},{"color":[344,47,50]},{"color":[53,85,50]},{"color":[212,4,50]},{"color":[125,19,50]},{"color":[237,97,50]},{"color":[98,73,50]},{"color":[156,49,50]},{"color":[271,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[14,84,50]},{"color":[38,95,50]},{"color":[145,84,50]},{"color":[354,93,50]},{"color":[29,26,50]},{"color":[342,82,50]},{"color":[34,79,50]},{"color":[177,10,50]},{"color":[142,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[349,97,50]},{"color":[42,72,50]},{"color":[127,78,50]},{"color":[21,67,50]},{"color":[26,0,50]},{"color":[349,85,50]},{"color":[46,64,50]},{"color":[185,30,50]},{"color":[74,55,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838570027	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[102,19,50]},{"color":[265,47,50]},{"color":[203,4,50]},{"color":[244,61,50]},{"color":[209,10,50]},{"color":[139,36,50]},{"color":[277,13,50]},{"color":[131,86,50]},{"color":[332,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[79,51,50]},{"color":[242,50,50]},{"color":[99,3,50]},{"color":[224,62,50]},{"color":[283,55,50]},{"color":[157,31,50]},{"color":[152,1,50]},{"color":[80,89,50]},{"color":[307,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,46,50]},{"color":[233,99,50]},{"color":[325,2,50]},{"color":[251,31,50]},{"color":[280,30,50]},{"color":[159,61,50]},{"color":[1,3,50]},{"color":[118,54,50]},{"color":[333,11,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838582974	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,23,50]},{"color":[283,90,50]},{"color":[257,94,50]},{"color":[73,1,50]},{"color":[127,27,50]},{"color":[38,26,50]},{"color":[311,9,50]},{"color":[156,11,50]},{"color":[347,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,40,50]},{"color":[228,49,50]},{"color":[305,52,50]},{"color":[269,49,50]},{"color":[24,29,50]},{"color":[172,55,50]},{"color":[151,47,50]},{"color":[67,91,50]},{"color":[335,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,73,50]},{"color":[153,72,50]},{"color":[219,31,50]},{"color":[61,74,50]},{"color":[242,19,50]},{"color":[304,34,50]},{"color":[303,45,50]},{"color":[38,30,50]},{"color":[107,30,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838637803	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,11,50]},{"color":[92,3,50]},{"color":[198,99,50]},{"color":[169,24,50]},{"color":[335,65,50]},{"color":[335,6,50]},{"color":[3,76,50]},{"color":[305,48,50]},{"color":[124,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,42,50]},{"color":[44,31,50]},{"color":[184,58,50]},{"color":[80,21,50]},{"color":[324,44,50]},{"color":[3,25,50]},{"color":[3,34,50]},{"color":[298,29,50]},{"color":[158,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[145,34,50]},{"color":[102,21,50]},{"color":[189,88,50]},{"color":[157,45,50]},{"color":[318,28,50]},{"color":[309,20,50]},{"color":[345,49,50]},{"color":[343,51,50]},{"color":[144,72,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838660247	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[64,51,50]},{"color":[219,45,50]},{"color":[63,68,50]},{"color":[330,92,50]},{"color":[34,21,50]},{"color":[12,60,50]},{"color":[80,46,50]},{"color":[204,70,50]},{"color":[38,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[91,55,50]},{"color":[229,42,50]},{"color":[109,86,50]},{"color":[2,37,50]},{"color":[52,13,50]},{"color":[5,89,50]},{"color":[92,27,50]},{"color":[219,46,50]},{"color":[48,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[63,75,50]},{"color":[240,25,50]},{"color":[79,88,50]},{"color":[358,22,50]},{"color":[66,34,50]},{"color":[346,62,50]},{"color":[114,57,50]},{"color":[195,34,50]},{"color":[63,19,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838695037	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[298,62,50]},{"color":[227,96,50]},{"color":[359,35,50]},{"color":[341,95,50]},{"color":[260,20,50]},{"color":[330,59,50]},{"color":[31,66,50]},{"color":[32,20,50]},{"color":[228,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,57,50]},{"color":[190,68,50]},{"color":[178,67,50]},{"color":[311,47,50]},{"color":[47,59,50]},{"color":[37,64,50]},{"color":[228,93,50]},{"color":[203,30,50]},{"color":[43,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[210,76,50]},{"color":[214,17,50]},{"color":[236,79,50]},{"color":[197,26,50]},{"color":[236,91,50]},{"color":[159,22,50]},{"color":[311,90,50]},{"color":[266,29,50]},{"color":[25,80,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838717748	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[174,78,50]},{"color":[279,18,50]},{"color":[18,65,50]},{"color":[141,62,50]},{"color":[216,89,50]},{"color":[293,91,50]},{"color":[246,56,50]},{"color":[52,82,50]},{"color":[96,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[122,31,50]},{"color":[161,60,50]},{"color":[221,32,50]},{"color":[203,4,50]},{"color":[57,6,50]},{"color":[278,8,50]},{"color":[338,37,50]},{"color":[205,92,50]},{"color":[33,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[84,36,50]},{"color":[169,64,50]},{"color":[215,17,50]},{"color":[232,25,50]},{"color":[166,0,50]},{"color":[221,35,50]},{"color":[336,68,50]},{"color":[215,93,50]},{"color":[39,54,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838737228	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,40,50]},{"color":[268,83,50]},{"color":[321,19,50]},{"color":[46,24,50]},{"color":[195,81,50]},{"color":[6,20,50]},{"color":[275,95,50]},{"color":[280,58,50]},{"color":[92,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[246,61,50]},{"color":[238,57,50]},{"color":[315,60,50]},{"color":[41,80,50]},{"color":[198,92,50]},{"color":[346,83,50]},{"color":[226,65,50]},{"color":[272,70,50]},{"color":[120,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[218,61,50]},{"color":[262,50,50]},{"color":[303,25,50]},{"color":[51,39,50]},{"color":[191,48,50]},{"color":[351,56,50]},{"color":[243,77,50]},{"color":[315,43,50]},{"color":[104,50,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838755194	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[306,6,50]},{"color":[329,42,50]},{"color":[258,74,50]},{"color":[45,58,50]},{"color":[357,80,50]},{"color":[36,76,50]},{"color":[249,60,50]},{"color":[212,61,50]},{"color":[12,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,36,50]},{"color":[12,96,50]},{"color":[334,90,50]},{"color":[358,30,50]},{"color":[202,29,50]},{"color":[156,51,50]},{"color":[11,57,50]},{"color":[64,34,50]},{"color":[221,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[116,88,50]},{"color":[294,0,50]},{"color":[219,33,50]},{"color":[117,79,50]},{"color":[285,94,50]},{"color":[275,27,50]},{"color":[107,47,50]},{"color":[100,97,50]},{"color":[191,8,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838768638	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[243,36,50]},{"color":[1,25,50]},{"color":[229,24,50]},{"color":[23,71,50]},{"color":[28,87,50]},{"color":[140,5,50]},{"color":[89,18,50]},{"color":[154,12,50]},{"color":[32,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,4,50]},{"color":[45,65,50]},{"color":[299,51,50]},{"color":[81,31,50]},{"color":[54,2,50]},{"color":[224,23,50]},{"color":[0,13,50]},{"color":[228,24,50]},{"color":[108,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[132,45,50]},{"color":[276,72,50]},{"color":[29,87,50]},{"color":[211,27,50]},{"color":[214,77,50]},{"color":[264,78,50]},{"color":[52,79,50]},{"color":[259,64,50]},{"color":[276,92,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838788739	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[214,51,50]},{"color":[267,31,50]},{"color":[127,15,50]},{"color":[226,57,50]},{"color":[38,10,50]},{"color":[254,8,50]},{"color":[113,1,50]},{"color":[134,75,50]},{"color":[281,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[45,48,50]},{"color":[357,47,50]},{"color":[303,67,50]},{"color":[48,18,50]},{"color":[93,65,50]},{"color":[165,28,50]},{"color":[287,97,50]},{"color":[345,2,50]},{"color":[219,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[233,41,50]},{"color":[236,63,50]},{"color":[92,26,50]},{"color":[252,32,50]},{"color":[15,12,50]},{"color":[307,17,50]},{"color":[9,15,50]},{"color":[155,54,50]},{"color":[312,55,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838807878	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[349,2,50]},{"color":[226,27,50]},{"color":[222,8,50]},{"color":[11,44,50]},{"color":[236,62,50]},{"color":[151,7,50]},{"color":[258,25,50]},{"color":[303,7,50]},{"color":[177,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[59,96,50]},{"color":[20,5,50]},{"color":[354,71,50]},{"color":[228,98,50]},{"color":[153,49,50]},{"color":[228,23,50]},{"color":[147,36,50]},{"color":[271,92,50]},{"color":[242,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,90,50]},{"color":[342,41,50]},{"color":[117,59,50]},{"color":[74,35,50]},{"color":[322,27,50]},{"color":[355,17,50]},{"color":[176,93,50]},{"color":[189,60,50]},{"color":[68,73,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838820257	14	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,47,50]},{"color":[123,60,50]},{"color":[18,20,50]},{"color":[315,62,50]},{"color":[93,48,50]},{"color":[40,24,50]},{"color":[51,32,50]},{"color":[195,56,50]},{"color":[180,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[155,76,50]},{"color":[95,91,50]},{"color":[12,63,50]},{"color":[273,63,50]},{"color":[106,74,50]},{"color":[80,29,50]},{"color":[91,5,50]},{"color":[185,86,50]},{"color":[168,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,25,50]},{"color":[233,19,50]},{"color":[92,4,50]},{"color":[39,75,50]},{"color":[285,13,50]},{"color":[180,46,50]},{"color":[205,28,50]},{"color":[62,28,50]},{"color":[100,98,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
