eventType	type	gameid	time	roundNum	state
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840400942	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[274,44,50]},{"color":[283,88,50]},{"color":[323,58,50]},{"color":[335,57,50]},{"color":[277,65,50]},{"color":[83,56,50]},{"color":[174,47,50]},{"color":[152,55,50]},{"color":[338,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[105,38,50]},{"color":[319,23,50]},{"color":[132,10,50]},{"color":[177,74,50]},{"color":[212,13,50]},{"color":[352,25,50]},{"color":[291,77,50]},{"color":[21,99,50]},{"color":[75,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[180,57,50]},{"color":[357,73,50]},{"color":[70,55,50]},{"color":[272,3,50]},{"color":[158,61,50]},{"color":[265,66,50]},{"color":[131,40,50]},{"color":[237,17,50]},{"color":[269,88,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840420993	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,67,50]},{"color":[131,19,50]},{"color":[208,59,50]},{"color":[217,7,50]},{"color":[150,24,50]},{"color":[334,47,50]},{"color":[320,17,50]},{"color":[236,54,50]},{"color":[142,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[284,34,50]},{"color":[4,56,50]},{"color":[344,66,50]},{"color":[162,71,50]},{"color":[94,78,50]},{"color":[112,42,50]},{"color":[83,11,50]},{"color":[116,15,50]},{"color":[258,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,4,50]},{"color":[340,12,50]},{"color":[39,14,50]},{"color":[62,25,50]},{"color":[7,41,50]},{"color":[211,5,50]},{"color":[264,88,50]},{"color":[357,16,50]},{"color":[141,91,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840443491	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,71,50]},{"color":[304,35,50]},{"color":[62,39,50]},{"color":[50,87,50]},{"color":[251,7,50]},{"color":[120,33,50]},{"color":[32,8,50]},{"color":[171,21,50]},{"color":[245,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[42,18,50]},{"color":[49,44,50]},{"color":[123,65,50]},{"color":[146,42,50]},{"color":[352,35,50]},{"color":[255,1,50]},{"color":[304,57,50]},{"color":[350,61,50]},{"color":[71,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,69,50]},{"color":[172,20,50]},{"color":[310,89,50]},{"color":[321,35,50]},{"color":[182,43,50]},{"color":[195,63,50]},{"color":[259,94,50]},{"color":[300,26,50]},{"color":[351,25,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840467913	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,81,50]},{"color":[322,36,50]},{"color":[129,79,50]},{"color":[87,16,50]},{"color":[156,7,50]},{"color":[169,24,50]},{"color":[47,88,50]},{"color":[309,62,50]},{"color":[325,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,76,50]},{"color":[295,88,50]},{"color":[131,49,50]},{"color":[47,2,50]},{"color":[204,16,50]},{"color":[174,37,50]},{"color":[41,96,50]},{"color":[302,79,50]},{"color":[337,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[92,27,50]},{"color":[150,65,50]},{"color":[266,35,50]},{"color":[233,31,50]},{"color":[108,89,50]},{"color":[32,11,50]},{"color":[73,1,50]},{"color":[198,86,50]},{"color":[128,19,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840481085	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[164,72,50]},{"color":[87,60,50]},{"color":[209,87,50]},{"color":[128,82,50]},{"color":[343,8,50]},{"color":[45,62,50]},{"color":[283,8,50]},{"color":[344,97,50]},{"color":[43,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,64,50]},{"color":[243,23,50]},{"color":[174,49,50]},{"color":[250,4,50]},{"color":[282,61,50]},{"color":[207,20,50]},{"color":[54,12,50]},{"color":[73,47,50]},{"color":[156,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[73,86,50]},{"color":[222,29,50]},{"color":[153,71,50]},{"color":[150,11,50]},{"color":[246,71,50]},{"color":[212,12,50]},{"color":[35,37,50]},{"color":[121,30,50]},{"color":[169,59,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840494267	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[233,63,50]},{"color":[93,77,50]},{"color":[257,44,50]},{"color":[223,85,50]},{"color":[77,57,50]},{"color":[359,75,50]},{"color":[175,45,50]},{"color":[279,79,50]},{"color":[41,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,73,50]},{"color":[113,36,50]},{"color":[277,76,50]},{"color":[256,35,50]},{"color":[114,40,50]},{"color":[12,30,50]},{"color":[155,53,50]},{"color":[272,38,50]},{"color":[26,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[213,75,50]},{"color":[72,69,50]},{"color":[260,61,50]},{"color":[242,84,50]},{"color":[112,71,50]},{"color":[9,89,50]},{"color":[176,27,50]},{"color":[308,50,50]},{"color":[37,31,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840506826	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[347,35,50]},{"color":[290,22,50]},{"color":[164,91,50]},{"color":[286,5,50]},{"color":[143,0,50]},{"color":[100,58,50]},{"color":[193,61,50]},{"color":[7,19,50]},{"color":[81,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[344,4,50]},{"color":[195,17,50]},{"color":[256,24,50]},{"color":[322,68,50]},{"color":[4,80,50]},{"color":[217,55,50]},{"color":[159,0,50]},{"color":[317,55,50]},{"color":[189,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,48,50]},{"color":[143,32,50]},{"color":[82,94,50]},{"color":[99,96,50]},{"color":[152,95,50]},{"color":[45,16,50]},{"color":[320,54,50]},{"color":[234,17,50]},{"color":[287,55,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840526801	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[79,86,50]},{"color":[253,1,50]},{"color":[195,32,50]},{"color":[305,88,50]},{"color":[347,94,50]},{"color":[149,24,50]},{"color":[19,29,50]},{"color":[100,34,50]},{"color":[172,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[64,90,50]},{"color":[131,3,50]},{"color":[191,97,50]},{"color":[317,94,50]},{"color":[13,92,50]},{"color":[151,2,50]},{"color":[284,4,50]},{"color":[132,63,50]},{"color":[128,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[95,58,50]},{"color":[244,9,50]},{"color":[199,65,50]},{"color":[306,60,50]},{"color":[4,88,50]},{"color":[168,23,50]},{"color":[26,19,50]},{"color":[149,33,50]},{"color":[90,12,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840568777	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,47,50]},{"color":[239,17,50]},{"color":[207,17,50]},{"color":[314,78,50]},{"color":[196,10,50]},{"color":[305,53,50]},{"color":[105,21,50]},{"color":[240,34,50]},{"color":[244,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[38,95,50]},{"color":[28,94,50]},{"color":[164,30,50]},{"color":[355,58,50]},{"color":[152,69,50]},{"color":[123,13,50]},{"color":[307,83,50]},{"color":[89,2,50]},{"color":[177,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[44,55,50]},{"color":[14,81,50]},{"color":[71,15,50]},{"color":[12,30,50]},{"color":[162,83,50]},{"color":[102,45,50]},{"color":[296,48,50]},{"color":[155,14,50]},{"color":[188,55,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840598288	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[239,7,50]},{"color":[14,2,50]},{"color":[230,40,50]},{"color":[126,2,50]},{"color":[173,26,50]},{"color":[131,75,50]},{"color":[102,58,50]},{"color":[224,57,50]},{"color":[205,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[62,58,50]},{"color":[330,99,50]},{"color":[188,72,50]},{"color":[101,91,50]},{"color":[277,9,50]},{"color":[210,77,50]},{"color":[275,34,50]},{"color":[247,4,50]},{"color":[89,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,38,50]},{"color":[307,68,50]},{"color":[188,19,50]},{"color":[88,39,50]},{"color":[359,12,50]},{"color":[217,72,50]},{"color":[335,23,50]},{"color":[31,16,50]},{"color":[148,97,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840613424	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[239,6,50]},{"color":[175,94,50]},{"color":[252,42,50]},{"color":[320,13,50]},{"color":[71,3,50]},{"color":[88,68,50]},{"color":[136,37,50]},{"color":[261,54,50]},{"color":[166,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[311,45,50]},{"color":[109,41,50]},{"color":[83,6,50]},{"color":[76,66,50]},{"color":[240,52,50]},{"color":[22,83,50]},{"color":[357,71,50]},{"color":[303,71,50]},{"color":[311,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,93,50]},{"color":[277,5,50]},{"color":[149,43,50]},{"color":[225,87,50]},{"color":[9,34,50]},{"color":[222,87,50]},{"color":[208,40,50]},{"color":[208,37,50]},{"color":[166,44,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840640841	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,50,50]},{"color":[296,97,50]},{"color":[107,29,50]},{"color":[70,33,50]},{"color":[47,21,50]},{"color":[102,74,50]},{"color":[30,20,50]},{"color":[126,28,50]},{"color":[99,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,98,50]},{"color":[273,97,50]},{"color":[171,17,50]},{"color":[131,15,50]},{"color":[63,25,50]},{"color":[147,75,50]},{"color":[26,60,50]},{"color":[66,9,50]},{"color":[121,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[227,92,50]},{"color":[265,12,50]},{"color":[28,49,50]},{"color":[355,28,50]},{"color":[244,63,50]},{"color":[57,84,50]},{"color":[210,93,50]},{"color":[241,30,50]},{"color":[190,27,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840686286	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[110,13,50]},{"color":[167,22,50]},{"color":[32,22,50]},{"color":[119,82,50]},{"color":[17,8,50]},{"color":[170,79,50]},{"color":[236,99,50]},{"color":[183,6,50]},{"color":[44,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[168,55,50]},{"color":[304,21,50]},{"color":[287,72,50]},{"color":[169,75,50]},{"color":[69,29,50]},{"color":[226,25,50]},{"color":[269,27,50]},{"color":[106,51,50]},{"color":[248,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,79,50]},{"color":[328,65,50]},{"color":[254,63,50]},{"color":[167,42,50]},{"color":[41,39,50]},{"color":[206,13,50]},{"color":[252,9,50]},{"color":[109,28,50]},{"color":[243,55,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840718704	14	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[88,30,50]},{"color":[135,36,50]},{"color":[5,3,50]},{"color":[142,30,50]},{"color":[213,55,50]},{"color":[0,10,50]},{"color":[255,69,50]},{"color":[42,16,50]},{"color":[26,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,12,50]},{"color":[131,85,50]},{"color":[39,28,50]},{"color":[108,49,50]},{"color":[243,26,50]},{"color":[8,39,50]},{"color":[227,41,50]},{"color":[159,8,50]},{"color":[314,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,78,50]},{"color":[305,51,50]},{"color":[122,15,50]},{"color":[285,28,50]},{"color":[57,17,50]},{"color":[167,50,50]},{"color":[350,65,50]},{"color":[123,74,50]},{"color":[322,70,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840733909	15	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,18,50]},{"color":[24,54,50]},{"color":[128,76,50]},{"color":[48,65,50]},{"color":[9,9,50]},{"color":[242,68,50]},{"color":[354,1,50]},{"color":[356,96,50]},{"color":[19,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,80,50]},{"color":[141,57,50]},{"color":[263,98,50]},{"color":[19,81,50]},{"color":[11,98,50]},{"color":[130,89,50]},{"color":[319,50,50]},{"color":[177,5,50]},{"color":[220,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[237,50,50]},{"color":[283,7,50]},{"color":[53,37,50]},{"color":[256,31,50]},{"color":[277,47,50]},{"color":[353,60,50]},{"color":[79,45,50]},{"color":[86,38,50]},{"color":[331,60,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840766818	16	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,67,50]},{"color":[278,49,50]},{"color":[307,16,50]},{"color":[314,72,50]},{"color":[150,91,50]},{"color":[59,73,50]},{"color":[244,55,50]},{"color":[145,97,50]},{"color":[236,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,97,50]},{"color":[185,4,50]},{"color":[140,72,50]},{"color":[256,47,50]},{"color":[342,18,50]},{"color":[335,68,50]},{"color":[328,55,50]},{"color":[173,10,50]},{"color":[151,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[308,61,50]},{"color":[246,82,50]},{"color":[261,9,50]},{"color":[306,88,50]},{"color":[88,40,50]},{"color":[88,74,50]},{"color":[217,31,50]},{"color":[101,89,50]},{"color":[215,94,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840803204	17	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,54,50]},{"color":[178,27,50]},{"color":[299,14,50]},{"color":[102,37,50]},{"color":[334,58,50]},{"color":[204,72,50]},{"color":[239,21,50]},{"color":[343,70,50]},{"color":[255,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,79,50]},{"color":[71,1,50]},{"color":[282,30,50]},{"color":[99,48,50]},{"color":[353,78,50]},{"color":[202,47,50]},{"color":[225,25,50]},{"color":[4,59,50]},{"color":[258,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[191,89,50]},{"color":[259,27,50]},{"color":[356,77,50]},{"color":[312,29,50]},{"color":[298,82,50]},{"color":[77,85,50]},{"color":[12,23,50]},{"color":[84,15,50]},{"color":[57,56,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
