eventType	type	gameid	time	roundNum	state
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901138084	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,24,50]},{"color":[204,24,50]},{"color":[65,93,50]},{"color":[144,71,50]},{"color":[186,15,50]},{"color":[300,76,50]},{"color":[319,31,50]},{"color":[115,4,50]},{"color":[223,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[217,47,50]},{"color":[198,10,50]},{"color":[93,66,50]},{"color":[127,53,50]},{"color":[237,1,50]},{"color":[305,41,50]},{"color":[273,53,50]},{"color":[147,19,50]},{"color":[254,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[206,89,50]},{"color":[82,0,50]},{"color":[84,91,50]},{"color":[92,71,50]},{"color":[278,4,50]},{"color":[186,10,50]},{"color":[321,22,50]},{"color":[69,13,50]},{"color":[217,84,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901167022	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,27,50]},{"color":[145,80,50]},{"color":[340,52,50]},{"color":[334,71,50]},{"color":[257,45,50]},{"color":[214,58,50]},{"color":[18,36,50]},{"color":[268,12,50]},{"color":[322,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[243,68,50]},{"color":[249,14,50]},{"color":[176,90,50]},{"color":[193,94,50]},{"color":[186,89,50]},{"color":[49,5,50]},{"color":[56,57,50]},{"color":[289,68,50]},{"color":[207,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,1,50]},{"color":[196,95,50]},{"color":[261,53,50]},{"color":[262,27,50]},{"color":[39,69,50]},{"color":[325,26,50]},{"color":[322,31,50]},{"color":[14,75,50]},{"color":[175,54,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901180613	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,38,50]},{"color":[306,67,50]},{"color":[9,37,50]},{"color":[124,76,50]},{"color":[106,48,50]},{"color":[59,66,50]},{"color":[51,13,50]},{"color":[326,67,50]},{"color":[350,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[196,75,50]},{"color":[36,25,50]},{"color":[316,39,50]},{"color":[53,61,50]},{"color":[8,65,50]},{"color":[22,35,50]},{"color":[253,28,50]},{"color":[199,6,50]},{"color":[243,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[225,9,50]},{"color":[109,61,50]},{"color":[108,12,50]},{"color":[147,30,50]},{"color":[17,9,50]},{"color":[251,45,50]},{"color":[125,86,50]},{"color":[240,55,50]},{"color":[275,73,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901194734	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,97,50]},{"color":[337,41,50]},{"color":[75,10,50]},{"color":[221,70,50]},{"color":[91,58,50]},{"color":[67,17,50]},{"color":[22,39,50]},{"color":[49,79,50]},{"color":[106,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[1,74,50]},{"color":[3,69,50]},{"color":[221,34,50]},{"color":[333,76,50]},{"color":[327,29,50]},{"color":[99,78,50]},{"color":[253,66,50]},{"color":[110,23,50]},{"color":[40,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[172,31,50]},{"color":[34,33,50]},{"color":[84,63,50]},{"color":[202,78,50]},{"color":[248,40,50]},{"color":[324,65,50]},{"color":[99,80,50]},{"color":[4,74,50]},{"color":[247,58,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901217213	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,47,50]},{"color":[4,16,50]},{"color":[52,35,50]},{"color":[125,57,50]},{"color":[66,92,50]},{"color":[328,36,50]},{"color":[60,4,50]},{"color":[276,72,50]},{"color":[141,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[274,89,50]},{"color":[314,0,50]},{"color":[65,34,50]},{"color":[165,89,50]},{"color":[118,92,50]},{"color":[340,80,50]},{"color":[211,23,50]},{"color":[218,97,50]},{"color":[187,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,65,50]},{"color":[11,7,50]},{"color":[38,58,50]},{"color":[119,77,50]},{"color":[87,81,50]},{"color":[313,95,50]},{"color":[179,16,50]},{"color":[273,34,50]},{"color":[169,37,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901238481	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,27,50]},{"color":[102,49,50]},{"color":[162,72,50]},{"color":[96,73,50]},{"color":[60,90,50]},{"color":[202,73,50]},{"color":[68,36,50]},{"color":[288,4,50]},{"color":[342,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,76,50]},{"color":[207,12,50]},{"color":[215,11,50]},{"color":[273,13,50]},{"color":[273,56,50]},{"color":[49,21,50]},{"color":[189,8,50]},{"color":[209,58,50]},{"color":[241,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,50,50]},{"color":[312,90,50]},{"color":[51,38,50]},{"color":[306,60,50]},{"color":[85,22,50]},{"color":[281,62,50]},{"color":[186,64,50]},{"color":[110,77,50]},{"color":[70,47,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901286263	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[307,56,50]},{"color":[263,60,50]},{"color":[222,91,50]},{"color":[359,10,50]},{"color":[203,97,50]},{"color":[199,8,50]},{"color":[36,51,50]},{"color":[345,52,50]},{"color":[344,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[30,50,50]},{"color":[140,12,50]},{"color":[4,24,50]},{"color":[121,60,50]},{"color":[240,88,50]},{"color":[84,34,50]},{"color":[262,44,50]},{"color":[187,61,50]},{"color":[356,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,55,50]},{"color":[185,47,50]},{"color":[24,20,50]},{"color":[155,80,50]},{"color":[220,93,50]},{"color":[63,41,50]},{"color":[280,59,50]},{"color":[191,20,50]},{"color":[299,24,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901302511	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[318,6,50]},{"color":[108,44,50]},{"color":[66,91,50]},{"color":[4,83,50]},{"color":[67,95,50]},{"color":[105,98,50]},{"color":[52,75,50]},{"color":[189,14,50]},{"color":[180,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,40,50]},{"color":[344,65,50]},{"color":[243,15,50]},{"color":[47,48,50]},{"color":[239,31,50]},{"color":[62,10,50]},{"color":[253,45,50]},{"color":[326,34,50]},{"color":[260,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[83,88,50]},{"color":[294,57,50]},{"color":[345,76,50]},{"color":[310,27,50]},{"color":[182,8,50]},{"color":[213,13,50]},{"color":[123,94,50]},{"color":[41,87,50]},{"color":[34,69,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901319537	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,71,50]},{"color":[340,55,50]},{"color":[4,18,50]},{"color":[290,92,50]},{"color":[180,15,50]},{"color":[163,10,50]},{"color":[213,85,50]},{"color":[177,85,50]},{"color":[240,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,87,50]},{"color":[352,10,50]},{"color":[292,10,50]},{"color":[298,34,50]},{"color":[189,41,50]},{"color":[188,52,50]},{"color":[221,34,50]},{"color":[189,72,50]},{"color":[260,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[317,58,50]},{"color":[174,3,50]},{"color":[237,9,50]},{"color":[263,53,50]},{"color":[129,8,50]},{"color":[161,24,50]},{"color":[250,39,50]},{"color":[172,37,50]},{"color":[218,29,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6803-954fecee-67f3-47df-bd60-ddd5cdec07ea	1523901334867	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[195,9,50]},{"color":[119,62,50]},{"color":[56,56,50]},{"color":[246,46,50]},{"color":[224,24,50]},{"color":[20,83,50]},{"color":[9,53,50]},{"color":[159,57,50]},{"color":[10,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[127,83,50]},{"color":[240,4,50]},{"color":[202,30,50]},{"color":[52,25,50]},{"color":[326,73,50]},{"color":[245,95,50]},{"color":[210,41,50]},{"color":[272,91,50]},{"color":[260,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[306,59,50]},{"color":[140,66,50]},{"color":[50,64,50]},{"color":[249,77,50]},{"color":[271,23,50]},{"color":[34,66,50]},{"color":[14,87,50]},{"color":[101,45,50]},{"color":[12,54,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
