eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903566922	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,99,50]},{"color":[2,90,50]},{"color":[304,30,50]},{"color":[345,84,50]},{"color":[215,37,50]},{"color":[240,94,50]},{"color":[204,90,50]},{"color":[237,0,50]},{"color":[188,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[152,76,50]},{"color":[11,63,50]},{"color":[301,54,50]},{"color":[352,51,50]},{"color":[197,48,50]},{"color":[237,60,50]},{"color":[193,66,50]},{"color":[173,22,50]},{"color":[192,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[106,57,50]},{"color":[4,32,50]},{"color":[279,97,50]},{"color":[328,80,50]},{"color":[208,70,50]},{"color":[255,43,50]},{"color":[201,41,50]},{"color":[193,15,50]},{"color":[188,74,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903625566	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,87,50]},{"color":[267,97,50]},{"color":[37,38,50]},{"color":[211,14,50]},{"color":[38,16,50]},{"color":[112,44,50]},{"color":[25,47,50]},{"color":[244,9,50]},{"color":[260,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,13,50]},{"color":[303,77,50]},{"color":[81,54,50]},{"color":[180,92,50]},{"color":[151,94,50]},{"color":[23,61,50]},{"color":[98,46,50]},{"color":[306,37,50]},{"color":[318,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[289,57,50]},{"color":[264,65,50]},{"color":[68,13,50]},{"color":[200,86,50]},{"color":[52,15,50]},{"color":[142,86,50]},{"color":[31,11,50]},{"color":[126,0,50]},{"color":[203,9,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903653055	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,60,50]},{"color":[94,40,50]},{"color":[236,7,50]},{"color":[187,19,50]},{"color":[19,89,50]},{"color":[101,46,50]},{"color":[236,11,50]},{"color":[308,62,50]},{"color":[351,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[27,0,50]},{"color":[34,76,50]},{"color":[318,69,50]},{"color":[41,84,50]},{"color":[70,28,50]},{"color":[175,6,50]},{"color":[172,70,50]},{"color":[223,9,50]},{"color":[207,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,53,50]},{"color":[349,32,50]},{"color":[255,63,50]},{"color":[282,7,50]},{"color":[166,21,50]},{"color":[30,87,50]},{"color":[61,71,50]},{"color":[171,90,50]},{"color":[314,90,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903664589	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[112,93,50]},{"color":[332,20,50]},{"color":[195,79,50]},{"color":[175,86,50]},{"color":[193,50,50]},{"color":[198,52,50]},{"color":[51,67,50]},{"color":[113,99,50]},{"color":[42,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,65,50]},{"color":[25,38,50]},{"color":[255,44,50]},{"color":[80,64,50]},{"color":[257,48,50]},{"color":[137,6,50]},{"color":[311,63,50]},{"color":[351,98,50]},{"color":[264,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[293,18,50]},{"color":[131,53,50]},{"color":[218,1,50]},{"color":[319,59,50]},{"color":[352,78,50]},{"color":[142,74,50]},{"color":[212,76,50]},{"color":[228,70,50]},{"color":[113,20,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903681510	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,15,50]},{"color":[170,31,50]},{"color":[72,45,50]},{"color":[275,46,50]},{"color":[230,23,50]},{"color":[73,48,50]},{"color":[123,19,50]},{"color":[246,55,50]},{"color":[209,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,20,50]},{"color":[179,56,50]},{"color":[136,74,50]},{"color":[266,30,50]},{"color":[304,26,50]},{"color":[70,73,50]},{"color":[87,30,50]},{"color":[263,21,50]},{"color":[174,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,4,50]},{"color":[162,67,50]},{"color":[123,33,50]},{"color":[250,13,50]},{"color":[308,11,50]},{"color":[110,85,50]},{"color":[89,12,50]},{"color":[218,25,50]},{"color":[353,4,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903692580	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,17,50]},{"color":[245,72,50]},{"color":[237,23,50]},{"color":[193,58,50]},{"color":[35,71,50]},{"color":[359,21,50]},{"color":[275,1,50]},{"color":[21,38,50]},{"color":[116,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,51,50]},{"color":[188,18,50]},{"color":[19,77,50]},{"color":[110,52,50]},{"color":[103,73,50]},{"color":[300,95,50]},{"color":[36,30,50]},{"color":[128,90,50]},{"color":[312,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[39,18,50]},{"color":[134,92,50]},{"color":[75,70,50]},{"color":[58,98,50]},{"color":[211,57,50]},{"color":[47,96,50]},{"color":[294,27,50]},{"color":[299,46,50]},{"color":[22,0,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903724197	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[239,3,50]},{"color":[62,85,50]},{"color":[204,0,50]},{"color":[131,96,50]},{"color":[129,11,50]},{"color":[285,75,50]},{"color":[339,2,50]},{"color":[61,78,50]},{"color":[265,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,20,50]},{"color":[50,82,50]},{"color":[153,4,50]},{"color":[119,67,50]},{"color":[53,29,50]},{"color":[291,45,50]},{"color":[304,6,50]},{"color":[87,74,50]},{"color":[289,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,2,50]},{"color":[61,65,50]},{"color":[82,14,50]},{"color":[75,44,50]},{"color":[49,7,50]},{"color":[309,25,50]},{"color":[332,5,50]},{"color":[54,55,50]},{"color":[281,75,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903737774	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,84,50]},{"color":[209,40,50]},{"color":[320,54,50]},{"color":[338,89,50]},{"color":[291,93,50]},{"color":[2,55,50]},{"color":[163,16,50]},{"color":[225,2,50]},{"color":[194,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,63,50]},{"color":[110,76,50]},{"color":[232,33,50]},{"color":[66,80,50]},{"color":[238,79,50]},{"color":[250,62,50]},{"color":[123,64,50]},{"color":[286,91,50]},{"color":[170,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,5,50]},{"color":[236,54,50]},{"color":[110,44,50]},{"color":[304,87,50]},{"color":[151,37,50]},{"color":[69,68,50]},{"color":[58,48,50]},{"color":[86,26,50]},{"color":[103,4,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903753716	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,88,50]},{"color":[96,35,50]},{"color":[147,56,50]},{"color":[157,35,50]},{"color":[17,71,50]},{"color":[320,7,50]},{"color":[349,92,50]},{"color":[174,52,50]},{"color":[108,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[143,59,50]},{"color":[263,58,50]},{"color":[286,20,50]},{"color":[72,92,50]},{"color":[22,0,50]},{"color":[27,96,50]},{"color":[267,35,50]},{"color":[277,39,50]},{"color":[41,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[290,87,50]},{"color":[132,74,50]},{"color":[83,23,50]},{"color":[102,21,50]},{"color":[354,64,50]},{"color":[22,6,50]},{"color":[18,81,50]},{"color":[184,35,50]},{"color":[74,87,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903767149	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[349,47,50]},{"color":[70,99,50]},{"color":[295,29,50]},{"color":[26,59,50]},{"color":[83,63,50]},{"color":[6,12,50]},{"color":[307,64,50]},{"color":[76,89,50]},{"color":[139,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,93,50]},{"color":[55,87,50]},{"color":[302,92,50]},{"color":[28,80,50]},{"color":[122,93,50]},{"color":[312,4,50]},{"color":[329,53,50]},{"color":[107,58,50]},{"color":[106,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,42,50]},{"color":[299,95,50]},{"color":[37,10,50]},{"color":[115,79,50]},{"color":[258,42,50]},{"color":[176,61,50]},{"color":[238,45,50]},{"color":[40,64,50]},{"color":[183,78,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903780614	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[259,98,50]},{"color":[358,87,50]},{"color":[117,65,50]},{"color":[336,54,50]},{"color":[176,54,50]},{"color":[130,52,50]},{"color":[92,65,50]},{"color":[340,61,50]},{"color":[91,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,51,50]},{"color":[10,78,50]},{"color":[70,61,50]},{"color":[335,24,50]},{"color":[190,90,50]},{"color":[63,30,50]},{"color":[80,90,50]},{"color":[350,50,50]},{"color":[60,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,15,50]},{"color":[281,98,50]},{"color":[289,98,50]},{"color":[1,76,50]},{"color":[265,6,50]},{"color":[230,47,50]},{"color":[284,6,50]},{"color":[290,71,50]},{"color":[286,25,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903802626	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,29,50]},{"color":[57,49,50]},{"color":[160,25,50]},{"color":[288,18,50]},{"color":[253,60,50]},{"color":[290,29,50]},{"color":[329,50,50]},{"color":[85,17,50]},{"color":[228,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,74,50]},{"color":[92,51,50]},{"color":[182,55,50]},{"color":[356,23,50]},{"color":[257,96,50]},{"color":[246,22,50]},{"color":[343,92,50]},{"color":[53,37,50]},{"color":[258,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,28,50]},{"color":[64,19,50]},{"color":[190,18,50]},{"color":[325,21,50]},{"color":[236,43,50]},{"color":[281,49,50]},{"color":[321,87,50]},{"color":[82,8,50]},{"color":[270,69,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
