eventType	type	gameid	time	roundNum	state
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924625897	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,19,50]},{"color":[220,9,50]},{"color":[336,54,50]},{"color":[276,35,50]},{"color":[194,18,50]},{"color":[81,71,50]},{"color":[55,26,50]},{"color":[155,62,50]},{"color":[16,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,54,50]},{"color":[325,2,50]},{"color":[307,18,50]},{"color":[244,31,50]},{"color":[220,54,50]},{"color":[99,94,50]},{"color":[44,73,50]},{"color":[170,90,50]},{"color":[347,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[14,26,50]},{"color":[215,27,50]},{"color":[338,28,50]},{"color":[288,17,50]},{"color":[210,26,50]},{"color":[85,37,50]},{"color":[50,74,50]},{"color":[177,99,50]},{"color":[315,5,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924665583	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,69,50]},{"color":[174,88,50]},{"color":[91,14,50]},{"color":[242,63,50]},{"color":[296,40,50]},{"color":[314,51,50]},{"color":[235,8,50]},{"color":[57,67,50]},{"color":[4,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[298,78,50]},{"color":[2,16,50]},{"color":[337,23,50]},{"color":[34,63,50]},{"color":[140,27,50]},{"color":[91,40,50]},{"color":[327,37,50]},{"color":[139,68,50]},{"color":[165,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,12,50]},{"color":[338,18,50]},{"color":[331,46,50]},{"color":[23,48,50]},{"color":[115,32,50]},{"color":[137,86,50]},{"color":[356,22,50]},{"color":[105,21,50]},{"color":[173,24,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924700120	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[336,5,50]},{"color":[5,88,50]},{"color":[132,67,50]},{"color":[221,58,50]},{"color":[228,77,50]},{"color":[70,82,50]},{"color":[298,73,50]},{"color":[237,6,50]},{"color":[256,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[230,48,50]},{"color":[171,31,50]},{"color":[187,56,50]},{"color":[7,53,50]},{"color":[165,47,50]},{"color":[147,30,50]},{"color":[225,16,50]},{"color":[285,79,50]},{"color":[70,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[238,26,50]},{"color":[135,24,50]},{"color":[187,10,50]},{"color":[5,23,50]},{"color":[168,27,50]},{"color":[141,11,50]},{"color":[231,8,50]},{"color":[273,86,50]},{"color":[67,57,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924716429	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,53,50]},{"color":[139,73,50]},{"color":[87,71,50]},{"color":[43,61,50]},{"color":[349,31,50]},{"color":[338,73,50]},{"color":[329,24,50]},{"color":[277,16,50]},{"color":[163,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[230,7,50]},{"color":[132,89,50]},{"color":[100,77,50]},{"color":[65,30,50]},{"color":[326,6,50]},{"color":[333,20,50]},{"color":[323,91,50]},{"color":[302,48,50]},{"color":[131,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,14,50]},{"color":[108,70,50]},{"color":[107,34,50]},{"color":[45,25,50]},{"color":[322,33,50]},{"color":[347,33,50]},{"color":[352,30,50]},{"color":[250,22,50]},{"color":[161,77,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924732467	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[110,28,50]},{"color":[271,34,50]},{"color":[177,92,50]},{"color":[82,66,50]},{"color":[157,39,50]},{"color":[21,29,50]},{"color":[313,28,50]},{"color":[294,4,50]},{"color":[98,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[186,87,50]},{"color":[187,23,50]},{"color":[203,5,50]},{"color":[201,66,50]},{"color":[201,80,50]},{"color":[245,78,50]},{"color":[76,25,50]},{"color":[131,8,50]},{"color":[291,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,91,50]},{"color":[3,48,50]},{"color":[87,42,50]},{"color":[156,18,50]},{"color":[205,6,50]},{"color":[30,98,50]},{"color":[154,84,50]},{"color":[229,90,50]},{"color":[15,92,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924743683	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[295,28,50]},{"color":[109,15,50]},{"color":[344,25,50]},{"color":[342,72,50]},{"color":[273,90,50]},{"color":[145,11,50]},{"color":[195,57,50]},{"color":[31,83,50]},{"color":[284,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[217,34,50]},{"color":[287,67,50]},{"color":[254,31,50]},{"color":[340,2,50]},{"color":[177,26,50]},{"color":[247,72,50]},{"color":[225,2,50]},{"color":[221,63,50]},{"color":[64,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[127,30,50]},{"color":[225,3,50]},{"color":[153,93,50]},{"color":[302,24,50]},{"color":[270,4,50]},{"color":[127,96,50]},{"color":[96,87,50]},{"color":[114,84,50]},{"color":[280,35,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924766549	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[345,77,50]},{"color":[16,98,50]},{"color":[64,26,50]},{"color":[236,18,50]},{"color":[67,9,50]},{"color":[355,21,50]},{"color":[320,99,50]},{"color":[128,13,50]},{"color":[87,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,50,50]},{"color":[1,81,50]},{"color":[81,48,50]},{"color":[336,19,50]},{"color":[161,13,50]},{"color":[309,16,50]},{"color":[285,91,50]},{"color":[122,22,50]},{"color":[130,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,72,50]},{"color":[19,61,50]},{"color":[119,55,50]},{"color":[289,30,50]},{"color":[116,7,50]},{"color":[300,28,50]},{"color":[313,78,50]},{"color":[90,14,50]},{"color":[90,38,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924781192	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,77,50]},{"color":[313,92,50]},{"color":[36,42,50]},{"color":[117,38,50]},{"color":[353,87,50]},{"color":[303,88,50]},{"color":[165,18,50]},{"color":[85,14,50]},{"color":[251,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[52,18,50]},{"color":[244,90,50]},{"color":[220,14,50]},{"color":[312,96,50]},{"color":[307,68,50]},{"color":[229,16,50]},{"color":[261,76,50]},{"color":[83,58,50]},{"color":[163,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,9,50]},{"color":[269,81,50]},{"color":[63,1,50]},{"color":[326,58,50]},{"color":[281,17,50]},{"color":[255,37,50]},{"color":[284,30,50]},{"color":[106,91,50]},{"color":[165,53,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924826454	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,17,50]},{"color":[175,64,50]},{"color":[91,23,50]},{"color":[293,16,50]},{"color":[77,22,50]},{"color":[67,38,50]},{"color":[29,46,50]},{"color":[276,68,50]},{"color":[69,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,13,50]},{"color":[185,91,50]},{"color":[154,59,50]},{"color":[218,21,50]},{"color":[36,30,50]},{"color":[58,11,50]},{"color":[30,62,50]},{"color":[231,72,50]},{"color":[72,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[126,17,50]},{"color":[168,54,50]},{"color":[123,34,50]},{"color":[230,26,50]},{"color":[65,5,50]},{"color":[50,21,50]},{"color":[24,70,50]},{"color":[255,33,50]},{"color":[91,97,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924836501	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[234,75,50]},{"color":[6,71,50]},{"color":[6,96,50]},{"color":[33,31,50]},{"color":[25,3,50]},{"color":[14,70,50]},{"color":[129,11,50]},{"color":[6,87,50]},{"color":[280,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[45,15,50]},{"color":[264,52,50]},{"color":[223,2,50]},{"color":[195,35,50]},{"color":[75,33,50]},{"color":[257,10,50]},{"color":[289,21,50]},{"color":[200,40,50]},{"color":[65,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,59,50]},{"color":[235,74,50]},{"color":[240,14,50]},{"color":[208,79,50]},{"color":[60,33,50]},{"color":[222,14,50]},{"color":[297,34,50]},{"color":[210,91,50]},{"color":[16,22,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
