eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897772931	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[193,33,50]},{"color":[199,3,50]},{"color":[193,68,50]},{"color":[232,45,50]},{"color":[97,70,50]},{"color":[105,58,50]},{"color":[54,4,50]},{"color":[216,17,50]},{"color":[230,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[199,10,50]},{"color":[31,26,50]},{"color":[197,47,50]},{"color":[240,85,50]},{"color":[112,58,50]},{"color":[75,58,50]},{"color":[41,34,50]},{"color":[244,23,50]},{"color":[191,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,2,50]},{"color":[298,2,50]},{"color":[207,27,50]},{"color":[282,77,50]},{"color":[134,91,50]},{"color":[69,45,50]},{"color":[25,9,50]},{"color":[250,6,50]},{"color":[205,0,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897791797	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,32,50]},{"color":[63,26,50]},{"color":[345,24,50]},{"color":[319,75,50]},{"color":[215,64,50]},{"color":[164,17,50]},{"color":[70,55,50]},{"color":[69,14,50]},{"color":[147,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,84,50]},{"color":[346,28,50]},{"color":[294,79,50]},{"color":[110,2,50]},{"color":[165,96,50]},{"color":[90,56,50]},{"color":[212,70,50]},{"color":[120,49,50]},{"color":[273,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[344,12,50]},{"color":[203,87,50]},{"color":[122,96,50]},{"color":[9,23,50]},{"color":[354,3,50]},{"color":[346,22,50]},{"color":[258,91,50]},{"color":[235,68,50]},{"color":[134,71,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897816625	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,32,50]},{"color":[87,57,50]},{"color":[278,4,50]},{"color":[254,7,50]},{"color":[126,75,50]},{"color":[27,11,50]},{"color":[294,41,50]},{"color":[170,3,50]},{"color":[12,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[30,54,50]},{"color":[66,47,50]},{"color":[244,24,50]},{"color":[332,21,50]},{"color":[90,88,50]},{"color":[310,12,50]},{"color":[316,12,50]},{"color":[311,9,50]},{"color":[277,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[122,26,50]},{"color":[81,7,50]},{"color":[323,85,50]},{"color":[176,49,50]},{"color":[55,0,50]},{"color":[235,62,50]},{"color":[102,70,50]},{"color":[174,44,50]},{"color":[189,76,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897867032	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[304,46,50]},{"color":[80,75,50]},{"color":[61,27,50]},{"color":[318,55,50]},{"color":[92,95,50]},{"color":[352,30,50]},{"color":[185,23,50]},{"color":[315,24,50]},{"color":[315,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,9,50]},{"color":[100,45,50]},{"color":[96,7,50]},{"color":[267,13,50]},{"color":[69,88,50]},{"color":[347,17,50]},{"color":[204,25,50]},{"color":[254,39,50]},{"color":[262,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,35,50]},{"color":[91,59,50]},{"color":[121,18,50]},{"color":[349,17,50]},{"color":[120,90,50]},{"color":[342,66,50]},{"color":[104,4,50]},{"color":[236,17,50]},{"color":[286,91,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897885660	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,93,50]},{"color":[331,79,50]},{"color":[77,4,50]},{"color":[263,10,50]},{"color":[270,65,50]},{"color":[102,2,50]},{"color":[318,31,50]},{"color":[39,85,50]},{"color":[64,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[279,9,50]},{"color":[109,65,50]},{"color":[199,50,50]},{"color":[146,86,50]},{"color":[45,7,50]},{"color":[310,46,50]},{"color":[101,69,50]},{"color":[166,9,50]},{"color":[261,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,59,50]},{"color":[221,81,50]},{"color":[236,42,50]},{"color":[17,81,50]},{"color":[173,40,50]},{"color":[70,83,50]},{"color":[58,72,50]},{"color":[341,42,50]},{"color":[148,61,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897902376	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[224,91,50]},{"color":[350,88,50]},{"color":[115,69,50]},{"color":[161,76,50]},{"color":[281,63,50]},{"color":[14,11,50]},{"color":[207,26,50]},{"color":[237,37,50]},{"color":[114,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,92,50]},{"color":[42,79,50]},{"color":[8,30,50]},{"color":[310,83,50]},{"color":[0,29,50]},{"color":[50,56,50]},{"color":[51,76,50]},{"color":[119,55,50]},{"color":[232,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,97,50]},{"color":[12,92,50]},{"color":[105,39,50]},{"color":[119,97,50]},{"color":[237,49,50]},{"color":[332,28,50]},{"color":[216,9,50]},{"color":[252,91,50]},{"color":[151,38,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897927027	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[52,41,50]},{"color":[207,93,50]},{"color":[139,62,50]},{"color":[193,6,50]},{"color":[223,1,50]},{"color":[274,92,50]},{"color":[65,23,50]},{"color":[144,48,50]},{"color":[242,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[359,75,50]},{"color":[38,33,50]},{"color":[305,92,50]},{"color":[42,59,50]},{"color":[284,31,50]},{"color":[353,85,50]},{"color":[169,37,50]},{"color":[263,0,50]},{"color":[184,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,15,50]},{"color":[197,54,50]},{"color":[85,70,50]},{"color":[216,40,50]},{"color":[45,10,50]},{"color":[264,52,50]},{"color":[108,56,50]},{"color":[166,30,50]},{"color":[275,90,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897940829	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[110,54,50]},{"color":[56,14,50]},{"color":[65,76,50]},{"color":[353,51,50]},{"color":[330,59,50]},{"color":[32,69,50]},{"color":[40,89,50]},{"color":[328,73,50]},{"color":[196,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,29,50]},{"color":[64,57,50]},{"color":[289,67,50]},{"color":[217,50,50]},{"color":[86,91,50]},{"color":[230,8,50]},{"color":[161,39,50]},{"color":[199,43,50]},{"color":[125,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[33,32,50]},{"color":[292,25,50]},{"color":[203,23,50]},{"color":[12,1,50]},{"color":[219,78,50]},{"color":[284,71,50]},{"color":[96,55,50]},{"color":[138,99,50]},{"color":[319,35,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897953510	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,70,50]},{"color":[335,11,50]},{"color":[353,81,50]},{"color":[269,96,50]},{"color":[90,57,50]},{"color":[33,31,50]},{"color":[253,84,50]},{"color":[161,43,50]},{"color":[150,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[357,4,50]},{"color":[182,92,50]},{"color":[271,1,50]},{"color":[252,12,50]},{"color":[316,90,50]},{"color":[272,94,50]},{"color":[44,97,50]},{"color":[293,66,50]},{"color":[196,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[158,90,50]},{"color":[265,82,50]},{"color":[315,34,50]},{"color":[136,62,50]},{"color":[279,6,50]},{"color":[98,56,50]},{"color":[313,4,50]},{"color":[221,98,50]},{"color":[309,42,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898004171	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,70,50]},{"color":[206,43,50]},{"color":[333,78,50]},{"color":[193,97,50]},{"color":[189,76,50]},{"color":[241,48,50]},{"color":[164,44,50]},{"color":[276,85,50]},{"color":[333,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,63,50]},{"color":[188,9,50]},{"color":[324,48,50]},{"color":[195,79,50]},{"color":[180,13,50]},{"color":[224,58,50]},{"color":[93,34,50]},{"color":[228,69,50]},{"color":[331,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,99,50]},{"color":[196,47,50]},{"color":[319,21,50]},{"color":[181,35,50]},{"color":[178,52,50]},{"color":[213,27,50]},{"color":[128,26,50]},{"color":[267,42,50]},{"color":[16,25,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
