eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986106991	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,41,50]},{"color":[257,50,50]},{"color":[279,84,50]},{"color":[356,72,50]},{"color":[276,76,50]},{"color":[164,69,50]},{"color":[32,56,50]},{"color":[78,50,50]},{"color":[154,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,35,50]},{"color":[285,49,50]},{"color":[203,11,50]},{"color":[7,94,50]},{"color":[234,47,50]},{"color":[103,33,50]},{"color":[48,17,50]},{"color":[128,71,50]},{"color":[87,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[59,30,50]},{"color":[233,88,50]},{"color":[286,36,50]},{"color":[345,96,50]},{"color":[241,77,50]},{"color":[142,90,50]},{"color":[50,48,50]},{"color":[107,95,50]},{"color":[124,36,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986171864	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,70,50]},{"color":[35,8,50]},{"color":[67,89,50]},{"color":[58,33,50]},{"color":[264,38,50]},{"color":[205,93,50]},{"color":[160,42,50]},{"color":[32,43,50]},{"color":[12,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,19,50]},{"color":[69,41,50]},{"color":[198,31,50]},{"color":[141,72,50]},{"color":[64,61,50]},{"color":[61,44,50]},{"color":[329,6,50]},{"color":[78,61,50]},{"color":[329,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[288,6,50]},{"color":[101,81,50]},{"color":[212,93,50]},{"color":[105,72,50]},{"color":[67,98,50]},{"color":[65,96,50]},{"color":[77,7,50]},{"color":[147,70,50]},{"color":[318,36,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986201542	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,18,50]},{"color":[345,65,50]},{"color":[61,36,50]},{"color":[237,23,50]},{"color":[91,93,50]},{"color":[289,62,50]},{"color":[104,9,50]},{"color":[86,63,50]},{"color":[359,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[161,7,50]},{"color":[9,59,50]},{"color":[66,47,50]},{"color":[236,50,50]},{"color":[66,56,50]},{"color":[274,91,50]},{"color":[31,7,50]},{"color":[107,41,50]},{"color":[5,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[143,30,50]},{"color":[359,84,50]},{"color":[53,70,50]},{"color":[219,52,50]},{"color":[119,80,50]},{"color":[314,50,50]},{"color":[78,14,50]},{"color":[145,51,50]},{"color":[350,48,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986251397	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,64,50]},{"color":[204,18,50]},{"color":[199,37,50]},{"color":[321,86,50]},{"color":[215,43,50]},{"color":[201,54,50]},{"color":[279,6,50]},{"color":[138,68,50]},{"color":[283,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[223,8,50]},{"color":[240,23,50]},{"color":[197,20,50]},{"color":[304,89,50]},{"color":[230,12,50]},{"color":[178,31,50]},{"color":[212,13,50]},{"color":[102,34,50]},{"color":[242,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[196,15,50]},{"color":[281,37,50]},{"color":[127,3,50]},{"color":[293,54,50]},{"color":[251,20,50]},{"color":[196,14,50]},{"color":[342,8,50]},{"color":[104,69,50]},{"color":[249,95,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986295285	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,41,50]},{"color":[172,61,50]},{"color":[164,73,50]},{"color":[275,89,50]},{"color":[209,18,50]},{"color":[249,44,50]},{"color":[350,97,50]},{"color":[250,62,50]},{"color":[76,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,15,50]},{"color":[225,26,50]},{"color":[267,89,50]},{"color":[23,85,50]},{"color":[359,28,50]},{"color":[212,93,50]},{"color":[230,47,50]},{"color":[130,42,50]},{"color":[356,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[345,7,50]},{"color":[190,46,50]},{"color":[170,81,50]},{"color":[295,81,50]},{"color":[210,33,50]},{"color":[250,99,50]},{"color":[355,48,50]},{"color":[223,39,50]},{"color":[124,82,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986322573	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[257,91,50]},{"color":[341,30,50]},{"color":[100,58,50]},{"color":[24,11,50]},{"color":[210,87,50]},{"color":[171,76,50]},{"color":[315,93,50]},{"color":[48,36,50]},{"color":[20,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[45,7,50]},{"color":[99,93,50]},{"color":[3,20,50]},{"color":[217,52,50]},{"color":[139,49,50]},{"color":[330,96,50]},{"color":[175,86,50]},{"color":[173,21,50]},{"color":[69,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[68,27,50]},{"color":[138,78,50]},{"color":[334,76,50]},{"color":[206,79,50]},{"color":[101,80,50]},{"color":[312,85,50]},{"color":[164,29,50]},{"color":[167,33,50]},{"color":[133,34,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986364989	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,3,50]},{"color":[50,70,50]},{"color":[7,12,50]},{"color":[46,85,50]},{"color":[288,85,50]},{"color":[89,82,50]},{"color":[219,91,50]},{"color":[209,94,50]},{"color":[321,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,88,50]},{"color":[197,23,50]},{"color":[359,76,50]},{"color":[155,1,50]},{"color":[97,13,50]},{"color":[36,7,50]},{"color":[49,44,50]},{"color":[64,75,50]},{"color":[35,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,70,50]},{"color":[90,96,50]},{"color":[183,47,50]},{"color":[181,59,50]},{"color":[174,74,50]},{"color":[218,45,50]},{"color":[68,89,50]},{"color":[94,33,50]},{"color":[258,40,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986388808	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,2,50]},{"color":[218,74,50]},{"color":[126,37,50]},{"color":[44,14,50]},{"color":[358,22,50]},{"color":[270,80,50]},{"color":[68,63,50]},{"color":[183,32,50]},{"color":[308,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[293,90,50]},{"color":[297,44,50]},{"color":[220,31,50]},{"color":[213,32,50]},{"color":[267,43,50]},{"color":[145,60,50]},{"color":[147,56,50]},{"color":[108,70,50]},{"color":[143,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,57,50]},{"color":[357,88,50]},{"color":[177,13,50]},{"color":[325,99,50]},{"color":[126,8,50]},{"color":[22,45,50]},{"color":[319,69,50]},{"color":[324,84,50]},{"color":[78,22,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986424858	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,63,50]},{"color":[9,46,50]},{"color":[336,98,50]},{"color":[358,74,50]},{"color":[164,38,50]},{"color":[63,18,50]},{"color":[44,52,50]},{"color":[3,40,50]},{"color":[160,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[275,58,50]},{"color":[130,5,50]},{"color":[276,73,50]},{"color":[307,69,50]},{"color":[230,43,50]},{"color":[233,60,50]},{"color":[307,0,50]},{"color":[308,29,50]},{"color":[198,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,81,50]},{"color":[297,9,50]},{"color":[18,92,50]},{"color":[46,37,50]},{"color":[130,95,50]},{"color":[189,14,50]},{"color":[308,98,50]},{"color":[166,59,50]},{"color":[173,72,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986458178	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,89,50]},{"color":[330,60,50]},{"color":[27,10,50]},{"color":[37,7,50]},{"color":[32,55,50]},{"color":[30,46,50]},{"color":[48,88,50]},{"color":[117,63,50]},{"color":[180,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[17,80,50]},{"color":[146,19,50]},{"color":[2,37,50]},{"color":[334,92,50]},{"color":[318,39,50]},{"color":[182,89,50]},{"color":[219,96,50]},{"color":[177,74,50]},{"color":[96,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[346,69,50]},{"color":[277,72,50]},{"color":[231,50,50]},{"color":[135,41,50]},{"color":[148,68,50]},{"color":[305,43,50]},{"color":[16,34,50]},{"color":[282,84,50]},{"color":[271,81,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
