eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986401043	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[11,38,50]},{"color":[172,99,50]},{"color":[91,32,50]},{"color":[292,6,50]},{"color":[242,37,50]},{"color":[65,53,50]},{"color":[130,87,50]},{"color":[60,41,50]},{"color":[100,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[322,10,50]},{"color":[171,50,50]},{"color":[136,82,50]},{"color":[87,1,50]},{"color":[263,41,50]},{"color":[117,88,50]},{"color":[97,94,50]},{"color":[71,29,50]},{"color":[38,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,16,50]},{"color":[184,85,50]},{"color":[74,51,50]},{"color":[3,18,50]},{"color":[274,35,50]},{"color":[98,39,50]},{"color":[124,65,50]},{"color":[53,71,50]},{"color":[113,13,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986424012	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,57,50]},{"color":[254,6,50]},{"color":[39,90,50]},{"color":[84,65,50]},{"color":[30,94,50]},{"color":[82,71,50]},{"color":[116,37,50]},{"color":[59,91,50]},{"color":[336,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[224,66,50]},{"color":[299,61,50]},{"color":[256,61,50]},{"color":[323,89,50]},{"color":[10,0,50]},{"color":[317,2,50]},{"color":[227,30,50]},{"color":[348,60,50]},{"color":[56,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[273,44,50]},{"color":[252,44,50]},{"color":[232,40,50]},{"color":[316,61,50]},{"color":[347,13,50]},{"color":[358,10,50]},{"color":[206,88,50]},{"color":[2,56,50]},{"color":[59,1,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986447186	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,64,50]},{"color":[126,70,50]},{"color":[115,6,50]},{"color":[70,20,50]},{"color":[352,21,50]},{"color":[134,13,50]},{"color":[287,76,50]},{"color":[143,90,50]},{"color":[25,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[157,98,50]},{"color":[9,79,50]},{"color":[77,60,50]},{"color":[245,40,50]},{"color":[225,90,50]},{"color":[21,58,50]},{"color":[229,42,50]},{"color":[83,2,50]},{"color":[347,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,76,50]},{"color":[188,99,50]},{"color":[30,38,50]},{"color":[198,39,50]},{"color":[92,44,50]},{"color":[159,71,50]},{"color":[13,25,50]},{"color":[320,54,50]},{"color":[78,92,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986487452	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[107,87,50]},{"color":[116,93,50]},{"color":[127,64,50]},{"color":[40,87,50]},{"color":[155,60,50]},{"color":[8,70,50]},{"color":[16,59,50]},{"color":[297,54,50]},{"color":[28,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[167,14,50]},{"color":[275,82,50]},{"color":[43,81,50]},{"color":[104,58,50]},{"color":[265,16,50]},{"color":[157,29,50]},{"color":[224,15,50]},{"color":[82,76,50]},{"color":[244,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,7,50]},{"color":[299,50,50]},{"color":[34,67,50]},{"color":[161,47,50]},{"color":[340,8,50]},{"color":[164,56,50]},{"color":[223,8,50]},{"color":[136,63,50]},{"color":[302,21,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986513565	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[7,60,50]},{"color":[10,17,50]},{"color":[65,95,50]},{"color":[356,20,50]},{"color":[127,21,50]},{"color":[120,58,50]},{"color":[264,86,50]},{"color":[129,22,50]},{"color":[220,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,28,50]},{"color":[262,39,50]},{"color":[9,74,50]},{"color":[187,31,50]},{"color":[280,22,50]},{"color":[214,5,50]},{"color":[314,26,50]},{"color":[291,85,50]},{"color":[163,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[13,12,50]},{"color":[167,74,50]},{"color":[161,40,50]},{"color":[150,63,50]},{"color":[331,95,50]},{"color":[5,92,50]},{"color":[128,91,50]},{"color":[83,63,50]},{"color":[171,23,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986527560	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,5,50]},{"color":[255,4,50]},{"color":[349,88,50]},{"color":[85,87,50]},{"color":[13,5,50]},{"color":[281,50,50]},{"color":[85,0,50]},{"color":[161,84,50]},{"color":[186,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[147,10,50]},{"color":[33,61,50]},{"color":[167,24,50]},{"color":[254,98,50]},{"color":[74,51,50]},{"color":[112,80,50]},{"color":[38,51,50]},{"color":[311,95,50]},{"color":[5,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[237,67,50]},{"color":[338,88,50]},{"color":[46,14,50]},{"color":[233,28,50]},{"color":[271,56,50]},{"color":[211,2,50]},{"color":[97,46,50]},{"color":[26,97,50]},{"color":[67,71,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986559702	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,61,50]},{"color":[174,93,50]},{"color":[129,77,50]},{"color":[268,97,50]},{"color":[106,65,50]},{"color":[16,92,50]},{"color":[149,82,50]},{"color":[77,46,50]},{"color":[309,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,80,50]},{"color":[222,86,50]},{"color":[321,19,50]},{"color":[173,14,50]},{"color":[175,94,50]},{"color":[257,17,50]},{"color":[207,97,50]},{"color":[234,83,50]},{"color":[241,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,73,50]},{"color":[258,86,50]},{"color":[247,6,50]},{"color":[111,23,50]},{"color":[179,34,50]},{"color":[281,11,50]},{"color":[202,20,50]},{"color":[268,42,50]},{"color":[259,70,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986591586	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[144,95,50]},{"color":[320,24,50]},{"color":[45,10,50]},{"color":[290,58,50]},{"color":[157,63,50]},{"color":[175,73,50]},{"color":[297,98,50]},{"color":[21,0,50]},{"color":[263,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[99,68,50]},{"color":[345,59,50]},{"color":[337,3,50]},{"color":[302,39,50]},{"color":[171,89,50]},{"color":[177,46,50]},{"color":[289,66,50]},{"color":[183,14,50]},{"color":[227,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,76,50]},{"color":[320,63,50]},{"color":[48,19,50]},{"color":[272,34,50]},{"color":[163,43,50]},{"color":[156,38,50]},{"color":[272,96,50]},{"color":[203,27,50]},{"color":[257,38,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986612658	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,80,50]},{"color":[254,45,50]},{"color":[204,64,50]},{"color":[58,83,50]},{"color":[49,61,50]},{"color":[341,74,50]},{"color":[28,55,50]},{"color":[198,82,50]},{"color":[348,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[282,9,50]},{"color":[318,98,50]},{"color":[129,43,50]},{"color":[303,65,50]},{"color":[13,52,50]},{"color":[28,76,50]},{"color":[62,95,50]},{"color":[117,24,50]},{"color":[197,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[90,97,50]},{"color":[132,85,50]},{"color":[58,48,50]},{"color":[11,30,50]},{"color":[150,12,50]},{"color":[151,83,50]},{"color":[267,61,50]},{"color":[237,69,50]},{"color":[273,66,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	7430-634c64c7-d57b-4131-94b9-b00cf56e24d5	1523986632066	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,58,50]},{"color":[212,87,50]},{"color":[314,21,50]},{"color":[209,36,50]},{"color":[187,95,50]},{"color":[188,97,50]},{"color":[11,49,50]},{"color":[27,58,50]},{"color":[153,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,60,50]},{"color":[27,85,50]},{"color":[260,82,50]},{"color":[92,31,50]},{"color":[144,33,50]},{"color":[287,70,50]},{"color":[282,12,50]},{"color":[132,30,50]},{"color":[38,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,4,50]},{"color":[190,25,50]},{"color":[79,97,50]},{"color":[357,56,50]},{"color":[189,16,50]},{"color":[223,7,50]},{"color":[64,20,50]},{"color":[278,79,50]},{"color":[279,50,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
