eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986552674	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,14,50]},{"color":[359,33,50]},{"color":[128,2,50]},{"color":[198,66,50]},{"color":[147,76,50]},{"color":[25,11,50]},{"color":[225,77,50]},{"color":[250,49,50]},{"color":[292,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[224,67,50]},{"color":[248,36,50]},{"color":[190,65,50]},{"color":[267,81,50]},{"color":[277,27,50]},{"color":[250,13,50]},{"color":[131,8,50]},{"color":[357,30,50]},{"color":[71,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[55,63,50]},{"color":[150,16,50]},{"color":[288,69,50]},{"color":[228,28,50]},{"color":[237,92,50]},{"color":[305,99,50]},{"color":[49,57,50]},{"color":[80,61,50]},{"color":[223,8,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986617792	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,78,50]},{"color":[26,69,50]},{"color":[322,36,50]},{"color":[35,71,50]},{"color":[299,87,50]},{"color":[56,13,50]},{"color":[140,40,50]},{"color":[134,23,50]},{"color":[227,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,57,50]},{"color":[14,96,50]},{"color":[310,51,50]},{"color":[27,65,50]},{"color":[288,51,50]},{"color":[169,9,50]},{"color":[110,40,50]},{"color":[144,69,50]},{"color":[219,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[145,68,50]},{"color":[8,82,50]},{"color":[288,63,50]},{"color":[38,35,50]},{"color":[328,67,50]},{"color":[137,0,50]},{"color":[151,84,50]},{"color":[170,63,50]},{"color":[215,75,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986646381	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[227,51,50]},{"color":[212,83,50]},{"color":[14,16,50]},{"color":[123,27,50]},{"color":[86,84,50]},{"color":[209,97,50]},{"color":[28,23,50]},{"color":[50,95,50]},{"color":[70,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,58,50]},{"color":[248,83,50]},{"color":[302,68,50]},{"color":[19,77,50]},{"color":[237,7,50]},{"color":[69,52,50]},{"color":[116,9,50]},{"color":[79,52,50]},{"color":[291,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[64,71,50]},{"color":[122,12,50]},{"color":[234,51,50]},{"color":[164,7,50]},{"color":[318,36,50]},{"color":[308,58,50]},{"color":[219,90,50]},{"color":[282,4,50]},{"color":[207,29,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986659922	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,32,50]},{"color":[81,97,50]},{"color":[270,73,50]},{"color":[255,89,50]},{"color":[200,30,50]},{"color":[138,97,50]},{"color":[252,83,50]},{"color":[165,12,50]},{"color":[100,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[259,99,50]},{"color":[106,34,50]},{"color":[89,98,50]},{"color":[177,55,50]},{"color":[283,52,50]},{"color":[284,4,50]},{"color":[297,56,50]},{"color":[84,72,50]},{"color":[174,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,67,50]},{"color":[46,83,50]},{"color":[72,0,50]},{"color":[157,5,50]},{"color":[190,96,50]},{"color":[51,34,50]},{"color":[151,7,50]},{"color":[13,17,50]},{"color":[53,8,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986731317	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[120,4,50]},{"color":[82,59,50]},{"color":[53,42,50]},{"color":[175,14,50]},{"color":[118,11,50]},{"color":[302,0,50]},{"color":[201,67,50]},{"color":[281,68,50]},{"color":[96,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,41,50]},{"color":[353,43,50]},{"color":[133,17,50]},{"color":[319,11,50]},{"color":[61,56,50]},{"color":[243,22,50]},{"color":[293,45,50]},{"color":[118,99,50]},{"color":[165,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[104,15,50]},{"color":[79,87,50]},{"color":[40,33,50]},{"color":[143,15,50]},{"color":[208,0,50]},{"color":[113,6,50]},{"color":[193,31,50]},{"color":[261,73,50]},{"color":[128,32,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986763169	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[223,4,50]},{"color":[57,92,50]},{"color":[323,69,50]},{"color":[169,70,50]},{"color":[265,10,50]},{"color":[102,27,50]},{"color":[117,38,50]},{"color":[314,51,50]},{"color":[32,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,3,50]},{"color":[53,75,50]},{"color":[302,41,50]},{"color":[183,83,50]},{"color":[14,15,50]},{"color":[139,44,50]},{"color":[115,90,50]},{"color":[327,32,50]},{"color":[52,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[85,36,50]},{"color":[254,72,50]},{"color":[7,87,50]},{"color":[293,59,50]},{"color":[8,90,50]},{"color":[327,64,50]},{"color":[204,5,50]},{"color":[154,20,50]},{"color":[310,12,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986782334	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,79,50]},{"color":[99,3,50]},{"color":[13,52,50]},{"color":[97,32,50]},{"color":[16,43,50]},{"color":[83,73,50]},{"color":[72,2,50]},{"color":[26,66,50]},{"color":[84,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[190,13,50]},{"color":[341,24,50]},{"color":[147,81,50]},{"color":[261,75,50]},{"color":[39,4,50]},{"color":[341,18,50]},{"color":[191,48,50]},{"color":[48,5,50]},{"color":[320,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,74,50]},{"color":[28,17,50]},{"color":[27,44,50]},{"color":[88,6,50]},{"color":[34,50,50]},{"color":[77,41,50]},{"color":[332,2,50]},{"color":[2,84,50]},{"color":[59,30,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986824055	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,0,50]},{"color":[280,46,50]},{"color":[184,46,50]},{"color":[22,85,50]},{"color":[195,79,50]},{"color":[344,46,50]},{"color":[202,1,50]},{"color":[171,29,50]},{"color":[287,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[213,20,50]},{"color":[276,33,50]},{"color":[160,33,50]},{"color":[27,68,50]},{"color":[205,13,50]},{"color":[329,36,50]},{"color":[270,9,50]},{"color":[187,62,50]},{"color":[261,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[276,16,50]},{"color":[297,67,50]},{"color":[157,45,50]},{"color":[14,38,50]},{"color":[202,75,50]},{"color":[322,19,50]},{"color":[236,19,50]},{"color":[161,17,50]},{"color":[263,88,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986938179	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,53,50]},{"color":[205,45,50]},{"color":[44,9,50]},{"color":[276,90,50]},{"color":[258,8,50]},{"color":[27,43,50]},{"color":[212,12,50]},{"color":[338,77,50]},{"color":[239,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[263,94,50]},{"color":[214,78,50]},{"color":[88,11,50]},{"color":[229,57,50]},{"color":[50,0,50]},{"color":[21,13,50]},{"color":[65,6,50]},{"color":[347,77,50]},{"color":[45,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,36,50]},{"color":[203,84,50]},{"color":[102,23,50]},{"color":[235,36,50]},{"color":[227,4,50]},{"color":[42,9,50]},{"color":[175,4,50]},{"color":[333,63,50]},{"color":[344,8,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986973671	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[118,98,50]},{"color":[309,23,50]},{"color":[45,59,50]},{"color":[128,36,50]},{"color":[158,76,50]},{"color":[259,1,50]},{"color":[330,55,50]},{"color":[251,36,50]},{"color":[63,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,91,50]},{"color":[331,44,50]},{"color":[52,58,50]},{"color":[147,57,50]},{"color":[162,63,50]},{"color":[232,10,50]},{"color":[359,41,50]},{"color":[215,90,50]},{"color":[72,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,78,50]},{"color":[320,16,50]},{"color":[44,84,50]},{"color":[109,72,50]},{"color":[169,89,50]},{"color":[177,7,50]},{"color":[351,50,50]},{"color":[214,61,50]},{"color":[46,44,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987014360	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,38,50]},{"color":[153,19,50]},{"color":[31,4,50]},{"color":[49,24,50]},{"color":[299,66,50]},{"color":[173,15,50]},{"color":[287,7,50]},{"color":[305,51,50]},{"color":[7,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,16,50]},{"color":[164,14,50]},{"color":[34,20,50]},{"color":[31,64,50]},{"color":[293,54,50]},{"color":[88,7,50]},{"color":[18,16,50]},{"color":[297,73,50]},{"color":[8,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,55,50]},{"color":[179,39,50]},{"color":[16,30,50]},{"color":[43,43,50]},{"color":[283,59,50]},{"color":[344,0,50]},{"color":[94,1,50]},{"color":[284,71,50]},{"color":[10,79,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987038567	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[93,24,50]},{"color":[8,45,50]},{"color":[225,96,50]},{"color":[270,68,50]},{"color":[108,20,50]},{"color":[105,18,50]},{"color":[105,51,50]},{"color":[309,55,50]},{"color":[270,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,13,50]},{"color":[336,95,50]},{"color":[259,73,50]},{"color":[299,55,50]},{"color":[133,29,50]},{"color":[92,33,50]},{"color":[136,51,50]},{"color":[282,97,50]},{"color":[299,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[60,7,50]},{"color":[4,79,50]},{"color":[268,86,50]},{"color":[288,79,50]},{"color":[145,58,50]},{"color":[46,14,50]},{"color":[162,68,50]},{"color":[307,87,50]},{"color":[302,34,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987065227	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,18,50]},{"color":[143,4,50]},{"color":[339,9,50]},{"color":[109,40,50]},{"color":[46,11,50]},{"color":[250,4,50]},{"color":[358,39,50]},{"color":[254,87,50]},{"color":[11,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[85,39,50]},{"color":[359,90,50]},{"color":[53,48,50]},{"color":[223,14,50]},{"color":[292,90,50]},{"color":[9,47,50]},{"color":[72,77,50]},{"color":[131,45,50]},{"color":[202,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[324,60,50]},{"color":[326,75,50]},{"color":[106,96,50]},{"color":[321,98,50]},{"color":[243,10,50]},{"color":[111,28,50]},{"color":[41,14,50]},{"color":[279,7,50]},{"color":[305,92,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987100114	14	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,24,50]},{"color":[113,78,50]},{"color":[154,62,50]},{"color":[45,90,50]},{"color":[233,8,50]},{"color":[34,80,50]},{"color":[25,55,50]},{"color":[215,84,50]},{"color":[109,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,22,50]},{"color":[139,96,50]},{"color":[114,16,50]},{"color":[54,32,50]},{"color":[317,8,50]},{"color":[31,42,50]},{"color":[14,28,50]},{"color":[242,37,50]},{"color":[145,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,14,50]},{"color":[153,99,50]},{"color":[127,47,50]},{"color":[58,45,50]},{"color":[19,3,50]},{"color":[38,34,50]},{"color":[24,14,50]},{"color":[222,64,50]},{"color":[60,14,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987119507	15	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,88,50]},{"color":[318,33,50]},{"color":[60,73,50]},{"color":[136,9,50]},{"color":[199,84,50]},{"color":[167,10,50]},{"color":[108,55,50]},{"color":[188,48,50]},{"color":[65,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,32,50]},{"color":[107,12,50]},{"color":[85,23,50]},{"color":[118,93,50]},{"color":[326,36,50]},{"color":[268,74,50]},{"color":[289,14,50]},{"color":[247,40,50]},{"color":[101,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,9,50]},{"color":[18,98,50]},{"color":[299,7,50]},{"color":[215,75,50]},{"color":[322,0,50]},{"color":[315,8,50]},{"color":[61,88,50]},{"color":[51,52,50]},{"color":[299,95,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987138906	16	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,88,50]},{"color":[109,13,50]},{"color":[204,33,50]},{"color":[126,47,50]},{"color":[22,80,50]},{"color":[192,10,50]},{"color":[65,22,50]},{"color":[74,42,50]},{"color":[63,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[182,79,50]},{"color":[176,22,50]},{"color":[192,43,50]},{"color":[114,86,50]},{"color":[26,96,50]},{"color":[280,79,50]},{"color":[103,16,50]},{"color":[89,57,50]},{"color":[107,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[174,34,50]},{"color":[96,0,50]},{"color":[208,60,50]},{"color":[83,45,50]},{"color":[37,51,50]},{"color":[303,57,50]},{"color":[84,50,50]},{"color":[136,79,50]},{"color":[66,99,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
