eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987371473	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[261,64,50]},{"color":[110,59,50]},{"color":[333,23,50]},{"color":[69,97,50]},{"color":[103,60,50]},{"color":[132,19,50]},{"color":[353,94,50]},{"color":[49,78,50]},{"color":[269,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,22,50]},{"color":[76,93,50]},{"color":[297,39,50]},{"color":[102,60,50]},{"color":[62,37,50]},{"color":[94,10,50]},{"color":[12,54,50]},{"color":[36,89,50]},{"color":[274,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,4,50]},{"color":[103,6,50]},{"color":[104,1,50]},{"color":[262,57,50]},{"color":[218,76,50]},{"color":[212,31,50]},{"color":[87,5,50]},{"color":[216,96,50]},{"color":[43,44,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987435925	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,59,50]},{"color":[90,13,50]},{"color":[84,71,50]},{"color":[13,72,50]},{"color":[149,69,50]},{"color":[169,21,50]},{"color":[64,69,50]},{"color":[107,42,50]},{"color":[296,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[314,50,50]},{"color":[57,16,50]},{"color":[74,32,50]},{"color":[9,95,50]},{"color":[81,99,50]},{"color":[56,16,50]},{"color":[89,41,50]},{"color":[151,79,50]},{"color":[320,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[293,40,50]},{"color":[167,24,50]},{"color":[108,62,50]},{"color":[29,81,50]},{"color":[97,53,50]},{"color":[100,19,50]},{"color":[71,30,50]},{"color":[132,32,50]},{"color":[295,58,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987449815	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[161,55,50]},{"color":[138,57,50]},{"color":[206,84,50]},{"color":[204,27,50]},{"color":[225,98,50]},{"color":[276,40,50]},{"color":[221,6,50]},{"color":[160,57,50]},{"color":[180,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[197,89,50]},{"color":[50,39,50]},{"color":[160,48,50]},{"color":[49,16,50]},{"color":[122,78,50]},{"color":[28,65,50]},{"color":[143,17,50]},{"color":[242,8,50]},{"color":[267,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,57,50]},{"color":[297,11,50]},{"color":[32,23,50]},{"color":[106,85,50]},{"color":[326,82,50]},{"color":[108,55,50]},{"color":[253,66,50]},{"color":[292,73,50]},{"color":[315,19,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987471504	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,6,50]},{"color":[75,19,50]},{"color":[237,4,50]},{"color":[10,29,50]},{"color":[290,60,50]},{"color":[119,54,50]},{"color":[59,41,50]},{"color":[111,12,50]},{"color":[250,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[161,15,50]},{"color":[71,8,50]},{"color":[137,2,50]},{"color":[356,19,50]},{"color":[290,86,50]},{"color":[63,54,50]},{"color":[107,52,50]},{"color":[191,17,50]},{"color":[228,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[202,16,50]},{"color":[43,32,50]},{"color":[195,30,50]},{"color":[351,78,50]},{"color":[266,50,50]},{"color":[105,70,50]},{"color":[94,69,50]},{"color":[95,1,50]},{"color":[270,69,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987492959	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[149,11,50]},{"color":[219,39,50]},{"color":[6,48,50]},{"color":[329,5,50]},{"color":[192,45,50]},{"color":[292,43,50]},{"color":[200,19,50]},{"color":[158,74,50]},{"color":[125,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[102,39,50]},{"color":[107,14,50]},{"color":[85,32,50]},{"color":[74,24,50]},{"color":[284,67,50]},{"color":[84,35,50]},{"color":[263,10,50]},{"color":[118,15,50]},{"color":[77,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,52,50]},{"color":[201,76,50]},{"color":[341,72,50]},{"color":[326,28,50]},{"color":[182,22,50]},{"color":[257,13,50]},{"color":[62,6,50]},{"color":[116,78,50]},{"color":[160,45,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987513305	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,11,50]},{"color":[79,36,50]},{"color":[54,45,50]},{"color":[64,69,50]},{"color":[357,37,50]},{"color":[179,68,50]},{"color":[77,87,50]},{"color":[183,33,50]},{"color":[177,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,68,50]},{"color":[51,96,50]},{"color":[210,17,50]},{"color":[133,48,50]},{"color":[255,5,50]},{"color":[244,21,50]},{"color":[6,24,50]},{"color":[48,47,50]},{"color":[117,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,35,50]},{"color":[34,64,50]},{"color":[274,64,50]},{"color":[255,30,50]},{"color":[228,52,50]},{"color":[61,27,50]},{"color":[303,28,50]},{"color":[173,0,50]},{"color":[304,96,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987551567	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[244,11,50]},{"color":[8,64,50]},{"color":[206,79,50]},{"color":[223,45,50]},{"color":[211,78,50]},{"color":[260,12,50]},{"color":[58,97,50]},{"color":[284,47,50]},{"color":[201,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[93,35,50]},{"color":[38,34,50]},{"color":[349,54,50]},{"color":[200,90,50]},{"color":[117,95,50]},{"color":[232,73,50]},{"color":[151,74,50]},{"color":[133,8,50]},{"color":[100,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[167,59,50]},{"color":[126,63,50]},{"color":[138,3,50]},{"color":[162,33,50]},{"color":[49,98,50]},{"color":[9,79,50]},{"color":[237,57,50]},{"color":[62,81,50]},{"color":[244,70,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987590033	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,93,50]},{"color":[5,50,50]},{"color":[24,62,50]},{"color":[168,0,50]},{"color":[275,41,50]},{"color":[12,96,50]},{"color":[248,91,50]},{"color":[351,32,50]},{"color":[306,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[16,43,50]},{"color":[359,45,50]},{"color":[27,35,50]},{"color":[28,30,50]},{"color":[298,87,50]},{"color":[13,35,50]},{"color":[262,67,50]},{"color":[359,65,50]},{"color":[295,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,83,50]},{"color":[340,68,50]},{"color":[30,82,50]},{"color":[42,10,50]},{"color":[321,61,50]},{"color":[18,68,50]},{"color":[267,31,50]},{"color":[340,31,50]},{"color":[323,79,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987608767	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,3,50]},{"color":[118,43,50]},{"color":[115,58,50]},{"color":[61,53,50]},{"color":[50,45,50]},{"color":[13,66,50]},{"color":[16,39,50]},{"color":[339,4,50]},{"color":[272,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,5,50]},{"color":[149,95,50]},{"color":[88,41,50]},{"color":[86,80,50]},{"color":[81,67,50]},{"color":[19,48,50]},{"color":[9,74,50]},{"color":[7,21,50]},{"color":[228,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[190,10,50]},{"color":[124,62,50]},{"color":[118,22,50]},{"color":[57,79,50]},{"color":[66,28,50]},{"color":[354,52,50]},{"color":[349,51,50]},{"color":[215,1,50]},{"color":[260,80,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987704734	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,82,50]},{"color":[237,68,50]},{"color":[94,10,50]},{"color":[222,38,50]},{"color":[224,41,50]},{"color":[24,21,50]},{"color":[340,67,50]},{"color":[298,12,50]},{"color":[221,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[135,77,50]},{"color":[50,6,50]},{"color":[224,30,50]},{"color":[353,36,50]},{"color":[333,85,50]},{"color":[277,97,50]},{"color":[219,10,50]},{"color":[204,15,50]},{"color":[297,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,42,50]},{"color":[22,28,50]},{"color":[219,91,50]},{"color":[22,37,50]},{"color":[303,88,50]},{"color":[288,35,50]},{"color":[202,4,50]},{"color":[200,37,50]},{"color":[284,77,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
