eventType	type	gameid	time	roundNum	state
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988675651	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[338,7,50]},{"color":[233,32,50]},{"color":[209,9,50]},{"color":[38,84,50]},{"color":[10,25,50]},{"color":[63,31,50]},{"color":[79,88,50]},{"color":[269,53,50]},{"color":[320,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[39,1,50]},{"color":[211,51,50]},{"color":[218,62,50]},{"color":[45,99,50]},{"color":[356,46,50]},{"color":[40,19,50]},{"color":[120,53,50]},{"color":[285,78,50]},{"color":[297,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[315,15,50]},{"color":[231,46,50]},{"color":[227,57,50]},{"color":[33,83,50]},{"color":[9,72,50]},{"color":[51,12,50]},{"color":[70,47,50]},{"color":[254,96,50]},{"color":[278,26,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988689846	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,26,50]},{"color":[99,38,50]},{"color":[102,74,50]},{"color":[2,21,50]},{"color":[27,93,50]},{"color":[65,20,50]},{"color":[304,53,50]},{"color":[230,13,50]},{"color":[265,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,2,50]},{"color":[293,8,50]},{"color":[53,27,50]},{"color":[176,4,50]},{"color":[243,70,50]},{"color":[144,65,50]},{"color":[337,15,50]},{"color":[79,61,50]},{"color":[19,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[168,58,50]},{"color":[174,41,50]},{"color":[359,53,50]},{"color":[69,56,50]},{"color":[115,87,50]},{"color":[304,56,50]},{"color":[113,18,50]},{"color":[13,65,50]},{"color":[118,99,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988726114	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[195,63,50]},{"color":[321,15,50]},{"color":[198,10,50]},{"color":[85,69,50]},{"color":[337,88,50]},{"color":[47,84,50]},{"color":[184,73,50]},{"color":[86,40,50]},{"color":[98,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,50,50]},{"color":[115,0,50]},{"color":[69,9,50]},{"color":[114,42,50]},{"color":[355,76,50]},{"color":[38,50,50]},{"color":[189,95,50]},{"color":[99,62,50]},{"color":[65,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,31,50]},{"color":[225,23,50]},{"color":[173,3,50]},{"color":[145,71,50]},{"color":[10,34,50]},{"color":[36,65,50]},{"color":[196,65,50]},{"color":[123,82,50]},{"color":[114,70,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988759933	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,61,50]},{"color":[186,34,50]},{"color":[178,97,50]},{"color":[113,33,50]},{"color":[51,62,50]},{"color":[321,59,50]},{"color":[69,99,50]},{"color":[94,24,50]},{"color":[316,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[274,52,50]},{"color":[134,4,50]},{"color":[185,79,50]},{"color":[114,70,50]},{"color":[46,88,50]},{"color":[303,86,50]},{"color":[96,65,50]},{"color":[132,56,50]},{"color":[344,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,29,50]},{"color":[28,53,50]},{"color":[199,2,50]},{"color":[69,5,50]},{"color":[202,66,50]},{"color":[153,2,50]},{"color":[93,16,50]},{"color":[58,90,50]},{"color":[131,58,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988782197	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[146,37,50]},{"color":[133,11,50]},{"color":[267,76,50]},{"color":[36,53,50]},{"color":[31,0,50]},{"color":[179,56,50]},{"color":[328,70,50]},{"color":[229,42,50]},{"color":[180,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,55,50]},{"color":[125,40,50]},{"color":[229,61,50]},{"color":[41,91,50]},{"color":[1,6,50]},{"color":[165,28,50]},{"color":[2,26,50]},{"color":[259,90,50]},{"color":[276,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[227,61,50]},{"color":[295,38,50]},{"color":[186,75,50]},{"color":[27,8,50]},{"color":[187,53,50]},{"color":[280,90,50]},{"color":[61,32,50]},{"color":[45,80,50]},{"color":[345,43,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988810960	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[59,69,50]},{"color":[296,31,50]},{"color":[160,0,50]},{"color":[302,37,50]},{"color":[199,99,50]},{"color":[321,15,50]},{"color":[342,39,50]},{"color":[184,89,50]},{"color":[355,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[62,30,50]},{"color":[286,24,50]},{"color":[164,8,50]},{"color":[327,69,50]},{"color":[195,54,50]},{"color":[317,25,50]},{"color":[288,36,50]},{"color":[180,77,50]},{"color":[326,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[45,83,50]},{"color":[265,66,50]},{"color":[190,18,50]},{"color":[338,75,50]},{"color":[210,68,50]},{"color":[243,28,50]},{"color":[336,64,50]},{"color":[194,70,50]},{"color":[348,67,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988824302	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[44,33,50]},{"color":[100,46,50]},{"color":[158,44,50]},{"color":[313,74,50]},{"color":[20,71,50]},{"color":[329,93,50]},{"color":[150,71,50]},{"color":[127,44,50]},{"color":[64,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,84,50]},{"color":[241,86,50]},{"color":[23,48,50]},{"color":[152,76,50]},{"color":[316,50,50]},{"color":[89,33,50]},{"color":[180,54,50]},{"color":[217,94,50]},{"color":[197,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,42,50]},{"color":[244,9,50]},{"color":[76,88,50]},{"color":[204,55,50]},{"color":[295,7,50]},{"color":[100,91,50]},{"color":[350,20,50]},{"color":[52,34,50]},{"color":[2,29,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988841717	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[275,61,50]},{"color":[113,28,50]},{"color":[162,32,50]},{"color":[187,12,50]},{"color":[326,26,50]},{"color":[71,47,50]},{"color":[42,70,50]},{"color":[82,0,50]},{"color":[137,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,86,50]},{"color":[95,12,50]},{"color":[113,19,50]},{"color":[189,50,50]},{"color":[253,31,50]},{"color":[47,83,50]},{"color":[32,97,50]},{"color":[110,14,50]},{"color":[114,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[259,79,50]},{"color":[60,8,50]},{"color":[87,31,50]},{"color":[200,38,50]},{"color":[245,20,50]},{"color":[72,64,50]},{"color":[35,69,50]},{"color":[112,3,50]},{"color":[137,87,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988863434	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[248,62,50]},{"color":[338,78,50]},{"color":[235,13,50]},{"color":[24,24,50]},{"color":[14,60,50]},{"color":[55,82,50]},{"color":[285,49,50]},{"color":[104,25,50]},{"color":[12,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[152,52,50]},{"color":[254,26,50]},{"color":[223,86,50]},{"color":[119,54,50]},{"color":[126,61,50]},{"color":[92,90,50]},{"color":[7,72,50]},{"color":[38,13,50]},{"color":[306,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,83,50]},{"color":[113,9,50]},{"color":[85,98,50]},{"color":[227,18,50]},{"color":[336,7,50]},{"color":[92,31,50]},{"color":[118,42,50]},{"color":[261,63,50]},{"color":[221,86,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	2706-bb37466b-b7dc-4567-942f-b1c3713069e4	1523988889802	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[144,77,50]},{"color":[344,41,50]},{"color":[1,69,50]},{"color":[33,61,50]},{"color":[338,91,50]},{"color":[28,54,50]},{"color":[253,89,50]},{"color":[72,98,50]},{"color":[153,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,58,50]},{"color":[300,35,50]},{"color":[22,86,50]},{"color":[44,51,50]},{"color":[2,78,50]},{"color":[37,81,50]},{"color":[265,37,50]},{"color":[107,94,50]},{"color":[72,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[102,76,50]},{"color":[300,52,50]},{"color":[16,47,50]},{"color":[34,99,50]},{"color":[1,51,50]},{"color":[30,99,50]},{"color":[284,47,50]},{"color":[73,70,50]},{"color":[132,56,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
