eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992175970	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[112,2,50]},{"color":[92,76,50]},{"color":[81,67,50]},{"color":[100,88,50]},{"color":[192,85,50]},{"color":[318,16,50]},{"color":[24,72,50]},{"color":[122,41,50]},{"color":[115,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[17,80,50]},{"color":[225,22,50]},{"color":[267,16,50]},{"color":[29,61,50]},{"color":[146,96,50]},{"color":[156,28,50]},{"color":[100,30,50]},{"color":[270,38,50]},{"color":[251,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[279,29,50]},{"color":[291,52,50]},{"color":[189,46,50]},{"color":[79,16,50]},{"color":[140,27,50]},{"color":[50,37,50]},{"color":[220,36,50]},{"color":[198,86,50]},{"color":[319,91,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992188561	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[283,54,50]},{"color":[278,98,50]},{"color":[78,0,50]},{"color":[242,58,50]},{"color":[151,48,50]},{"color":[316,17,50]},{"color":[173,83,50]},{"color":[34,47,50]},{"color":[72,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[155,48,50]},{"color":[239,3,50]},{"color":[322,18,50]},{"color":[52,74,50]},{"color":[196,24,50]},{"color":[188,85,50]},{"color":[302,53,50]},{"color":[165,15,50]},{"color":[274,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[191,70,50]},{"color":[155,31,50]},{"color":[114,37,50]},{"color":[120,52,50]},{"color":[233,49,50]},{"color":[224,34,50]},{"color":[83,87,50]},{"color":[304,38,50]},{"color":[201,86,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992218787	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[329,17,50]},{"color":[61,27,50]},{"color":[162,96,50]},{"color":[45,36,50]},{"color":[130,8,50]},{"color":[176,28,50]},{"color":[342,72,50]},{"color":[210,6,50]},{"color":[174,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,6,50]},{"color":[50,20,50]},{"color":[139,55,50]},{"color":[38,98,50]},{"color":[56,2,50]},{"color":[184,60,50]},{"color":[347,77,50]},{"color":[278,22,50]},{"color":[156,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,1,50]},{"color":[73,52,50]},{"color":[166,84,50]},{"color":[28,55,50]},{"color":[177,13,50]},{"color":[164,64,50]},{"color":[358,53,50]},{"color":[304,11,50]},{"color":[156,6,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992255955	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[50,81,50]},{"color":[159,35,50]},{"color":[114,15,50]},{"color":[107,46,50]},{"color":[98,86,50]},{"color":[120,27,50]},{"color":[270,35,50]},{"color":[335,15,50]},{"color":[30,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,76,50]},{"color":[181,72,50]},{"color":[188,16,50]},{"color":[153,61,50]},{"color":[123,49,50]},{"color":[128,59,50]},{"color":[338,24,50]},{"color":[341,63,50]},{"color":[38,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[63,38,50]},{"color":[175,91,50]},{"color":[159,36,50]},{"color":[134,99,50]},{"color":[152,57,50]},{"color":[164,71,50]},{"color":[293,50,50]},{"color":[352,56,50]},{"color":[41,78,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992272023	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,35,50]},{"color":[321,66,50]},{"color":[238,45,50]},{"color":[98,30,50]},{"color":[46,44,50]},{"color":[249,20,50]},{"color":[134,64,50]},{"color":[340,85,50]},{"color":[122,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,31,50]},{"color":[34,81,50]},{"color":[71,11,50]},{"color":[296,75,50]},{"color":[236,73,50]},{"color":[27,6,50]},{"color":[34,69,50]},{"color":[271,94,50]},{"color":[41,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,86,50]},{"color":[325,29,50]},{"color":[289,67,50]},{"color":[89,44,50]},{"color":[37,10,50]},{"color":[263,65,50]},{"color":[131,95,50]},{"color":[316,81,50]},{"color":[125,87,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992288919	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[70,91,50]},{"color":[257,59,50]},{"color":[134,32,50]},{"color":[204,52,50]},{"color":[217,11,50]},{"color":[267,66,50]},{"color":[220,1,50]},{"color":[137,13,50]},{"color":[355,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[39,12,50]},{"color":[200,12,50]},{"color":[210,33,50]},{"color":[3,23,50]},{"color":[343,45,50]},{"color":[226,12,50]},{"color":[322,53,50]},{"color":[87,66,50]},{"color":[22,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,18,50]},{"color":[106,64,50]},{"color":[28,62,50]},{"color":[261,75,50]},{"color":[89,51,50]},{"color":[55,86,50]},{"color":[163,30,50]},{"color":[300,71,50]},{"color":[255,83,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992332180	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[105,58,50]},{"color":[307,72,50]},{"color":[118,95,50]},{"color":[307,73,50]},{"color":[344,82,50]},{"color":[218,36,50]},{"color":[71,63,50]},{"color":[129,95,50]},{"color":[165,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,22,50]},{"color":[276,86,50]},{"color":[114,68,50]},{"color":[301,23,50]},{"color":[13,52,50]},{"color":[205,39,50]},{"color":[120,66,50]},{"color":[144,72,50]},{"color":[114,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[197,22,50]},{"color":[205,98,50]},{"color":[50,39,50]},{"color":[227,5,50]},{"color":[152,20,50]},{"color":[356,26,50]},{"color":[336,30,50]},{"color":[50,18,50]},{"color":[229,71,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992369375	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[172,9,50]},{"color":[68,22,50]},{"color":[191,20,50]},{"color":[180,62,50]},{"color":[233,38,50]},{"color":[46,31,50]},{"color":[120,14,50]},{"color":[290,34,50]},{"color":[108,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,27,50]},{"color":[47,63,50]},{"color":[203,83,50]},{"color":[170,41,50]},{"color":[224,92,50]},{"color":[62,58,50]},{"color":[120,9,50]},{"color":[311,84,50]},{"color":[80,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[207,10,50]},{"color":[35,40,50]},{"color":[207,66,50]},{"color":[161,84,50]},{"color":[247,79,50]},{"color":[44,78,50]},{"color":[52,24,50]},{"color":[324,53,50]},{"color":[74,71,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992388333	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[336,90,50]},{"color":[318,56,50]},{"color":[184,13,50]},{"color":[352,94,50]},{"color":[157,23,50]},{"color":[130,99,50]},{"color":[354,70,50]},{"color":[197,56,50]},{"color":[193,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[183,20,50]},{"color":[63,87,50]},{"color":[165,70,50]},{"color":[264,74,50]},{"color":[46,54,50]},{"color":[316,96,50]},{"color":[201,50,50]},{"color":[33,46,50]},{"color":[152,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,51,50]},{"color":[169,57,50]},{"color":[61,88,50]},{"color":[162,64,50]},{"color":[0,68,50]},{"color":[154,6,50]},{"color":[266,42,50]},{"color":[95,44,50]},{"color":[58,83,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7273-e3b8be5c-1dc3-41be-add2-3a196a365227	1523992403295	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[273,83,50]},{"color":[101,58,50]},{"color":[103,89,50]},{"color":[9,25,50]},{"color":[329,36,50]},{"color":[209,66,50]},{"color":[167,11,50]},{"color":[176,33,50]},{"color":[340,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,55,50]},{"color":[71,87,50]},{"color":[154,94,50]},{"color":[296,3,50]},{"color":[284,18,50]},{"color":[216,84,50]},{"color":[178,37,50]},{"color":[169,59,50]},{"color":[331,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[232,72,50]},{"color":[81,68,50]},{"color":[116,41,50]},{"color":[275,0,50]},{"color":[355,17,50]},{"color":[228,68,50]},{"color":[154,46,50]},{"color":[176,82,50]},{"color":[280,27,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
