eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997640672	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[18,16,50]},{"color":[215,89,50]},{"color":[328,83,50]},{"color":[116,37,50]},{"color":[341,57,50]},{"color":[164,71,50]},{"color":[221,74,50]},{"color":[353,44,50]},{"color":[352,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[27,5,50]},{"color":[205,84,50]},{"color":[349,31,50]},{"color":[121,71,50]},{"color":[332,78,50]},{"color":[160,87,50]},{"color":[265,85,50]},{"color":[344,27,50]},{"color":[347,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[313,10,50]},{"color":[211,32,50]},{"color":[309,46,50]},{"color":[111,84,50]},{"color":[326,89,50]},{"color":[169,97,50]},{"color":[253,65,50]},{"color":[328,41,50]},{"color":[339,75,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997680461	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,76,50]},{"color":[50,63,50]},{"color":[350,2,50]},{"color":[253,2,50]},{"color":[347,58,50]},{"color":[277,83,50]},{"color":[353,43,50]},{"color":[156,41,50]},{"color":[293,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,79,50]},{"color":[72,45,50]},{"color":[126,10,50]},{"color":[229,23,50]},{"color":[354,38,50]},{"color":[265,49,50]},{"color":[314,31,50]},{"color":[151,75,50]},{"color":[336,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[232,53,50]},{"color":[64,93,50]},{"color":[196,12,50]},{"color":[206,21,50]},{"color":[2,67,50]},{"color":[266,69,50]},{"color":[325,12,50]},{"color":[140,65,50]},{"color":[281,43,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997710603	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,64,50]},{"color":[32,6,50]},{"color":[171,76,50]},{"color":[320,21,50]},{"color":[304,92,50]},{"color":[205,62,50]},{"color":[227,1,50]},{"color":[165,39,50]},{"color":[168,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[88,57,50]},{"color":[268,21,50]},{"color":[342,85,50]},{"color":[218,68,50]},{"color":[171,8,50]},{"color":[42,55,50]},{"color":[310,32,50]},{"color":[346,90,50]},{"color":[22,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,41,50]},{"color":[98,42,50]},{"color":[304,3,50]},{"color":[193,9,50]},{"color":[354,29,50]},{"color":[59,5,50]},{"color":[44,65,50]},{"color":[50,89,50]},{"color":[339,93,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997782665	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,86,50]},{"color":[230,28,50]},{"color":[345,49,50]},{"color":[352,10,50]},{"color":[80,58,50]},{"color":[139,49,50]},{"color":[105,61,50]},{"color":[157,87,50]},{"color":[27,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,67,50]},{"color":[207,16,50]},{"color":[326,87,50]},{"color":[328,22,50]},{"color":[137,87,50]},{"color":[75,36,50]},{"color":[128,91,50]},{"color":[165,57,50]},{"color":[11,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[25,37,50]},{"color":[229,7,50]},{"color":[351,55,50]},{"color":[353,38,50]},{"color":[140,39,50]},{"color":[94,22,50]},{"color":[145,52,50]},{"color":[157,41,50]},{"color":[12,58,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997831885	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,66,50]},{"color":[135,76,50]},{"color":[346,68,50]},{"color":[272,93,50]},{"color":[14,62,50]},{"color":[359,92,50]},{"color":[285,47,50]},{"color":[213,37,50]},{"color":[6,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[59,3,50]},{"color":[53,87,50]},{"color":[209,78,50]},{"color":[76,38,50]},{"color":[105,7,50]},{"color":[251,74,50]},{"color":[218,94,50]},{"color":[9,50,50]},{"color":[159,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,38,50]},{"color":[278,2,50]},{"color":[132,21,50]},{"color":[260,18,50]},{"color":[197,45,50]},{"color":[70,85,50]},{"color":[4,63,50]},{"color":[173,13,50]},{"color":[249,89,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997876303	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,9,50]},{"color":[14,9,50]},{"color":[230,64,50]},{"color":[307,20,50]},{"color":[239,46,50]},{"color":[110,0,50]},{"color":[142,64,50]},{"color":[19,79,50]},{"color":[332,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,17,50]},{"color":[210,6,50]},{"color":[212,36,50]},{"color":[289,24,50]},{"color":[213,79,50]},{"color":[57,10,50]},{"color":[152,23,50]},{"color":[15,57,50]},{"color":[4,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,19,50]},{"color":[179,1,50]},{"color":[212,92,50]},{"color":[324,81,50]},{"color":[210,23,50]},{"color":[324,3,50]},{"color":[113,27,50]},{"color":[6,50,50]},{"color":[3,50,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997947523	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[331,94,50]},{"color":[148,0,50]},{"color":[167,97,50]},{"color":[182,28,50]},{"color":[16,25,50]},{"color":[166,64,50]},{"color":[189,33,50]},{"color":[232,58,50]},{"color":[29,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,83,50]},{"color":[151,17,50]},{"color":[172,69,50]},{"color":[135,25,50]},{"color":[29,21,50]},{"color":[116,60,50]},{"color":[203,54,50]},{"color":[270,37,50]},{"color":[23,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[233,83,50]},{"color":[166,91,50]},{"color":[297,71,50]},{"color":[339,99,50]},{"color":[281,41,50]},{"color":[336,85,50]},{"color":[272,31,50]},{"color":[337,91,50]},{"color":[127,15,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998048933	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[167,89,50]},{"color":[198,19,50]},{"color":[75,20,50]},{"color":[107,75,50]},{"color":[142,25,50]},{"color":[0,93,50]},{"color":[196,25,50]},{"color":[353,44,50]},{"color":[339,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,35,50]},{"color":[49,14,50]},{"color":[239,41,50]},{"color":[199,40,50]},{"color":[190,31,50]},{"color":[275,82,50]},{"color":[77,73,50]},{"color":[174,21,50]},{"color":[256,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[343,53,50]},{"color":[135,42,50]},{"color":[358,45,50]},{"color":[33,75,50]},{"color":[11,10,50]},{"color":[69,7,50]},{"color":[345,57,50]},{"color":[253,55,50]},{"color":[157,41,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998097015	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[333,80,50]},{"color":[200,6,50]},{"color":[309,85,50]},{"color":[142,59,50]},{"color":[252,81,50]},{"color":[314,48,50]},{"color":[26,35,50]},{"color":[172,21,50]},{"color":[146,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,59,50]},{"color":[306,2,50]},{"color":[280,70,50]},{"color":[157,67,50]},{"color":[238,41,50]},{"color":[263,35,50]},{"color":[24,60,50]},{"color":[110,11,50]},{"color":[152,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,98,50]},{"color":[38,44,50]},{"color":[221,33,50]},{"color":[276,40,50]},{"color":[329,48,50]},{"color":[116,22,50]},{"color":[92,70,50]},{"color":[34,63,50]},{"color":[318,65,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998142749	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[86,87,50]},{"color":[272,27,50]},{"color":[117,10,50]},{"color":[11,86,50]},{"color":[334,39,50]},{"color":[162,68,50]},{"color":[208,47,50]},{"color":[234,4,50]},{"color":[272,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[145,67,50]},{"color":[221,20,50]},{"color":[5,0,50]},{"color":[7,34,50]},{"color":[340,13,50]},{"color":[105,61,50]},{"color":[227,75,50]},{"color":[158,6,50]},{"color":[234,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,46,50]},{"color":[253,12,50]},{"color":[36,19,50]},{"color":[8,53,50]},{"color":[6,11,50]},{"color":[115,40,50]},{"color":[220,46,50]},{"color":[211,33,50]},{"color":[251,75,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
