eventType	type	gameid	time	roundNum	state
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997776044	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,48,50]},{"color":[160,40,50]},{"color":[206,19,50]},{"color":[236,91,50]},{"color":[66,61,50]},{"color":[336,2,50]},{"color":[192,88,50]},{"color":[288,29,50]},{"color":[147,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[50,25,50]},{"color":[318,87,50]},{"color":[349,19,50]},{"color":[49,17,50]},{"color":[286,40,50]},{"color":[144,27,50]},{"color":[115,21,50]},{"color":[126,61,50]},{"color":[319,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[11,78,50]},{"color":[119,81,50]},{"color":[62,59,50]},{"color":[193,12,50]},{"color":[239,72,50]},{"color":[282,81,50]},{"color":[116,97,50]},{"color":[201,92,50]},{"color":[59,43,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997808092	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,47,50]},{"color":[221,89,50]},{"color":[47,25,50]},{"color":[82,26,50]},{"color":[232,61,50]},{"color":[175,34,50]},{"color":[24,25,50]},{"color":[28,32,50]},{"color":[260,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[261,87,50]},{"color":[230,24,50]},{"color":[43,77,50]},{"color":[50,55,50]},{"color":[243,65,50]},{"color":[169,58,50]},{"color":[10,61,50]},{"color":[18,69,50]},{"color":[287,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,38,50]},{"color":[266,43,50]},{"color":[30,68,50]},{"color":[70,48,50]},{"color":[270,99,50]},{"color":[183,58,50]},{"color":[8,26,50]},{"color":[31,71,50]},{"color":[268,92,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997908178	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[146,11,50]},{"color":[205,1,50]},{"color":[328,95,50]},{"color":[139,87,50]},{"color":[270,26,50]},{"color":[179,21,50]},{"color":[148,88,50]},{"color":[175,5,50]},{"color":[223,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[55,68,50]},{"color":[163,83,50]},{"color":[42,48,50]},{"color":[322,85,50]},{"color":[122,57,50]},{"color":[82,84,50]},{"color":[250,73,50]},{"color":[30,72,50]},{"color":[345,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[39,59,50]},{"color":[111,96,50]},{"color":[59,36,50]},{"color":[313,25,50]},{"color":[101,76,50]},{"color":[102,52,50]},{"color":[224,98,50]},{"color":[12,66,50]},{"color":[335,72,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997927533	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[63,0,50]},{"color":[303,97,50]},{"color":[125,65,50]},{"color":[110,85,50]},{"color":[237,91,50]},{"color":[209,71,50]},{"color":[179,32,50]},{"color":[167,23,50]},{"color":[39,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[139,55,50]},{"color":[80,22,50]},{"color":[336,48,50]},{"color":[105,24,50]},{"color":[188,49,50]},{"color":[329,44,50]},{"color":[121,39,50]},{"color":[280,8,50]},{"color":[335,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,49,50]},{"color":[180,94,50]},{"color":[19,7,50]},{"color":[212,66,50]},{"color":[90,32,50]},{"color":[37,38,50]},{"color":[15,29,50]},{"color":[111,78,50]},{"color":[201,12,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997958258	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,0,50]},{"color":[5,73,50]},{"color":[318,80,50]},{"color":[245,33,50]},{"color":[210,32,50]},{"color":[219,25,50]},{"color":[351,95,50]},{"color":[202,17,50]},{"color":[324,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[254,12,50]},{"color":[25,77,50]},{"color":[285,57,50]},{"color":[226,67,50]},{"color":[196,64,50]},{"color":[192,19,50]},{"color":[13,72,50]},{"color":[221,61,50]},{"color":[302,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,60,50]},{"color":[323,9,50]},{"color":[35,81,50]},{"color":[93,68,50]},{"color":[57,16,50]},{"color":[330,55,50]},{"color":[52,78,50]},{"color":[314,41,50]},{"color":[210,34,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997983693	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,15,50]},{"color":[169,12,50]},{"color":[342,46,50]},{"color":[4,13,50]},{"color":[179,35,50]},{"color":[223,5,50]},{"color":[313,90,50]},{"color":[334,82,50]},{"color":[234,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[33,53,50]},{"color":[119,26,50]},{"color":[347,26,50]},{"color":[329,11,50]},{"color":[174,76,50]},{"color":[262,15,50]},{"color":[342,69,50]},{"color":[311,54,50]},{"color":[219,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,47,50]},{"color":[136,13,50]},{"color":[4,29,50]},{"color":[20,11,50]},{"color":[181,81,50]},{"color":[203,10,50]},{"color":[316,46,50]},{"color":[338,43,50]},{"color":[240,41,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523997996409	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,72,50]},{"color":[78,28,50]},{"color":[206,93,50]},{"color":[64,87,50]},{"color":[69,30,50]},{"color":[157,42,50]},{"color":[30,53,50]},{"color":[100,5,50]},{"color":[206,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[149,8,50]},{"color":[266,83,50]},{"color":[345,65,50]},{"color":[142,58,50]},{"color":[308,68,50]},{"color":[317,53,50]},{"color":[168,75,50]},{"color":[91,98,50]},{"color":[35,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,77,50]},{"color":[182,36,50]},{"color":[263,53,50]},{"color":[117,13,50]},{"color":[30,84,50]},{"color":[52,15,50]},{"color":[194,72,50]},{"color":[215,39,50]},{"color":[68,78,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998015975	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[335,31,50]},{"color":[134,91,50]},{"color":[136,16,50]},{"color":[186,26,50]},{"color":[289,49,50]},{"color":[22,38,50]},{"color":[24,84,50]},{"color":[312,77,50]},{"color":[189,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[44,35,50]},{"color":[174,26,50]},{"color":[71,70,50]},{"color":[262,39,50]},{"color":[231,7,50]},{"color":[88,32,50]},{"color":[47,37,50]},{"color":[234,62,50]},{"color":[115,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[278,76,50]},{"color":[317,30,50]},{"color":[310,93,50]},{"color":[333,3,50]},{"color":[143,75,50]},{"color":[158,90,50]},{"color":[211,73,50]},{"color":[82,93,50]},{"color":[225,24,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998032037	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[25,66,50]},{"color":[233,94,50]},{"color":[288,43,50]},{"color":[75,77,50]},{"color":[250,7,50]},{"color":[123,76,50]},{"color":[300,39,50]},{"color":[139,0,50]},{"color":[326,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[25,50,50]},{"color":[280,75,50]},{"color":[264,36,50]},{"color":[89,84,50]},{"color":[359,17,50]},{"color":[100,66,50]},{"color":[200,13,50]},{"color":[294,7,50]},{"color":[298,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[260,82,50]},{"color":[163,5,50]},{"color":[65,85,50]},{"color":[166,80,50]},{"color":[46,72,50]},{"color":[343,26,50]},{"color":[47,29,50]},{"color":[104,26,50]},{"color":[50,1,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998099978	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,14,50]},{"color":[133,10,50]},{"color":[312,77,50]},{"color":[185,24,50]},{"color":[324,32,50]},{"color":[84,99,50]},{"color":[126,83,50]},{"color":[54,65,50]},{"color":[139,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,43,50]},{"color":[278,5,50]},{"color":[47,67,50]},{"color":[323,27,50]},{"color":[53,36,50]},{"color":[214,25,50]},{"color":[52,22,50]},{"color":[169,36,50]},{"color":[279,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,29,50]},{"color":[53,13,50]},{"color":[336,21,50]},{"color":[177,47,50]},{"color":[301,22,50]},{"color":[71,83,50]},{"color":[156,91,50]},{"color":[69,22,50]},{"color":[160,76,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998127596	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,87,50]},{"color":[220,32,50]},{"color":[336,65,50]},{"color":[66,47,50]},{"color":[162,1,50]},{"color":[139,83,50]},{"color":[45,77,50]},{"color":[213,1,50]},{"color":[248,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,26,50]},{"color":[255,47,50]},{"color":[323,62,50]},{"color":[69,79,50]},{"color":[120,4,50]},{"color":[144,58,50]},{"color":[43,97,50]},{"color":[261,6,50]},{"color":[260,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[177,84,50]},{"color":[268,49,50]},{"color":[315,70,50]},{"color":[61,97,50]},{"color":[303,2,50]},{"color":[104,81,50]},{"color":[31,85,50]},{"color":[208,23,50]},{"color":[238,86,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998153735	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[73,60,50]},{"color":[105,64,50]},{"color":[113,42,50]},{"color":[37,79,50]},{"color":[146,74,50]},{"color":[10,5,50]},{"color":[95,78,50]},{"color":[83,82,50]},{"color":[98,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[52,83,50]},{"color":[108,80,50]},{"color":[107,79,50]},{"color":[44,26,50]},{"color":[76,39,50]},{"color":[106,0,50]},{"color":[63,75,50]},{"color":[72,86,50]},{"color":[65,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[70,77,50]},{"color":[140,48,50]},{"color":[157,76,50]},{"color":[53,52,50]},{"color":[76,82,50]},{"color":[181,7,50]},{"color":[80,60,50]},{"color":[145,89,50]},{"color":[84,83,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998223412	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[98,48,50]},{"color":[321,55,50]},{"color":[194,26,50]},{"color":[99,55,50]},{"color":[162,48,50]},{"color":[211,76,50]},{"color":[152,29,50]},{"color":[42,56,50]},{"color":[105,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[336,83,50]},{"color":[238,72,50]},{"color":[288,91,50]},{"color":[208,73,50]},{"color":[18,15,50]},{"color":[26,15,50]},{"color":[350,70,50]},{"color":[263,12,50]},{"color":[310,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[73,28,50]},{"color":[292,55,50]},{"color":[158,8,50]},{"color":[143,53,50]},{"color":[153,37,50]},{"color":[219,62,50]},{"color":[60,6,50]},{"color":[57,48,50]},{"color":[145,85,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998272377	14	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,20,50]},{"color":[57,16,50]},{"color":[157,52,50]},{"color":[43,51,50]},{"color":[207,20,50]},{"color":[337,62,50]},{"color":[97,68,50]},{"color":[126,95,50]},{"color":[284,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,53,50]},{"color":[41,38,50]},{"color":[177,97,50]},{"color":[64,50,50]},{"color":[206,99,50]},{"color":[344,29,50]},{"color":[163,95,50]},{"color":[75,44,50]},{"color":[268,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[144,21,50]},{"color":[50,59,50]},{"color":[169,47,50]},{"color":[55,66,50]},{"color":[209,38,50]},{"color":[351,48,50]},{"color":[94,95,50]},{"color":[90,43,50]},{"color":[253,93,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6327-c8039526-d991-43c6-8688-8888a32d3901	1523998298686	15	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[276,56,50]},{"color":[24,64,50]},{"color":[165,69,50]},{"color":[217,90,50]},{"color":[259,68,50]},{"color":[93,34,50]},{"color":[349,43,50]},{"color":[222,32,50]},{"color":[55,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,68,50]},{"color":[246,73,50]},{"color":[274,71,50]},{"color":[358,42,50]},{"color":[185,45,50]},{"color":[183,25,50]},{"color":[79,70,50]},{"color":[174,23,50]},{"color":[170,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[183,88,50]},{"color":[268,8,50]},{"color":[327,49,50]},{"color":[100,16,50]},{"color":[241,1,50]},{"color":[225,99,50]},{"color":[92,12,50]},{"color":[33,22,50]},{"color":[323,54,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
