eventType	type	gameid	time	roundNum	state
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000028514	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[164,15,50]},{"color":[243,30,50]},{"color":[86,67,50]},{"color":[144,24,50]},{"color":[119,25,50]},{"color":[200,38,50]},{"color":[143,56,50]},{"color":[41,39,50]},{"color":[292,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,17,50]},{"color":[293,47,50]},{"color":[126,55,50]},{"color":[149,40,50]},{"color":[143,9,50]},{"color":[196,50,50]},{"color":[175,70,50]},{"color":[41,52,50]},{"color":[295,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,5,50]},{"color":[153,0,50]},{"color":[243,9,50]},{"color":[45,28,50]},{"color":[287,85,50]},{"color":[0,52,50]},{"color":[290,43,50]},{"color":[263,43,50]},{"color":[147,91,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000066328	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,40,50]},{"color":[223,44,50]},{"color":[335,47,50]},{"color":[88,11,50]},{"color":[22,87,50]},{"color":[164,54,50]},{"color":[37,32,50]},{"color":[101,87,50]},{"color":[155,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,45,50]},{"color":[77,23,50]},{"color":[15,16,50]},{"color":[153,95,50]},{"color":[150,8,50]},{"color":[261,75,50]},{"color":[313,92,50]},{"color":[228,20,50]},{"color":[45,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,16,50]},{"color":[313,63,50]},{"color":[130,96,50]},{"color":[294,23,50]},{"color":[277,36,50]},{"color":[132,85,50]},{"color":[200,36,50]},{"color":[94,32,50]},{"color":[290,46,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000087076	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,0,50]},{"color":[116,15,50]},{"color":[151,46,50]},{"color":[193,98,50]},{"color":[246,34,50]},{"color":[241,28,50]},{"color":[81,80,50]},{"color":[248,29,50]},{"color":[149,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[88,96,50]},{"color":[127,81,50]},{"color":[28,95,50]},{"color":[107,89,50]},{"color":[319,15,50]},{"color":[76,62,50]},{"color":[247,23,50]},{"color":[121,53,50]},{"color":[167,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,40,50]},{"color":[312,19,50]},{"color":[329,73,50]},{"color":[325,63,50]},{"color":[187,51,50]},{"color":[207,95,50]},{"color":[47,41,50]},{"color":[206,94,50]},{"color":[234,27,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000121864	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,46,50]},{"color":[344,97,50]},{"color":[12,3,50]},{"color":[182,53,50]},{"color":[150,93,50]},{"color":[250,71,50]},{"color":[11,78,50]},{"color":[98,73,50]},{"color":[81,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[46,84,50]},{"color":[176,74,50]},{"color":[50,92,50]},{"color":[112,8,50]},{"color":[304,26,50]},{"color":[165,62,50]},{"color":[184,64,50]},{"color":[75,4,50]},{"color":[223,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[165,74,50]},{"color":[196,4,50]},{"color":[115,42,50]},{"color":[47,97,50]},{"color":[209,72,50]},{"color":[303,84,50]},{"color":[100,4,50]},{"color":[261,41,50]},{"color":[84,83,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000159704	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[46,40,50]},{"color":[71,83,50]},{"color":[151,70,50]},{"color":[241,15,50]},{"color":[247,38,50]},{"color":[112,35,50]},{"color":[122,96,50]},{"color":[70,18,50]},{"color":[73,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[53,67,50]},{"color":[122,85,50]},{"color":[97,91,50]},{"color":[293,16,50]},{"color":[286,72,50]},{"color":[79,60,50]},{"color":[154,81,50]},{"color":[62,9,50]},{"color":[122,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[120,24,50]},{"color":[205,12,50]},{"color":[175,38,50]},{"color":[51,68,50]},{"color":[102,43,50]},{"color":[284,50,50]},{"color":[254,21,50]},{"color":[131,88,50]},{"color":[7,98,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000200088	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[64,82,50]},{"color":[183,55,50]},{"color":[102,24,50]},{"color":[116,43,50]},{"color":[293,55,50]},{"color":[260,0,50]},{"color":[4,82,50]},{"color":[301,78,50]},{"color":[325,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[87,79,50]},{"color":[165,74,50]},{"color":[49,27,50]},{"color":[150,50,50]},{"color":[257,54,50]},{"color":[95,6,50]},{"color":[1,28,50]},{"color":[314,95,50]},{"color":[33,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,4,50]},{"color":[308,35,50]},{"color":[157,2,50]},{"color":[310,51,50]},{"color":[149,4,50]},{"color":[220,36,50]},{"color":[219,60,50]},{"color":[221,37,50]},{"color":[227,40,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000218153	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,51,50]},{"color":[36,61,50]},{"color":[55,33,50]},{"color":[333,2,50]},{"color":[229,49,50]},{"color":[29,92,50]},{"color":[305,73,50]},{"color":[130,38,50]},{"color":[358,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[73,74,50]},{"color":[269,78,50]},{"color":[227,32,50]},{"color":[29,56,50]},{"color":[47,43,50]},{"color":[95,83,50]},{"color":[71,38,50]},{"color":[82,89,50]},{"color":[128,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[299,78,50]},{"color":[45,77,50]},{"color":[53,48,50]},{"color":[171,6,50]},{"color":[283,30,50]},{"color":[22,57,50]},{"color":[293,72,50]},{"color":[98,33,50]},{"color":[16,54,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000256900	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[29,26,50]},{"color":[135,21,50]},{"color":[17,67,50]},{"color":[51,49,50]},{"color":[16,46,50]},{"color":[46,12,50]},{"color":[76,59,50]},{"color":[262,30,50]},{"color":[144,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[278,84,50]},{"color":[321,58,50]},{"color":[345,38,50]},{"color":[269,23,50]},{"color":[46,31,50]},{"color":[297,20,50]},{"color":[25,56,50]},{"color":[148,37,50]},{"color":[202,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,65,50]},{"color":[107,74,50]},{"color":[209,15,50]},{"color":[151,18,50]},{"color":[144,98,50]},{"color":[93,42,50]},{"color":[138,27,50]},{"color":[24,4,50]},{"color":[68,43,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000308306	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[28,32,50]},{"color":[82,29,50]},{"color":[90,53,50]},{"color":[229,17,50]},{"color":[326,83,50]},{"color":[51,21,50]},{"color":[261,84,50]},{"color":[140,34,50]},{"color":[98,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,15,50]},{"color":[93,43,50]},{"color":[159,74,50]},{"color":[226,9,50]},{"color":[322,45,50]},{"color":[42,9,50]},{"color":[284,69,50]},{"color":[127,47,50]},{"color":[67,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[347,4,50]},{"color":[59,57,50]},{"color":[97,81,50]},{"color":[299,12,50]},{"color":[319,73,50]},{"color":[143,6,50]},{"color":[270,70,50]},{"color":[68,25,50]},{"color":[106,32,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6242-49130cee-e2e7-4f18-bb62-991472d41eee	1524000361384	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,56,50]},{"color":[29,80,50]},{"color":[233,11,50]},{"color":[19,41,50]},{"color":[21,39,50]},{"color":[107,25,50]},{"color":[292,72,50]},{"color":[349,69,50]},{"color":[330,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,57,50]},{"color":[27,23,50]},{"color":[232,24,50]},{"color":[19,88,50]},{"color":[14,82,50]},{"color":[152,38,50]},{"color":[307,40,50]},{"color":[342,34,50]},{"color":[280,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,98,50]},{"color":[28,46,50]},{"color":[210,13,50]},{"color":[30,61,50]},{"color":[358,71,50]},{"color":[105,48,50]},{"color":[291,26,50]},{"color":[6,51,50]},{"color":[248,11,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
