eventType	gameid	time	roundNum	obj
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576188858	1	{"type":"Utterance","sender":"speaker","contents":"The one with purple on the top corners ","time":1523576188858}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576252781	2	{"type":"Utterance","sender":"speaker","contents":"the middle section going across is dark blue, light, blue bright orange","time":1523576252781}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576315972	3	{"type":"Utterance","sender":"speaker","contents":"It's the one with the brightest purple in the top right corner","time":1523576315972}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576357003	4	{"type":"Utterance","sender":"speaker","contents":"a bright yellowish color is the top left corner","time":1523576357003}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576425667	5	{"type":"Utterance","sender":"speaker","contents":"the bottom row is turquoise blue, brown/orange, yellowish","time":1523576425667}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576469901	6	{"type":"Utterance","sender":"speaker","contents":"bottom row is pink purple and reddish","time":1523576469901}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576485344	6	{"type":"Utterance","sender":"speaker","contents":"not in that order ","time":1523576485344}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576509733	7	{"type":"Utterance","sender":"speaker","contents":"top row is green, blue, brown","time":1523576509733}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576559463	8	{"type":"Utterance","sender":"speaker","contents":"bottom row is green yellow pinkish","time":1523576559463}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576622726	9	{"type":"Utterance","sender":"speaker","contents":"The third column is green and then two purples that are very close in color","time":1523576622726}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576664781	10	{"type":"Utterance","sender":"speaker","contents":"top row is purple grey and yellow","time":1523576664781}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576710426	11	{"type":"Utterance","sender":"speaker","contents":"top row is blue, bright red, bright green","time":1523576710426}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576761155	12	{"type":"Utterance","sender":"speaker","contents":"bottom right corner is the brightest yellow","time":1523576761155}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576803579	13	{"type":"Utterance","sender":"speaker","contents":"top row is purple, red, orange/red","time":1523576803579}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576859248	14	{"type":"Utterance","sender":"speaker","contents":"top row is green blue grey","time":1523576859248}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576888884	15	{"type":"Utterance","sender":"speaker","contents":"the middle box is yellow","time":1523576888884}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576916409	16	{"type":"Utterance","sender":"speaker","contents":"the middle box is blue","time":1523576916409}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576958800	17	{"type":"Utterance","sender":"speaker","contents":"top row is blue, green, pink","time":1523576958800}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577015804	18	{"type":"Utterance","sender":"speaker","contents":"top row is blue and grey at the corners","time":1523577015804}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577073868	19	{"type":"Utterance","sender":"speaker","contents":"left column is blue, blue, light blue","time":1523577073868}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577126123	20	{"type":"Utterance","sender":"speaker","contents":"bright blue at the top right corner","time":1523577126123}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577153385	21	{"type":"Utterance","sender":"speaker","contents":"bottom right corner is red","time":1523577153385}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577198970	22	{"type":"Utterance","sender":"speaker","contents":"middle square is purple","time":1523577198970}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577233011	23	{"type":"Utterance","sender":"speaker","contents":"bottom left square is bright pink","time":1523577233011}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577254313	24	{"type":"Utterance","sender":"speaker","contents":"bottom left corner is bright green","time":1523577254313}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577276452	25	{"type":"Utterance","sender":"speaker","contents":"top right corner is red","time":1523577276452}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577316807	26	{"type":"Utterance","sender":"speaker","contents":"middle row is orange grey and green in that order","time":1523577316807}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577350151	27	{"type":"Utterance","sender":"speaker","contents":"bottom row is purple, green, pink","time":1523577350151}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577436997	28	{"type":"Utterance","sender":"speaker","contents":"middle square is a dark green","time":1523577436997}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577466217	29	{"type":"Utterance","sender":"speaker","contents":"top left corner is green","time":1523577466217}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577507444	30	{"type":"Utterance","sender":"speaker","contents":"top row is grey yellow pink","time":1523577507444}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577551157	31	{"type":"Utterance","sender":"speaker","contents":"middle row is yellow, pink, purple","time":1523577551157}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577588045	32	{"type":"Utterance","sender":"speaker","contents":"middle square is bright red","time":1523577588045}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577638463	33	{"type":"Utterance","sender":"speaker","contents":"top row is yellow, reddish, and bright blue","time":1523577638463}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577678225	34	{"type":"Utterance","sender":"speaker","contents":"top left corner is bright green","time":1523577678225}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577720540	35	{"type":"Utterance","sender":"speaker","contents":"bottom left and right corner are green","time":1523577720540}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577757784	36	{"type":"Utterance","sender":"speaker","contents":"middle square is blue","time":1523577757784}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577780937	37	{"type":"Utterance","sender":"speaker","contents":"middle square is bright purple","time":1523577780937}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577843213	38	{"type":"Utterance","sender":"speaker","contents":"middle row is purple on the sides, pink in middle","time":1523577843213}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577883218	39	{"type":"Utterance","sender":"speaker","contents":"middle square is bright red","time":1523577883218}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577914523	40	{"type":"Utterance","sender":"speaker","contents":"middle square is light blue","time":1523577914523}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577937057	40	{"type":"Utterance","sender":"listener","contents":"is the top right blue too?","time":1523577937057}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577957456	40	{"type":"Utterance","sender":"speaker","contents":"yes","time":1523577957456}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578002820	41	{"type":"Utterance","sender":"speaker","contents":"bottom row is bright red, grey, grey","time":1523578002820}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578066959	42	{"type":"Utterance","sender":"speaker","contents":"top row is blue orange purple","time":1523578066959}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578111887	43	{"type":"Utterance","sender":"speaker","contents":"top row is purple, blue, orange","time":1523578111887}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578152569	44	{"type":"Utterance","sender":"speaker","contents":"bottom right corner is grey","time":1523578152569}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578249978	45	{"type":"Utterance","sender":"speaker","contents":"left column is mustard, purple, grey; top row middle is bright green","time":1523578249978}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578299140	46	{"type":"Utterance","sender":"speaker","contents":"middle square is brown","time":1523578299140}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578334930	47	{"type":"Utterance","sender":"speaker","contents":"bottom row is bright blue, purple, yellow","time":1523578334930}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578387484	48	{"type":"Utterance","sender":"speaker","contents":"top left corner is bright blue","time":1523578387484}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578445827	49	{"type":"Utterance","sender":"speaker","contents":"bottome right corner is the brightest red/pink; middle square is bright blue","time":1523578445827}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578510464	50	{"type":"Utterance","sender":"speaker","contents":"oh boy","time":1523578510464}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578557921	50	{"type":"Utterance","sender":"speaker","contents":"middle row is blue dark green/grey and a lighter purple","time":1523578557921}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578600642	51	{"type":"Utterance","sender":"speaker","contents":"middle row is bright green, grey, brown","time":1523578600642}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578613156	51	{"type":"Utterance","sender":"speaker","contents":"bottom right corner is purple","time":1523578613156}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578639341	52	{"type":"Utterance","sender":"speaker","contents":"middle square is bright green","time":1523578639341}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578669082	53	{"type":"Utterance","sender":"speaker","contents":"middle square is bright blue","time":1523578669082}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578702846	54	{"type":"Utterance","sender":"speaker","contents":"top left square is bright green","time":1523578702846}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578723039	55	{"type":"Utterance","sender":"speaker","contents":"top left square is pink","time":1523578723039}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578744797	56	{"type":"Utterance","sender":"speaker","contents":"middle square is not blue","time":1523578744797}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578809469	57	{"type":"Utterance","sender":"speaker","contents":"middle column is orange, light green like a sea foam green, orange","time":1523578809469}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578888473	57	{"type":"Utterance","sender":"listener","contents":"bright oranges?","time":1523578888473}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578897287	57	{"type":"Utterance","sender":"speaker","contents":"yes","time":1523578897287}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578936552	58	{"type":"Utterance","sender":"speaker","contents":"top left corner is grey","time":1523578936552}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578973624	59	{"type":"Utterance","sender":"speaker","contents":"middle row is grey, blue, yellow","time":1523578973624}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578994761	60	{"type":"Utterance","sender":"speaker","contents":"that was my bad","time":1523578994761}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523579022879	60	{"type":"Utterance","sender":"listener","contents":"no worries","time":1523579022879}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523579062596	60	{"type":"Utterance","sender":"speaker","contents":"middle row ends with a bright green","time":1523579062596}
utterance	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523579073317	60	{"type":"Utterance","sender":"speaker","contents":"middle isn't purple but pinkish","time":1523579073317}
