eventType	gameid	time	roundNum	obj
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654193417	1	{"type":"Utterance","sender":"listener","contents":"hello","time":1523654193417}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654229065	1	{"type":"Utterance","sender":"speaker","contents":"Hello","time":1523654229065}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654251837	1	{"type":"Utterance","sender":"speaker","contents":"The one your looking for had yellow in the top right","time":1523654251837}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654257411	1	{"type":"Utterance","sender":"speaker","contents":"has","time":1523654257411}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654272591	2	{"type":"Utterance","sender":"speaker","contents":"red on the right in middle","time":1523654272591}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654305046	3	{"type":"Utterance","sender":"speaker","contents":"blue in bottom left","time":1523654305046}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654326779	4	{"type":"Utterance","sender":"speaker","contents":"red on top","time":1523654326779}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654339356	5	{"type":"Utterance","sender":"speaker","contents":"pink top middle","time":1523654339356}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654356448	6	{"type":"Utterance","sender":"speaker","contents":"purple in middle top","time":1523654356448}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654370625	7	{"type":"Utterance","sender":"listener","contents":"with green on right top","time":1523654370625}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654390524	7	{"type":"Utterance","sender":"listener","contents":"yellow in corner","time":1523654390524}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654401045	7	{"type":"Utterance","sender":"speaker","contents":"sorry about that, this ones red in middle top","time":1523654401045}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654422057	7	{"type":"Utterance","sender":"listener","contents":"woah","time":1523654422057}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654429862	7	{"type":"Utterance","sender":"listener","contents":"im seriously delusional","time":1523654429862}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654435780	7	{"type":"Utterance","sender":"listener","contents":"why did i think i was the speaker","time":1523654435780}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654454637	8	{"type":"Utterance","sender":"speaker","contents":"blue on left  top","time":1523654454637}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654471406	8	{"type":"Utterance","sender":"listener","contents":"doing the same thing getting ready to type earlier","time":1523654471406}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654491269	9	{"type":"Utterance","sender":"speaker","contents":"green top middle","time":1523654491269}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654503384	10	{"type":"Utterance","sender":"speaker","contents":"pink top left","time":1523654503384}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654537170	11	{"type":"Utterance","sender":"speaker","contents":"lighter brown on top with two blue on the right","time":1523654537170}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654614568	11	{"type":"Utterance","sender":"speaker","contents":"purple on the left middle","time":1523654614568}
utterance	9335-e74f76e9-037b-4200-b6fe-da45c3f544bd	1523654659857	11	{"type":"Utterance","sender":"speaker","contents":"Still there?","time":1523654659857}
