eventType	gameid	time	roundNum	obj
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655627817	1	{"type":"Utterance","sender":"speaker","contents":"left top corner darker purple","time":1523655627817}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655647978	2	{"type":"Utterance","sender":"speaker","contents":"bright pink in top row","time":1523655647978}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655678533	3	{"type":"Utterance","sender":"speaker","contents":"orange, left middle","time":1523655678533}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655709189	4	{"type":"Utterance","sender":"speaker","contents":"sea green in the middle","time":1523655709189}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655737208	5	{"type":"Utterance","sender":"speaker","contents":"burnt orange left middle","time":1523655737208}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655765753	6	{"type":"Utterance","sender":"speaker","contents":"dark green right middle","time":1523655765753}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655796824	7	{"type":"Utterance","sender":"speaker","contents":"dark blue left middle","time":1523655796824}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655829211	8	{"type":"Utterance","sender":"speaker","contents":"greyish blue in the middle","time":1523655829211}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655844267	9	{"type":"Utterance","sender":"speaker","contents":"purple in middle","time":1523655844267}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655864077	10	{"type":"Utterance","sender":"speaker","contents":"royal blue middle","time":1523655864077}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655882373	11	{"type":"Utterance","sender":"speaker","contents":"bluish midldle","time":1523655882373}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655912214	12	{"type":"Utterance","sender":"speaker","contents":"middle = red, blue, green","time":1523655912214}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655932795	13	{"type":"Utterance","sender":"speaker","contents":"mostly greens","time":1523655932795}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655999549	14	{"type":"Utterance","sender":"speaker","contents":"two of the same grey on right side","time":1523655999549}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656025646	15	{"type":"Utterance","sender":"speaker","contents":"to of the same pinks on left, top and bottom","time":1523656025646}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656045922	16	{"type":"Utterance","sender":"speaker","contents":"2 same blue bottom row","time":1523656045922}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656070225	17	{"type":"Utterance","sender":"speaker","contents":"green middle bottom","time":1523656070225}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656087575	18	{"type":"Utterance","sender":"speaker","contents":"orange middle","time":1523656087575}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656122598	19	{"type":"Utterance","sender":"speaker","contents":"pink gray blue middle","time":1523656122598}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656144875	20	{"type":"Utterance","sender":"speaker","contents":"bright greens right side","time":1523656144875}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656166853	21	{"type":"Utterance","sender":"speaker","contents":"pink middle","time":1523656166853}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656195411	22	{"type":"Utterance","sender":"speaker","contents":"lime green top left corner","time":1523656195411}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656237051	23	{"type":"Utterance","sender":"speaker","contents":"middle, grass green gold teal","time":1523656237051}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656266285	24	{"type":"Utterance","sender":"speaker","contents":"purple lower left corner","time":1523656266285}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656283396	25	{"type":"Utterance","sender":"speaker","contents":"yellow top right ","time":1523656283396}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656296133	26	{"type":"Utterance","sender":"speaker","contents":"orange bottom right","time":1523656296133}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656309225	27	{"type":"Utterance","sender":"speaker","contents":"brown top left","time":1523656309225}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656338293	28	{"type":"Utterance","sender":"speaker","contents":"red tan grey = middle","time":1523656338293}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656352326	29	{"type":"Utterance","sender":"speaker","contents":"yellow top right","time":1523656352326}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656392328	30	{"type":"Utterance","sender":"speaker","contents":"royal blue,  brown, grass green = middle","time":1523656392328}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656417053	31	{"type":"Utterance","sender":"speaker","contents":"blue middle right","time":1523656417053}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656434757	32	{"type":"Utterance","sender":"speaker","contents":"bright red top row","time":1523656434757}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656450026	33	{"type":"Utterance","sender":"speaker","contents":"bright pink middle","time":1523656450026}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656463354	34	{"type":"Utterance","sender":"speaker","contents":"sky blue middle","time":1523656463354}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656482625	35	{"type":"Utterance","sender":"speaker","contents":"olive green middle","time":1523656482625}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656510278	36	{"type":"Utterance","sender":"speaker","contents":"two reds & khaki, top row","time":1523656510278}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656524554	37	{"type":"Utterance","sender":"speaker","contents":"orange middle","time":1523656524554}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656558980	38	{"type":"Utterance","sender":"speaker","contents":"grey between sea greens, middle","time":1523656558980}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656583181	39	{"type":"Utterance","sender":"speaker","contents":"purple middle","time":1523656583181}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656606392	40	{"type":"Utterance","sender":"speaker","contents":"teal right lower corner","time":1523656606392}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656625029	41	{"type":"Utterance","sender":"speaker","contents":"brown top left corner","time":1523656625029}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656649516	42	{"type":"Utterance","sender":"speaker","contents":"square of 4 greens","time":1523656649516}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656693060	43	{"type":"Utterance","sender":"speaker","contents":"middle darker purple, gray light purple","time":1523656693060}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656735624	44	{"type":"Utterance","sender":"speaker","contents":"brighter yellow, lower left corner","time":1523656735624}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656750728	45	{"type":"Utterance","sender":"speaker","contents":"bright pink middle","time":1523656750728}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656772212	46	{"type":"Utterance","sender":"speaker","contents":"two sky blue stacked, middle","time":1523656772212}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656796076	47	{"type":"Utterance","sender":"speaker","contents":"two purple stacked left (same purple)","time":1523656796076}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656819135	48	{"type":"Utterance","sender":"speaker","contents":"greyish blue middle","time":1523656819135}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656833654	49	{"type":"Utterance","sender":"speaker","contents":"light green middle","time":1523656833654}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656843841	50	{"type":"Utterance","sender":"speaker","contents":"red middle","time":1523656843841}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656852916	51	{"type":"Utterance","sender":"speaker","contents":"bright pink middle","time":1523656852916}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656878861	52	{"type":"Utterance","sender":"speaker","contents":"purple bottom middle","time":1523656878861}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656894116	53	{"type":"Utterance","sender":"speaker","contents":"blue top left corner","time":1523656894116}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656906381	54	{"type":"Utterance","sender":"speaker","contents":"pink top left corner","time":1523656906381}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656924131	55	{"type":"Utterance","sender":"speaker","contents":"gold middle bottom","time":1523656924131}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656938227	56	{"type":"Utterance","sender":"speaker","contents":"red bottom right corner","time":1523656938227}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656974924	57	{"type":"Utterance","sender":"speaker","contents":"top middle dark purple","time":1523656974924}
utterance	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656991515	58	{"type":"Utterance","sender":"speaker","contents":"top middle bright green","time":1523656991515}
