eventType	gameid	time	roundNum	obj
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665225285	1	{"type":"Utterance","sender":"speaker","contents":"most colorful one","time":1523665225285}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665259571	2	{"type":"Utterance","sender":"speaker","contents":"colors across middle are yellowish, green/gray and a tan ","time":1523665259571}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665289106	3	{"type":"Utterance","sender":"speaker","contents":"colors on middle are blue-gray orange and gray","time":1523665289106}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665310542	4	{"type":"Utterance","sender":"speaker","contents":"bottom left color is purple","time":1523665310542}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665332479	5	{"type":"Utterance","sender":"speaker","contents":"lets always say the color in the bottom left to be faster","time":1523665332479}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665337235	5	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523665337235}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665358415	6	{"type":"Utterance","sender":"speaker","contents":"bottom left it is.~~~~~~darker green","time":1523665358415}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665367006	7	{"type":"Utterance","sender":"speaker","contents":"skly blue","time":1523665367006}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665368187	7	{"type":"Utterance","sender":"speaker","contents":"sky","time":1523665368187}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665380240	8	{"type":"Utterance","sender":"speaker","contents":"gray","time":1523665380240}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665388482	9	{"type":"Utterance","sender":"speaker","contents":"darker blue","time":1523665388482}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665413759	10	{"type":"Utterance","sender":"speaker","contents":"brighter purple","time":1523665413759}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665425029	11	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523665425029}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665433986	12	{"type":"Utterance","sender":"speaker","contents":"brown","time":1523665433986}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665444312	13	{"type":"Utterance","sender":"speaker","contents":"bright orangey","time":1523665444312}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665460321	14	{"type":"Utterance","sender":"speaker","contents":"greenish gray","time":1523665460321}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665485986	15	{"type":"Utterance","sender":"speaker","contents":"middle in terms of brightness orange","time":1523665485986}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665517334	16	{"type":"Utterance","sender":"speaker","contents":"grayish darker blue","time":1523665517334}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665532076	17	{"type":"Utterance","sender":"speaker","contents":"brighter blue","time":1523665532076}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665549507	18	{"type":"Utterance","sender":"speaker","contents":"bluer one","time":1523665549507}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665561614	19	{"type":"Utterance","sender":"speaker","contents":"more blue one","time":1523665561614}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665571142	20	{"type":"Utterance","sender":"speaker","contents":"gray","time":1523665571142}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665581498	21	{"type":"Utterance","sender":"speaker","contents":"greenish blue","time":1523665581498}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665610422	22	{"type":"Utterance","sender":"speaker","contents":"darker gray with purple middle","time":1523665610422}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665626886	23	{"type":"Utterance","sender":"speaker","contents":"second brightest green","time":1523665626886}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665630840	23	{"type":"Utterance","sender":"speaker","contents":"darker","time":1523665630840}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665651086	24	{"type":"Utterance","sender":"speaker","contents":"dark purpley blue","time":1523665651086}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665690717	25	{"type":"Utterance","sender":"speaker","contents":"not the brown one but the gray that looks like it is mixed with brown","time":1523665690717}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665715949	26	{"type":"Utterance","sender":"speaker","contents":"gray","time":1523665715949}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665725878	27	{"type":"Utterance","sender":"speaker","contents":"pink","time":1523665725878}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665740366	28	{"type":"Utterance","sender":"speaker","contents":"purple","time":1523665740366}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665749646	29	{"type":"Utterance","sender":"speaker","contents":"gray","time":1523665749646}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665767180	30	{"type":"Utterance","sender":"speaker","contents":"gray","time":1523665767180}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665785123	31	{"type":"Utterance","sender":"speaker","contents":"dark purple","time":1523665785123}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665796720	32	{"type":"Utterance","sender":"speaker","contents":"brown","time":1523665796720}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665805059	33	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523665805059}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665823096	34	{"type":"Utterance","sender":"speaker","contents":"red","time":1523665823096}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665832632	35	{"type":"Utterance","sender":"speaker","contents":"greener","time":1523665832632}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665841946	36	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523665841946}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665849216	37	{"type":"Utterance","sender":"speaker","contents":"pink","time":1523665849216}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665863194	38	{"type":"Utterance","sender":"speaker","contents":"brown","time":1523665863194}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665876949	39	{"type":"Utterance","sender":"speaker","contents":"green with purple on the bottom right","time":1523665876949}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665898355	40	{"type":"Utterance","sender":"speaker","contents":"brighter green with lighter blue in middle","time":1523665898355}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665914125	41	{"type":"Utterance","sender":"speaker","contents":"green with blue on bottom right","time":1523665914125}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665945579	42	{"type":"Utterance","sender":"speaker","contents":"grayish green with bright blue on bottom middle","time":1523665945579}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665966952	43	{"type":"Utterance","sender":"speaker","contents":"blue with sky blue on top left","time":1523665966952}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665982801	44	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523665982801}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523665999961	45	{"type":"Utterance","sender":"speaker","contents":"purple with gray on top of it","time":1523665999961}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666019797	46	{"type":"Utterance","sender":"speaker","contents":"lighter green","time":1523666019797}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666028533	47	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523666028533}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666050158	48	{"type":"Utterance","sender":"speaker","contents":"blue gray with light green right next to it ","time":1523666050158}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666074772	49	{"type":"Utterance","sender":"speaker","contents":"brown with lighter pink in middle","time":1523666074772}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666099407	50	{"type":"Utterance","sender":"speaker","contents":"purple w/ orange bottom middle","time":1523666099407}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666119651	51	{"type":"Utterance","sender":"speaker","contents":"orange with lighter green bottom right","time":1523666119651}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666151794	52	{"type":"Utterance","sender":"speaker","contents":"greenish gray with a seafoam green middle right","time":1523666151794}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666164690	53	{"type":"Utterance","sender":"speaker","contents":"darker green bottom left","time":1523666164690}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666175092	54	{"type":"Utterance","sender":"speaker","contents":"brown","time":1523666175092}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666183117	55	{"type":"Utterance","sender":"speaker","contents":"orange","time":1523666183117}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666205894	56	{"type":"Utterance","sender":"speaker","contents":"darker purple with brighter red above it","time":1523666205894}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666223302	57	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523666223302}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666253727	58	{"type":"Utterance","sender":"speaker","contents":"gray with brightest yellow green middle right","time":1523666253727}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666270952	59	{"type":"Utterance","sender":"speaker","contents":"brown","time":1523666270952}
utterance	5670-ddb8e63c-03d3-41df-a6e0-79f2fb3e82ab	1523666289924	60	{"type":"Utterance","sender":"speaker","contents":"gray with the lighter green above it","time":1523666289924}
