eventType	gameid	time	roundNum	obj
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667564117	1	{"type":"Utterance","sender":"speaker","contents":"Are you ready to begin?","time":1523667564117}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667570050	1	{"type":"Utterance","sender":"listener","contents":"yes.","time":1523667570050}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667606564	1	{"type":"Utterance","sender":"speaker","contents":"dusky blue square in the top right corner","time":1523667606564}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667672154	2	{"type":"Utterance","sender":"speaker","contents":"Brighter pinks and purple square.","time":1523667672154}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667703316	3	{"type":"Utterance","sender":"speaker","contents":"brightest overall with no gray squares","time":1523667703316}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667754088	4	{"type":"Utterance","sender":"speaker","contents":"two bright putple squares and one grey square","time":1523667754088}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667804548	5	{"type":"Utterance","sender":"speaker","contents":"bright blue in the top middle with duller colors overall","time":1523667804548}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667843986	6	{"type":"Utterance","sender":"speaker","contents":"three bright red square and a bright green square","time":1523667843986}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667867040	7	{"type":"Utterance","sender":"speaker","contents":"mostly purple squares but only one gray","time":1523667867040}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667930330	8	{"type":"Utterance","sender":"speaker","contents":"two blue squares and four purple and greay squares","time":1523667930330}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667960262	9	{"type":"Utterance","sender":"speaker","contents":"brightest with pinks and reds","time":1523667960262}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667996686	10	{"type":"Utterance","sender":"speaker","contents":"green-blue square in the middle and bright pink and purple squares","time":1523667996686}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668037511	11	{"type":"Utterance","sender":"speaker","contents":"square with brightest green in the center","time":1523668037511}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668085412	12	{"type":"Utterance","sender":"speaker","contents":"three blue square and one dark purple square","time":1523668085412}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668158529	13	{"type":"Utterance","sender":"speaker","contents":"square with the brightest green in lower left corner with the brightest line green in the top middle","time":1523668158529}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668225241	14	{"type":"Utterance","sender":"speaker","contents":"two purple-pink squares with a dark blue square","time":1523668225241}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668272947	15	{"type":"Utterance","sender":"speaker","contents":"bright orange-y red square in the top left corner and a purply-pink square on the top right","time":1523668272947}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668311407	16	{"type":"Utterance","sender":"speaker","contents":"orange square, gold square, and red square","time":1523668311407}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668367428	17	{"type":"Utterance","sender":"speaker","contents":"bright pink on top left, brightest green/yellow in the bottom center","time":1523668367428}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668445429	18	{"type":"Utterance","sender":"speaker","contents":"orange square, red square, and green square in center","time":1523668445429}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668498828	19	{"type":"Utterance","sender":"speaker","contents":"the most green square in the center and a blue center left","time":1523668498828}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668557103	20	{"type":"Utterance","sender":"speaker","contents":"gold square in corner, bright green square in center, and bright yellow-green square in upper corner","time":1523668557103}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668580581	21	{"type":"Utterance","sender":"speaker","contents":"darkest purple blue in center","time":1523668580581}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668621518	22	{"type":"Utterance","sender":"speaker","contents":"yellow square in betweet two green squares.  there is a magenta square in the corner","time":1523668621518}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668653357	23	{"type":"Utterance","sender":"speaker","contents":"brightest orange in the lower right","time":1523668653357}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668721842	24	{"type":"Utterance","sender":"speaker","contents":"darker purple square in center.  There is a darker blue square below it and a mint green square next to the blue~~~","time":1523668721842}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668814705	25	{"type":"Utterance","sender":"speaker","contents":"bottom line - mid purple, bright yellow-green, mid green","time":1523668814705}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668871264	26	{"type":"Utterance","sender":"speaker","contents":"bright red square and golden orange square.  there is a grey square in the center~~~","time":1523668871264}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668898576	27	{"type":"Utterance","sender":"speaker","contents":"bright yellow in center","time":1523668898576}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668973045	28	{"type":"Utterance","sender":"speaker","contents":"bright yellow in one corner and blue-green in corner.  brighter green box to left of center square~~~","time":1523668973045}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669020385	29	{"type":"Utterance","sender":"speaker","contents":"brightest red square top left corner, brightest blue in left bottom corner","time":1523669020385}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669067226	30	{"type":"Utterance","sender":"speaker","contents":"bgith pink box in one corner and golden yellow in another corner.  blue-green box in center~~~","time":1523669067226}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669127225	31	{"type":"Utterance","sender":"speaker","contents":"red top left corner","time":1523669127225}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669181316	32	{"type":"Utterance","sender":"speaker","contents":"brightes yellow square to the left of the center square.  two purple boxes in upper corners~~~","time":1523669181316}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669216188	33	{"type":"Utterance","sender":"speaker","contents":"brightest pink in center, brightest red middle center","time":1523669216188}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669252253	34	{"type":"Utterance","sender":"speaker","contents":"bottom row is green boxes and green in center.  pink box to the right of the center","time":1523669252253}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669305668	35	{"type":"Utterance","sender":"speaker","contents":"brownish in center, lime green middle right, two blues on either side on bottom row","time":1523669305668}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669345274	36	{"type":"Utterance","sender":"speaker","contents":"green boxes on left side and bright pink box to right of center.  The center is purple~~~","time":1523669345274}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669406699	37	{"type":"Utterance","sender":"speaker","contents":"dull purple-ish squares to the left, olive green in center, bright blue top right","time":1523669406699}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669473589	38	{"type":"Utterance","sender":"speaker","contents":"green box in center with orange box to the right.  pink box center bottom row~~~  brownish box in upper corner","time":1523669473589}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669515630	39	{"type":"Utterance","sender":"speaker","contents":"purple top left, pink in center, yellow-green top center","time":1523669515630}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669561712	40	{"type":"Utterance","sender":"speaker","contents":"two brighter yellow boxes and bright orange box in center.  Dark purple and blue boxes~~~","time":1523669561712}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669626359	41	{"type":"Utterance","sender":"speaker","contents":"two grey and a purple on top, bright purple right of center, dull gold left bottom","time":1523669626359}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669694149	42	{"type":"Utterance","sender":"speaker","contents":"burhg orange-red box in one bottom corner and grey box in other bottom corner. Middle row is green~~~","time":1523669694149}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669706747	42	{"type":"Utterance","sender":"speaker","contents":"bright orange-red box","time":1523669706747}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669748097	43	{"type":"Utterance","sender":"speaker","contents":"blue-green in top right, green in top left, center is purple","time":1523669748097}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669810471	44	{"type":"Utterance","sender":"speaker","contents":"brown box in upper corner and red box below it.  bright light blue box and purple box in center~~~","time":1523669810471}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669853516	45	{"type":"Utterance","sender":"speaker","contents":"blue top right, purple below it, orange in middle left","time":1523669853516}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669935319	46	{"type":"Utterance","sender":"speaker","contents":"two bright pink boxes and a purple box make up the center row.  grey box in upper right corner","time":1523669935319}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523669972570	47	{"type":"Utterance","sender":"speaker","contents":"two pinks and a blue on the bottom","time":1523669972570}
utterance	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523670051955	48	{"type":"Utterance","sender":"speaker","contents":"light brown box in lower corner.  purple box in center and bright green box to the left~~~  grey box in upper left corner","time":1523670051955}
