eventType	gameid	time	roundNum	obj
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924386927	1	{"type":"Utterance","sender":"speaker","contents":"top row from left to right blue orange purple","time":1523924386927}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924409206	2	{"type":"Utterance","sender":"speaker","contents":"top row is blue red gold","time":1523924409206}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924429715	3	{"type":"Utterance","sender":"speaker","contents":"bright red green olive","time":1523924429715}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924448416	4	{"type":"Utterance","sender":"speaker","contents":"center tile is bright green","time":1523924448416}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924470272	5	{"type":"Utterance","sender":"speaker","contents":"top right corner is bright blue","time":1523924470272}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924486255	6	{"type":"Utterance","sender":"speaker","contents":"middle tile is orange","time":1523924486255}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924509700	7	{"type":"Utterance","sender":"speaker","contents":"top row is all shades of green","time":1523924509700}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924532938	8	{"type":"Utterance","sender":"speaker","contents":"Top row is teal, dark green, light green ","time":1523924532938}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924564968	9	{"type":"Utterance","sender":"speaker","contents":"top row blue, gray, dark purple","time":1523924564968}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924588944	10	{"type":"Utterance","sender":"speaker","contents":"top row purple blue orange","time":1523924588944}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924605936	11	{"type":"Utterance","sender":"speaker","contents":"top row aqua, blue, lime green","time":1523924605936}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924625378	12	{"type":"Utterance","sender":"speaker","contents":"top is yellow purple red ","time":1523924625378}
utterance	6287-05c4b490-4e6a-4849-b2c3-b788fab7f84b	1523924644429	13	{"type":"Utterance","sender":"speaker","contents":"top row purple, greenish blue, green","time":1523924644429}
