eventType	gameid	time	roundNum	obj
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924563929	1	{"type":"Utterance","sender":"speaker","contents":"there is a green square in the upper left corner","time":1523924563929}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924607972	2	{"type":"Utterance","sender":"speaker","contents":"there is a red block top left cornor","time":1523924607972}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924684021	3	{"type":"Utterance","sender":"speaker","contents":"The top row is bright purple, gray and some weird grayish purple color.","time":1523924684021}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924704602	3	{"type":"Utterance","sender":"listener","contents":"dont see that ","time":1523924704602}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924736213	3	{"type":"Utterance","sender":"speaker","contents":"Bottom left corner is a bright green and the bottom right corner is the same bright green","time":1523924736213}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924807737	4	{"type":"Utterance","sender":"speaker","contents":"top blocks are dark blue,lightblue ,purple","time":1523924807737}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924845921	5	{"type":"Utterance","sender":"speaker","contents":"Center blocks are purple, bright green and brown.","time":1523924845921}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924928385	6	{"type":"Utterance","sender":"speaker","contents":"top blocks are blue, grayish redish  and the bottom left is a greenish block","time":1523924928385}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924977628	7	{"type":"Utterance","sender":"speaker","contents":"Center block is grey.  There is a pink block on the left and a greenish block on the right~~~","time":1523924977628}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925060031	8	{"type":"Utterance","sender":"speaker","contents":"has mostly greenish blocks a pink block bottom left cornor","time":1523925060031}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925128425	9	{"type":"Utterance","sender":"speaker","contents":"Mostly green blocks with a bright blue block center right","time":1523925128425}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925191572	10	{"type":"Utterance","sender":"speaker","contents":"yellow block center roll far right ","time":1523925191572}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925214766	11	{"type":"Utterance","sender":"speaker","contents":"Bright green center box","time":1523925214766}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925260516	12	{"type":"Utterance","sender":"speaker","contents":"top blocks center is red ","time":1523925260516}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925293189	13	{"type":"Utterance","sender":"speaker","contents":"Lower right corner is gray.  ","time":1523925293189}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925332387	14	{"type":"Utterance","sender":"speaker","contents":"top roll far right block is orange","time":1523925332387}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925368211	15	{"type":"Utterance","sender":"speaker","contents":"Top left corner is yellow gold.","time":1523925368211}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925419619	16	{"type":"Utterance","sender":"speaker","contents":"middle roll  far right block is dark blue ","time":1523925419619}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925473687	17	{"type":"Utterance","sender":"speaker","contents":"Top right corner is purple.  The block below that is yellowish","time":1523925473687}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925598720	18	{"type":"Utterance","sender":"speaker","contents":"first and second roll on the left the first blocks are purple they look the same color","time":1523925598720}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925658061	19	{"type":"Utterance","sender":"speaker","contents":"Left row top to bottom is green, dark green, bright green.","time":1523925658061}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925761006	20	{"type":"Utterance","sender":"speaker","contents":"far right block is greenish top roll","time":1523925761006}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925773678	20	{"type":"Utterance","sender":"speaker","contents":"yellow under it","time":1523925773678}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925827155	21	{"type":"Utterance","sender":"speaker","contents":"Bottom row center is a bright blue with red to the left and greenish to the right.","time":1523925827155}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925910973	22	{"type":"Utterance","sender":"speaker","contents":"bottom roll purple yellow yellow","time":1523925910973}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925943648	23	{"type":"Utterance","sender":"speaker","contents":"Center square is yellow gold.","time":1523925943648}
utterance	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925989268	24	{"type":"Utterance","sender":"speaker","contents":"top roll left block is redish","time":1523925989268}
