eventType	gameid	time	roundNum	obj
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989231064	1	{"type":"Utterance","sender":"speaker","contents":"One that has red","time":1523989231064}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989234352	1	{"type":"Utterance","sender":"speaker","contents":"very bright red","time":1523989234352}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989252730	2	{"type":"Utterance","sender":"speaker","contents":"purple on top of orange","time":1523989252730}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989260072	2	{"type":"Utterance","sender":"listener","contents":"we dont have the same arrangement","time":1523989260072}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989285488	3	{"type":"Utterance","sender":"speaker","contents":"or maybe we do","time":1523989285488}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989298684	3	{"type":"Utterance","sender":"listener","contents":"they just aren't in the same order","time":1523989298684}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989304551	3	{"type":"Utterance","sender":"speaker","contents":"purple on top of yellow","time":1523989304551}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989337997	4	{"type":"Utterance","sender":"speaker","contents":"washed out colors none bright","time":1523989337997}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989363114	5	{"type":"Utterance","sender":"speaker","contents":"blue in the center","time":1523989363114}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989395649	6	{"type":"Utterance","sender":"speaker","contents":"pale blue in upper left corner","time":1523989395649}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989426607	6	{"type":"Utterance","sender":"listener","contents":"neon green on its right?","time":1523989426607}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989434877	6	{"type":"Utterance","sender":"speaker","contents":"no","time":1523989434877}
utterance	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989451735	7	{"type":"Utterance","sender":"speaker","contents":"my bad","time":1523989451735}
