eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576198777	1	{"lClicked":0,"mouseX":173,"mouseY":148,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576260272	2	{"lClicked":1,"mouseX":454,"mouseY":175,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576324507	3	{"lClicked":0,"mouseX":193,"mouseY":141,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576362602	4	{"lClicked":2,"mouseX":756,"mouseY":165,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576433381	5	{"lClicked":2,"mouseX":777,"mouseY":213,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576486605	6	{"lClicked":0,"mouseX":82,"mouseY":86,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576533676	7	{"lClicked":1,"mouseX":454,"mouseY":130,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576565274	8	{"lClicked":1,"mouseX":463,"mouseY":204,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576643536	9	{"lClicked":2,"mouseX":788,"mouseY":178,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576674506	10	{"lClicked":2,"mouseX":763,"mouseY":128,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576717668	11	{"lClicked":2,"mouseX":800,"mouseY":154,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576764421	12	{"lClicked":0,"mouseX":143,"mouseY":163,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576820952	13	{"lClicked":2,"mouseX":790,"mouseY":117,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576863945	14	{"lClicked":0,"mouseX":147,"mouseY":93,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576897235	15	{"lClicked":2,"mouseX":801,"mouseY":163,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576930160	16	{"lClicked":2,"mouseX":747,"mouseY":152,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576965569	17	{"lClicked":0,"mouseX":213,"mouseY":162,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577019389	18	{"lClicked":1,"mouseX":411,"mouseY":122,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577086107	19	{"lClicked":1,"mouseX":475,"mouseY":162,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577130247	20	{"lClicked":0,"mouseX":155,"mouseY":171,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577157766	21	{"lClicked":1,"mouseX":491,"mouseY":188,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577202409	22	{"lClicked":2,"mouseX":778,"mouseY":143,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577237637	23	{"lClicked":1,"mouseX":419,"mouseY":155,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577258454	24	{"lClicked":1,"mouseX":396,"mouseY":136,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577282675	25	{"lClicked":1,"mouseX":517,"mouseY":169,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577324383	26	{"lClicked":2,"mouseX":826,"mouseY":152,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577359623	27	{"lClicked":2,"mouseX":725,"mouseY":207,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577443057	28	{"lClicked":1,"mouseX":464,"mouseY":169,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577477413	29	{"lClicked":0,"mouseX":181,"mouseY":216,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577520940	30	{"lClicked":1,"mouseX":437,"mouseY":130,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577570153	31	{"lClicked":0,"mouseX":201,"mouseY":197,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577595505	32	{"lClicked":2,"mouseX":788,"mouseY":133,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577655744	33	{"lClicked":2,"mouseX":769,"mouseY":161,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577683558	34	{"lClicked":1,"mouseX":373,"mouseY":122,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577729952	35	{"lClicked":0,"mouseX":203,"mouseY":187,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577764641	36	{"lClicked":0,"mouseX":140,"mouseY":133,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577787858	37	{"lClicked":0,"mouseX":190,"mouseY":166,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577851731	38	{"lClicked":1,"mouseX":442,"mouseY":177,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577894048	39	{"lClicked":2,"mouseX":698,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523577963574	40	{"lClicked":1,"mouseX":532,"mouseY":143,"condition":{"name":"FAR"}}
action	ActionColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523578011600	41	{"lClicked":0,"mouseX":203,"mouseY":141,"condition":{"name":"CLOSE"}}
