eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652052531	1	{"lClicked":2,"mouseX":773,"mouseY":175,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652071978	2	{"lClicked":1,"mouseX":442,"mouseY":128,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652089698	3	{"lClicked":0,"mouseX":249,"mouseY":66,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652112647	4	{"lClicked":2,"mouseX":731,"mouseY":155,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652125111	5	{"lClicked":1,"mouseX":389,"mouseY":80,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652142472	6	{"lClicked":0,"mouseX":148,"mouseY":115,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652156761	7	{"lClicked":0,"mouseX":188,"mouseY":120,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652174552	8	{"lClicked":2,"mouseX":685,"mouseY":189,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652195031	9	{"lClicked":2,"mouseX":725,"mouseY":97,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652217582	10	{"lClicked":0,"mouseX":237,"mouseY":148,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652230431	11	{"lClicked":2,"mouseX":647,"mouseY":79,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652253996	12	{"lClicked":1,"mouseX":354,"mouseY":79,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652279942	13	{"lClicked":2,"mouseX":681,"mouseY":70,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652294181	14	{"lClicked":2,"mouseX":663,"mouseY":141,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652305997	15	{"lClicked":0,"mouseX":175,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652326228	16	{"lClicked":2,"mouseX":685,"mouseY":108,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652348964	17	{"lClicked":0,"mouseX":188,"mouseY":96,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652379282	18	{"lClicked":1,"mouseX":406,"mouseY":110,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652396960	19	{"lClicked":1,"mouseX":423,"mouseY":205,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652411571	20	{"lClicked":1,"mouseX":452,"mouseY":143,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652431628	21	{"lClicked":0,"mouseX":178,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652441975	22	{"lClicked":2,"mouseX":695,"mouseY":107,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652457735	23	{"lClicked":2,"mouseX":679,"mouseY":107,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652474068	24	{"lClicked":1,"mouseX":414,"mouseY":89,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652513843	25	{"lClicked":2,"mouseX":669,"mouseY":126,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652527680	26	{"lClicked":2,"mouseX":716,"mouseY":105,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652544739	27	{"lClicked":2,"mouseX":640,"mouseY":128,"condition":{"name":"FAR"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652566900	28	{"lClicked":1,"mouseX":471,"mouseY":192,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7799-8cb6d719-9f1e-4b63-91d7-826e3674f528	1523652585082	29	{"lClicked":2,"mouseX":736,"mouseY":141,"condition":{"name":"FAR"}}
