eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665211904	1	{"lClicked":1,"mouseX":513,"mouseY":166,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665238172	2	{"lClicked":0,"mouseX":168,"mouseY":224,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665249042	3	{"lClicked":1,"mouseX":487,"mouseY":129,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665288874	4	{"lClicked":0,"mouseX":256,"mouseY":70,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665308084	5	{"lClicked":0,"mouseX":147,"mouseY":111,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665357735	6	{"lClicked":1,"mouseX":490,"mouseY":141,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665376263	7	{"lClicked":1,"mouseX":529,"mouseY":185,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665415797	8	{"lClicked":0,"mouseX":149,"mouseY":137,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665430600	9	{"lClicked":0,"mouseX":182,"mouseY":124,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665488917	10	{"lClicked":0,"mouseX":162,"mouseY":164,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665526462	11	{"lClicked":2,"mouseX":762,"mouseY":122,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665549181	12	{"lClicked":1,"mouseX":495,"mouseY":151,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665596050	13	{"lClicked":1,"mouseX":448,"mouseY":156,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665622588	14	{"lClicked":2,"mouseX":840,"mouseY":168,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665634484	15	{"lClicked":1,"mouseX":470,"mouseY":107,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665679429	16	{"lClicked":1,"mouseX":486,"mouseY":158,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665702978	17	{"lClicked":0,"mouseX":116,"mouseY":153,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665754237	18	{"lClicked":0,"mouseX":185,"mouseY":169,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665785488	19	{"lClicked":0,"mouseX":164,"mouseY":184,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665808956	20	{"lClicked":1,"mouseX":437,"mouseY":177,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665824677	21	{"lClicked":1,"mouseX":505,"mouseY":139,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665845236	22	{"lClicked":1,"mouseX":444,"mouseY":80,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665868537	23	{"lClicked":2,"mouseX":714,"mouseY":219,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665942722	24	{"lClicked":1,"mouseX":503,"mouseY":126,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666016812	25	{"lClicked":2,"mouseX":721,"mouseY":128,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666084412	26	{"lClicked":2,"mouseX":709,"mouseY":195,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666104628	27	{"lClicked":2,"mouseX":775,"mouseY":154,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666132686	28	{"lClicked":2,"mouseX":799,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666193570	29	{"lClicked":1,"mouseX":464,"mouseY":147,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666232827	30	{"lClicked":1,"mouseX":418,"mouseY":53,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666273123	31	{"lClicked":0,"mouseX":206,"mouseY":161,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666316504	32	{"lClicked":2,"mouseX":739,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666336942	33	{"lClicked":0,"mouseX":207,"mouseY":154,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666368367	34	{"lClicked":2,"mouseX":790,"mouseY":177,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666381538	35	{"lClicked":0,"mouseX":191,"mouseY":94,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666435422	36	{"lClicked":1,"mouseX":442,"mouseY":238,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666451220	37	{"lClicked":2,"mouseX":806,"mouseY":152,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666476344	38	{"lClicked":1,"mouseX":448,"mouseY":96,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666491709	39	{"lClicked":0,"mouseX":139,"mouseY":120,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666530894	40	{"lClicked":1,"mouseX":415,"mouseY":117,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666545387	41	{"lClicked":0,"mouseX":210,"mouseY":245,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666568756	42	{"lClicked":2,"mouseX":813,"mouseY":120,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666584888	43	{"lClicked":1,"mouseX":522,"mouseY":162,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666637673	44	{"lClicked":1,"mouseX":474,"mouseY":250,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666656565	45	{"lClicked":2,"mouseX":780,"mouseY":172,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666715908	46	{"lClicked":1,"mouseX":510,"mouseY":186,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666732689	47	{"lClicked":1,"mouseX":497,"mouseY":194,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666754032	48	{"lClicked":0,"mouseX":177,"mouseY":150,"condition":{"name":"FAR"}}
action	ActionColorGrid	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523666768782	49	{"lClicked":0,"mouseX":167,"mouseY":139,"condition":{"name":"CLOSE"}}
