eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665583642	1	{"lClicked":2,"mouseX":701,"mouseY":176,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665604736	2	{"lClicked":1,"mouseX":404,"mouseY":192,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665622618	3	{"lClicked":2,"mouseX":753,"mouseY":174,"condition":{"name":"FAR"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665643997	4	{"lClicked":1,"mouseX":458,"mouseY":131,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665663202	5	{"lClicked":2,"mouseX":724,"mouseY":151,"condition":{"name":"FAR"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665675268	6	{"lClicked":0,"mouseX":168,"mouseY":145,"condition":{"name":"FAR"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665691475	7	{"lClicked":2,"mouseX":806,"mouseY":208,"condition":{"name":"FAR"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665701597	8	{"lClicked":2,"mouseX":752,"mouseY":129,"condition":{"name":"FAR"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665717387	9	{"lClicked":1,"mouseX":430,"mouseY":117,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665730046	10	{"lClicked":1,"mouseX":510,"mouseY":149,"condition":{"name":"FAR"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665744543	11	{"lClicked":0,"mouseX":167,"mouseY":130,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665753748	12	{"lClicked":0,"mouseX":210,"mouseY":82,"condition":{"name":"FAR"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665803292	13	{"lClicked":0,"mouseX":91,"mouseY":117,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665821175	14	{"lClicked":2,"mouseX":783,"mouseY":189,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665841749	15	{"lClicked":1,"mouseX":477,"mouseY":125,"condition":{"name":"FAR"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665854823	16	{"lClicked":2,"mouseX":737,"mouseY":190,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665908405	17	{"lClicked":2,"mouseX":737,"mouseY":113,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9343-8287585f-0c67-4e71-a8fc-c0b840487ee1	1523665922435	18	{"lClicked":1,"mouseX":458,"mouseY":108,"condition":{"name":"SPLIT"}}
