eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721345342	1	{"lClicked":0,"mouseX":202,"mouseY":155,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721378113	2	{"lClicked":1,"mouseX":522,"mouseY":73,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721406820	3	{"lClicked":0,"mouseX":197,"mouseY":137,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721423512	4	{"lClicked":1,"mouseX":506,"mouseY":179,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721452583	5	{"lClicked":0,"mouseX":135,"mouseY":163,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721486385	6	{"lClicked":0,"mouseX":175,"mouseY":189,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721511577	7	{"lClicked":1,"mouseX":475,"mouseY":153,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721544863	8	{"lClicked":2,"mouseX":746,"mouseY":145,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721557319	9	{"lClicked":2,"mouseX":737,"mouseY":191,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721581663	10	{"lClicked":1,"mouseX":393,"mouseY":170,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721614957	11	{"lClicked":1,"mouseX":449,"mouseY":194,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721631905	12	{"lClicked":2,"mouseX":691,"mouseY":121,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721652992	13	{"lClicked":2,"mouseX":779,"mouseY":168,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721695281	14	{"lClicked":1,"mouseX":513,"mouseY":140,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721747021	15	{"lClicked":1,"mouseX":418,"mouseY":200,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721789293	16	{"lClicked":0,"mouseX":191,"mouseY":149,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721808915	17	{"lClicked":1,"mouseX":521,"mouseY":186,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721830243	18	{"lClicked":2,"mouseX":713,"mouseY":86,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721850501	19	{"lClicked":1,"mouseX":425,"mouseY":195,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721864353	20	{"lClicked":1,"mouseX":457,"mouseY":153,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721875339	21	{"lClicked":0,"mouseX":145,"mouseY":153,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721898877	22	{"lClicked":0,"mouseX":95,"mouseY":112,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721914752	23	{"lClicked":2,"mouseX":808,"mouseY":145,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721930886	24	{"lClicked":1,"mouseX":511,"mouseY":82,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721967119	25	{"lClicked":2,"mouseX":799,"mouseY":215,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523721990315	26	{"lClicked":2,"mouseX":718,"mouseY":90,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523722023373	27	{"lClicked":0,"mouseX":220,"mouseY":209,"condition":{"name":"FAR"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523722062012	28	{"lClicked":0,"mouseX":264,"mouseY":85,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523722081665	29	{"lClicked":0,"mouseX":138,"mouseY":156,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0881-f78c506e-05cf-483f-b592-b5df7667a5df	1523722115831	30	{"lClicked":0,"mouseX":240,"mouseY":122,"condition":{"name":"CLOSE"}}
