eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838470819	1	{"lClicked":0,"mouseX":194,"mouseY":176,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838499163	2	{"lClicked":0,"mouseX":180,"mouseY":158,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838523288	3	{"lClicked":1,"mouseX":514,"mouseY":190,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838560132	4	{"lClicked":1,"mouseX":475,"mouseY":159,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838576940	5	{"lClicked":0,"mouseX":144,"mouseY":184,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838592117	6	{"lClicked":1,"mouseX":467,"mouseY":184,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838606587	7	{"lClicked":2,"mouseX":794,"mouseY":178,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838623436	8	{"lClicked":0,"mouseX":161,"mouseY":86,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838639322	9	{"lClicked":2,"mouseX":772,"mouseY":148,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838654093	10	{"lClicked":0,"mouseX":178,"mouseY":58,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838675415	11	{"lClicked":0,"mouseX":117,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838685084	12	{"lClicked":0,"mouseX":221,"mouseY":160,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838712354	13	{"lClicked":2,"mouseX":823,"mouseY":203,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838728630	14	{"lClicked":0,"mouseX":194,"mouseY":106,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838749482	15	{"lClicked":2,"mouseX":776,"mouseY":137,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838775237	16	{"lClicked":2,"mouseX":799,"mouseY":161,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838794888	17	{"lClicked":1,"mouseX":436,"mouseY":131,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838811604	18	{"lClicked":1,"mouseX":496,"mouseY":61,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838836432	19	{"lClicked":2,"mouseX":698,"mouseY":149,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838856919	20	{"lClicked":0,"mouseX":241,"mouseY":184,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838872028	21	{"lClicked":0,"mouseX":183,"mouseY":148,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838888892	22	{"lClicked":1,"mouseX":463,"mouseY":127,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838904009	23	{"lClicked":2,"mouseX":788,"mouseY":167,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838923893	24	{"lClicked":1,"mouseX":400,"mouseY":113,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838936941	25	{"lClicked":0,"mouseX":160,"mouseY":141,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838952880	26	{"lClicked":2,"mouseX":783,"mouseY":163,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838973936	27	{"lClicked":0,"mouseX":172,"mouseY":162,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838986460	28	{"lClicked":1,"mouseX":474,"mouseY":184,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839003711	29	{"lClicked":1,"mouseX":422,"mouseY":161,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839038999	30	{"lClicked":0,"mouseX":268,"mouseY":167,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839058479	31	{"lClicked":2,"mouseX":683,"mouseY":121,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839076893	32	{"lClicked":2,"mouseX":757,"mouseY":152,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839091107	33	{"lClicked":1,"mouseX":458,"mouseY":123,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839115309	34	{"lClicked":0,"mouseX":143,"mouseY":163,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839136198	35	{"lClicked":0,"mouseX":171,"mouseY":146,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839148021	36	{"lClicked":0,"mouseX":213,"mouseY":157,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839167423	37	{"lClicked":0,"mouseX":173,"mouseY":152,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839194833	38	{"lClicked":2,"mouseX":791,"mouseY":139,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839205062	39	{"lClicked":0,"mouseX":181,"mouseY":108,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839236996	40	{"lClicked":2,"mouseX":714,"mouseY":168,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839264537	41	{"lClicked":0,"mouseX":169,"mouseY":123,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839312214	42	{"lClicked":0,"mouseX":193,"mouseY":163,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839327922	43	{"lClicked":1,"mouseX":435,"mouseY":146,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839343439	44	{"lClicked":2,"mouseX":708,"mouseY":191,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839355712	45	{"lClicked":0,"mouseX":173,"mouseY":136,"condition":{"name":"FAR"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839372074	46	{"lClicked":1,"mouseX":537,"mouseY":205,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839385631	47	{"lClicked":0,"mouseX":198,"mouseY":131,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839416374	48	{"lClicked":1,"mouseX":456,"mouseY":179,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523839435558	49	{"lClicked":2,"mouseX":799,"mouseY":193,"condition":{"name":"FAR"}}
