eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899666873	1	{"lClicked":0,"mouseX":191,"mouseY":76,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899716208	2	{"lClicked":1,"mouseX":431,"mouseY":133,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899761338	3	{"lClicked":2,"mouseX":681,"mouseY":169,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899900673	4	{"lClicked":1,"mouseX":435,"mouseY":93,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899995419	5	{"lClicked":0,"mouseX":224,"mouseY":94,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900030749	6	{"lClicked":1,"mouseX":431,"mouseY":79,"condition":{"name":"FAR"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900146401	7	{"lClicked":2,"mouseX":746,"mouseY":87,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900272161	8	{"lClicked":2,"mouseX":754,"mouseY":156,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900344449	9	{"lClicked":0,"mouseX":167,"mouseY":31,"condition":{"name":"FAR"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900361042	10	{"lClicked":0,"mouseX":207,"mouseY":74,"condition":{"name":"FAR"}}
action	ActionColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900388477	11	{"lClicked":2,"mouseX":727,"mouseY":100,"condition":{"name":"SPLIT"}}
