eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897772931	1	{"lClicked":0,"mouseX":238,"mouseY":65,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897791796	2	{"lClicked":2,"mouseX":750,"mouseY":172,"condition":{"name":"FAR"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897816625	3	{"lClicked":1,"mouseX":451,"mouseY":213,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897867032	4	{"lClicked":1,"mouseX":460,"mouseY":208,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897885660	5	{"lClicked":0,"mouseX":81,"mouseY":191,"condition":{"name":"FAR"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897902376	6	{"lClicked":1,"mouseX":422,"mouseY":135,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897927027	7	{"lClicked":0,"mouseX":226,"mouseY":152,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897940829	8	{"lClicked":0,"mouseX":150,"mouseY":126,"condition":{"name":"FAR"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897953510	9	{"lClicked":2,"mouseX":711,"mouseY":115,"condition":{"name":"FAR"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898004171	10	{"lClicked":0,"mouseX":141,"mouseY":188,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898027236	11	{"lClicked":2,"mouseX":700,"mouseY":207,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898058928	12	{"lClicked":2,"mouseX":800,"mouseY":106,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898098719	13	{"lClicked":0,"mouseX":228,"mouseY":108,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898152964	14	{"lClicked":2,"mouseX":750,"mouseY":199,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898175073	15	{"lClicked":1,"mouseX":559,"mouseY":93,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898206720	16	{"lClicked":2,"mouseX":823,"mouseY":238,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898232898	17	{"lClicked":1,"mouseX":471,"mouseY":108,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898260612	18	{"lClicked":2,"mouseX":847,"mouseY":89,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898296146	19	{"lClicked":2,"mouseX":776,"mouseY":181,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898374565	20	{"lClicked":0,"mouseX":171,"mouseY":163,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898401044	21	{"lClicked":1,"mouseX":485,"mouseY":206,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898426634	22	{"lClicked":1,"mouseX":468,"mouseY":205,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898442856	23	{"lClicked":1,"mouseX":513,"mouseY":168,"condition":{"name":"SPLIT"}}
