eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988214701	1	{"lClicked":1,"mouseX":473,"mouseY":161,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988249325	2	{"lClicked":2,"mouseX":704,"mouseY":136,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988297159	3	{"lClicked":0,"mouseX":243,"mouseY":199,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988336253	4	{"lClicked":0,"mouseX":169,"mouseY":103,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988367833	5	{"lClicked":0,"mouseX":155,"mouseY":129,"condition":{"name":"FAR"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988419025	6	{"lClicked":1,"mouseX":463,"mouseY":151,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988450793	7	{"lClicked":0,"mouseX":147,"mouseY":155,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988577381	8	{"lClicked":1,"mouseX":420,"mouseY":67,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988606036	9	{"lClicked":2,"mouseX":742,"mouseY":115,"condition":{"name":"FAR"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988619579	10	{"lClicked":2,"mouseX":757,"mouseY":117,"condition":{"name":"FAR"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988639019	11	{"lClicked":2,"mouseX":725,"mouseY":80,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988665142	12	{"lClicked":2,"mouseX":736,"mouseY":181,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988681137	13	{"lClicked":2,"mouseX":723,"mouseY":110,"condition":{"name":"FAR"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988740150	14	{"lClicked":1,"mouseX":472,"mouseY":129,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988743589	15	{"lClicked":2,"mouseX":762,"mouseY":176,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988763660	16	{"lClicked":0,"mouseX":169,"mouseY":124,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988781049	17	{"lClicked":0,"mouseX":219,"mouseY":134,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988800176	18	{"lClicked":0,"mouseX":171,"mouseY":147,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988816600	19	{"lClicked":2,"mouseX":750,"mouseY":102,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988832787	20	{"lClicked":1,"mouseX":452,"mouseY":154,"condition":{"name":"FAR"}}
