eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997640672	1	{"lClicked":1,"mouseX":466,"mouseY":146,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997680461	2	{"lClicked":2,"mouseX":794,"mouseY":180,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997710603	3	{"lClicked":2,"mouseX":785,"mouseY":164,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997782665	4	{"lClicked":2,"mouseX":747,"mouseY":115,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997831885	5	{"lClicked":0,"mouseX":160,"mouseY":163,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997876303	6	{"lClicked":2,"mouseX":758,"mouseY":40,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523997947523	7	{"lClicked":1,"mouseX":473,"mouseY":139,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998048933	8	{"lClicked":2,"mouseX":745,"mouseY":142,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998097015	9	{"lClicked":1,"mouseX":468,"mouseY":145,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998142749	10	{"lClicked":0,"mouseX":98,"mouseY":178,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998198216	11	{"lClicked":2,"mouseX":758,"mouseY":149,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998247637	12	{"lClicked":2,"mouseX":697,"mouseY":53,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998308181	13	{"lClicked":2,"mouseX":750,"mouseY":114,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998334748	14	{"lClicked":1,"mouseX":392,"mouseY":179,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998394936	15	{"lClicked":2,"mouseX":797,"mouseY":152,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998470077	16	{"lClicked":0,"mouseX":150,"mouseY":52,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998505563	17	{"lClicked":1,"mouseX":459,"mouseY":129,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998534141	18	{"lClicked":2,"mouseX":724,"mouseY":102,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998577686	19	{"lClicked":1,"mouseX":470,"mouseY":149,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998605181	20	{"lClicked":2,"mouseX":739,"mouseY":138,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998650142	21	{"lClicked":2,"mouseX":753,"mouseY":179,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998688168	22	{"lClicked":1,"mouseX":440,"mouseY":63,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998727125	23	{"lClicked":1,"mouseX":455,"mouseY":150,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998742795	24	{"lClicked":0,"mouseX":177,"mouseY":143,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998770809	25	{"lClicked":1,"mouseX":449,"mouseY":130,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998808827	26	{"lClicked":0,"mouseX":192,"mouseY":60,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998871245	27	{"lClicked":2,"mouseX":750,"mouseY":170,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998887196	28	{"lClicked":1,"mouseX":453,"mouseY":60,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998936621	29	{"lClicked":0,"mouseX":167,"mouseY":156,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523998986808	30	{"lClicked":2,"mouseX":745,"mouseY":159,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999030247	31	{"lClicked":2,"mouseX":750,"mouseY":149,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999045767	32	{"lClicked":0,"mouseX":154,"mouseY":174,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999099369	33	{"lClicked":1,"mouseX":443,"mouseY":120,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999131619	34	{"lClicked":0,"mouseX":62,"mouseY":117,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999180810	35	{"lClicked":2,"mouseX":765,"mouseY":143,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999197600	36	{"lClicked":0,"mouseX":72,"mouseY":118,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999239631	37	{"lClicked":1,"mouseX":482,"mouseY":123,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999262125	38	{"lClicked":2,"mouseX":742,"mouseY":152,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999321952	39	{"lClicked":1,"mouseX":483,"mouseY":149,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999361558	40	{"lClicked":0,"mouseX":101,"mouseY":143,"condition":{"name":"FAR"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999409804	41	{"lClicked":1,"mouseX":483,"mouseY":174,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5046-ed82846a-25d1-4105-836b-e9fa800949df	1523999436773	42	{"lClicked":2,"mouseX":736,"mouseY":152,"condition":{"name":"CLOSE"}}
