eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332252710	1	{"lClicked":2,"mouseX":798,"mouseY":110,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332284234	2	{"lClicked":1,"mouseX":519,"mouseY":185,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332301638	3	{"lClicked":1,"mouseX":492,"mouseY":118,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332323646	4	{"lClicked":0,"mouseX":70,"mouseY":151,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332338215	5	{"lClicked":0,"mouseX":127,"mouseY":169,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332353372	6	{"lClicked":1,"mouseX":422,"mouseY":251,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332371082	7	{"lClicked":0,"mouseX":170,"mouseY":137,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332411364	8	{"lClicked":2,"mouseX":786,"mouseY":161,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332436348	9	{"lClicked":1,"mouseX":438,"mouseY":111,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332476750	10	{"lClicked":0,"mouseX":178,"mouseY":100,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332530097	11	{"lClicked":2,"mouseX":744,"mouseY":162,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332556465	12	{"lClicked":2,"mouseX":701,"mouseY":74,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332623832	13	{"lClicked":1,"mouseX":446,"mouseY":153,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332649511	14	{"lClicked":1,"mouseX":457,"mouseY":227,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332666475	15	{"lClicked":2,"mouseX":689,"mouseY":168,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332683049	16	{"lClicked":1,"mouseX":440,"mouseY":134,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332702783	17	{"lClicked":0,"mouseX":229,"mouseY":141,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332715439	18	{"lClicked":0,"mouseX":124,"mouseY":112,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332734875	19	{"lClicked":1,"mouseX":470,"mouseY":166,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332780093	20	{"lClicked":0,"mouseX":68,"mouseY":166,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332817097	21	{"lClicked":1,"mouseX":475,"mouseY":141,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332842569	22	{"lClicked":1,"mouseX":380,"mouseY":160,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332873609	23	{"lClicked":1,"mouseX":464,"mouseY":167,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332888858	24	{"lClicked":0,"mouseX":254,"mouseY":171,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	7189-f0d37330-ab59-4af3-833d-275aa257f6f0	1526332911321	25	{"lClicked":0,"mouseX":172,"mouseY":140,"condition":{"name":"FAR","numDiffs":6}}
