eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332367524	1	{"lClicked":1,"mouseX":459,"mouseY":201,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332426825	2	{"lClicked":1,"mouseX":405,"mouseY":90,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332469644	3	{"lClicked":2,"mouseX":760,"mouseY":124,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332590047	4	{"lClicked":1,"mouseX":407,"mouseY":143,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332654635	5	{"lClicked":1,"mouseX":449,"mouseY":198,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332781006	6	{"lClicked":2,"mouseX":750,"mouseY":179,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332831969	7	{"lClicked":0,"mouseX":176,"mouseY":65,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332886090	8	{"lClicked":2,"mouseX":851,"mouseY":134,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526332991809	9	{"lClicked":1,"mouseX":487,"mouseY":145,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333065882	10	{"lClicked":1,"mouseX":450,"mouseY":114,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333111826	11	{"lClicked":2,"mouseX":756,"mouseY":113,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333160325	12	{"lClicked":1,"mouseX":496,"mouseY":168,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333200809	13	{"lClicked":2,"mouseX":745,"mouseY":197,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333334194	14	{"lClicked":2,"mouseX":795,"mouseY":102,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333441208	15	{"lClicked":2,"mouseX":760,"mouseY":155,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333522466	16	{"lClicked":0,"mouseX":72,"mouseY":98,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333580359	17	{"lClicked":0,"mouseX":163,"mouseY":120,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333690601	18	{"lClicked":1,"mouseX":437,"mouseY":214,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333729111	19	{"lClicked":0,"mouseX":160,"mouseY":118,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333803471	20	{"lClicked":1,"mouseX":422,"mouseY":158,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333866765	21	{"lClicked":1,"mouseX":446,"mouseY":119,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526333944001	22	{"lClicked":2,"mouseX":743,"mouseY":100,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334011862	23	{"lClicked":0,"mouseX":172,"mouseY":125,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334069531	24	{"lClicked":1,"mouseX":469,"mouseY":124,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334163149	25	{"lClicked":0,"mouseX":162,"mouseY":155,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334231853	26	{"lClicked":0,"mouseX":75,"mouseY":135,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334298845	27	{"lClicked":0,"mouseX":175,"mouseY":175,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334447295	28	{"lClicked":1,"mouseX":453,"mouseY":231,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334524812	29	{"lClicked":0,"mouseX":142,"mouseY":229,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334578380	30	{"lClicked":1,"mouseX":456,"mouseY":108,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334630219	31	{"lClicked":1,"mouseX":463,"mouseY":214,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334671983	32	{"lClicked":2,"mouseX":763,"mouseY":120,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334754690	33	{"lClicked":0,"mouseX":207,"mouseY":170,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334789525	34	{"lClicked":1,"mouseX":479,"mouseY":134,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334818307	35	{"lClicked":2,"mouseX":791,"mouseY":133,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334861044	36	{"lClicked":0,"mouseX":74,"mouseY":90,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334917650	37	{"lClicked":0,"mouseX":162,"mouseY":204,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334960117	38	{"lClicked":2,"mouseX":706,"mouseY":118,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526334982290	39	{"lClicked":0,"mouseX":252,"mouseY":118,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335019270	40	{"lClicked":1,"mouseX":502,"mouseY":105,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335072329	41	{"lClicked":2,"mouseX":760,"mouseY":151,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335109844	42	{"lClicked":2,"mouseX":733,"mouseY":165,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335133809	43	{"lClicked":1,"mouseX":360,"mouseY":123,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335171610	44	{"lClicked":0,"mouseX":254,"mouseY":82,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335207033	45	{"lClicked":0,"mouseX":232,"mouseY":102,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335305456	46	{"lClicked":1,"mouseX":500,"mouseY":90,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335342088	47	{"lClicked":2,"mouseX":742,"mouseY":129,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335424996	48	{"lClicked":0,"mouseX":223,"mouseY":170,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335469352	49	{"lClicked":1,"mouseX":464,"mouseY":229,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335559356	50	{"lClicked":1,"mouseX":422,"mouseY":117,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335597207	51	{"lClicked":1,"mouseX":466,"mouseY":194,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335647615	52	{"lClicked":0,"mouseX":198,"mouseY":154,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335707695	53	{"lClicked":2,"mouseX":735,"mouseY":188,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335789546	54	{"lClicked":1,"mouseX":426,"mouseY":142,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335826943	55	{"lClicked":0,"mouseX":146,"mouseY":107,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335880294	56	{"lClicked":0,"mouseX":228,"mouseY":170,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526335944198	57	{"lClicked":1,"mouseX":507,"mouseY":132,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526336002122	58	{"lClicked":2,"mouseX":747,"mouseY":169,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526336066678	59	{"lClicked":1,"mouseX":472,"mouseY":152,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0553-3313762d-5e5b-44a3-8faa-686f1873746d	1526336098590	60	{"lClicked":1,"mouseX":511,"mouseY":156,"condition":{"name":"SPLIT","numDiffs":4}}
