eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526332691022	1	{"lClicked":1,"mouseX":420,"mouseY":144,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526332770821	2	{"lClicked":0,"mouseX":186,"mouseY":142,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526332806406	3	{"lClicked":2,"mouseX":734,"mouseY":165,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526332824443	4	{"lClicked":1,"mouseX":452,"mouseY":102,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526332836366	5	{"lClicked":0,"mouseX":136,"mouseY":159,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333048828	6	{"lClicked":1,"mouseX":408,"mouseY":101,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333114635	7	{"lClicked":1,"mouseX":459,"mouseY":160,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333132035	8	{"lClicked":2,"mouseX":763,"mouseY":188,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333170060	9	{"lClicked":0,"mouseX":210,"mouseY":129,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333208318	10	{"lClicked":2,"mouseX":720,"mouseY":196,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333244570	11	{"lClicked":1,"mouseX":481,"mouseY":158,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333277493	12	{"lClicked":1,"mouseX":465,"mouseY":157,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333401988	13	{"lClicked":1,"mouseX":431,"mouseY":142,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333428685	14	{"lClicked":2,"mouseX":735,"mouseY":138,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333532825	15	{"lClicked":1,"mouseX":500,"mouseY":165,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333582652	16	{"lClicked":0,"mouseX":177,"mouseY":194,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333638456	17	{"lClicked":2,"mouseX":747,"mouseY":151,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333700328	18	{"lClicked":2,"mouseX":737,"mouseY":117,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	2518-654cdf37-9bd8-4e00-bef3-7c5667e79c41	1526333719347	19	{"lClicked":0,"mouseX":161,"mouseY":115,"condition":{"name":"FAR","numDiffs":7}}
