eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332726593	1	{"lClicked":1,"mouseX":367,"mouseY":76,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332786492	2	{"lClicked":0,"mouseX":172,"mouseY":132,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332811449	3	{"lClicked":2,"mouseX":701,"mouseY":101,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332893250	4	{"lClicked":1,"mouseX":426,"mouseY":95,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332956705	5	{"lClicked":0,"mouseX":178,"mouseY":71,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332990556	6	{"lClicked":2,"mouseX":762,"mouseY":124,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333058746	7	{"lClicked":1,"mouseX":452,"mouseY":91,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333091338	8	{"lClicked":0,"mouseX":136,"mouseY":144,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333178698	9	{"lClicked":1,"mouseX":399,"mouseY":184,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333215030	10	{"lClicked":2,"mouseX":791,"mouseY":150,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333248219	11	{"lClicked":2,"mouseX":709,"mouseY":126,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333288958	12	{"lClicked":0,"mouseX":123,"mouseY":118,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333321332	13	{"lClicked":1,"mouseX":392,"mouseY":76,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333359513	14	{"lClicked":1,"mouseX":473,"mouseY":99,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333433372	15	{"lClicked":2,"mouseX":741,"mouseY":147,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333450300	16	{"lClicked":1,"mouseX":447,"mouseY":130,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333475924	17	{"lClicked":2,"mouseX":792,"mouseY":146,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333526811	18	{"lClicked":2,"mouseX":782,"mouseY":132,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333554333	19	{"lClicked":2,"mouseX":714,"mouseY":85,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333577769	20	{"lClicked":2,"mouseX":770,"mouseY":158,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333610997	21	{"lClicked":1,"mouseX":390,"mouseY":50,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333648699	22	{"lClicked":1,"mouseX":443,"mouseY":114,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333688894	23	{"lClicked":0,"mouseX":150,"mouseY":70,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333708497	24	{"lClicked":0,"mouseX":154,"mouseY":104,"condition":{"name":"FAR","numDiffs":5}}
