eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333755322	1	{"lClicked":0,"mouseX":137,"mouseY":194,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333782901	2	{"lClicked":1,"mouseX":454,"mouseY":221,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333814977	3	{"lClicked":1,"mouseX":486,"mouseY":212,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333879865	4	{"lClicked":0,"mouseX":167,"mouseY":137,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333931463	5	{"lClicked":0,"mouseX":149,"mouseY":177,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333982873	6	{"lClicked":2,"mouseX":758,"mouseY":134,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334026227	7	{"lClicked":2,"mouseX":719,"mouseY":115,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334056056	8	{"lClicked":0,"mouseX":226,"mouseY":199,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334108798	9	{"lClicked":1,"mouseX":452,"mouseY":189,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334139862	10	{"lClicked":0,"mouseX":147,"mouseY":156,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334201445	11	{"lClicked":1,"mouseX":442,"mouseY":126,"condition":{"name":"SPLIT","numDiffs":3}}
