eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335560248	1	{"lClicked":0,"mouseX":199,"mouseY":114,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335607360	2	{"lClicked":1,"mouseX":446,"mouseY":119,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335662404	3	{"lClicked":2,"mouseX":698,"mouseY":174,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335694506	4	{"lClicked":1,"mouseX":429,"mouseY":154,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335731843	5	{"lClicked":1,"mouseX":444,"mouseY":193,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335761844	6	{"lClicked":2,"mouseX":764,"mouseY":114,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335805987	7	{"lClicked":1,"mouseX":470,"mouseY":204,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335832028	8	{"lClicked":1,"mouseX":449,"mouseY":197,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335856994	9	{"lClicked":1,"mouseX":462,"mouseY":157,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335899850	10	{"lClicked":0,"mouseX":154,"mouseY":119,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	8818-2ae9907b-935d-4a1c-880a-7866ebea2cff	1526335931329	11	{"lClicked":1,"mouseX":435,"mouseY":122,"condition":{"name":"FAR","numDiffs":1}}
