eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526346974701	1	{"lClicked":1,"mouseX":443,"mouseY":152,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347051805	2	{"lClicked":2,"mouseX":830,"mouseY":59,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347114775	3	{"lClicked":1,"mouseX":434,"mouseY":126,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347188528	4	{"lClicked":2,"mouseX":834,"mouseY":119,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347235216	5	{"lClicked":2,"mouseX":743,"mouseY":118,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347305275	6	{"lClicked":1,"mouseX":528,"mouseY":73,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347336237	7	{"lClicked":0,"mouseX":98,"mouseY":191,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347379058	8	{"lClicked":0,"mouseX":86,"mouseY":59,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347444913	9	{"lClicked":1,"mouseX":432,"mouseY":92,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347477934	10	{"lClicked":1,"mouseX":361,"mouseY":95,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347533283	11	{"lClicked":1,"mouseX":472,"mouseY":122,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347561810	12	{"lClicked":2,"mouseX":858,"mouseY":137,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347620294	13	{"lClicked":2,"mouseX":660,"mouseY":125,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347657919	14	{"lClicked":0,"mouseX":185,"mouseY":43,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347734031	15	{"lClicked":0,"mouseX":179,"mouseY":128,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347764487	16	{"lClicked":0,"mouseX":175,"mouseY":29,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347818554	17	{"lClicked":0,"mouseX":205,"mouseY":106,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347849460	18	{"lClicked":2,"mouseX":757,"mouseY":63,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347890441	19	{"lClicked":1,"mouseX":453,"mouseY":161,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347926407	20	{"lClicked":2,"mouseX":745,"mouseY":76,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347968466	21	{"lClicked":1,"mouseX":512,"mouseY":67,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348061623	22	{"lClicked":2,"mouseX":776,"mouseY":227,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348236129	23	{"lClicked":0,"mouseX":264,"mouseY":94,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348254483	24	{"lClicked":2,"mouseX":672,"mouseY":105,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348332779	25	{"lClicked":0,"mouseX":160,"mouseY":116,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348350497	26	{"lClicked":2,"mouseX":834,"mouseY":141,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348471301	27	{"lClicked":1,"mouseX":415,"mouseY":163,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348510395	28	{"lClicked":0,"mouseX":52,"mouseY":30,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348612734	29	{"lClicked":2,"mouseX":685,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348663706	30	{"lClicked":1,"mouseX":493,"mouseY":83,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348700040	31	{"lClicked":0,"mouseX":172,"mouseY":120,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348732420	32	{"lClicked":2,"mouseX":810,"mouseY":87,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348838388	33	{"lClicked":1,"mouseX":503,"mouseY":102,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348912420	34	{"lClicked":1,"mouseX":492,"mouseY":58,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348950580	35	{"lClicked":1,"mouseX":443,"mouseY":79,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526348966813	36	{"lClicked":1,"mouseX":415,"mouseY":49,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526349043587	37	{"lClicked":0,"mouseX":162,"mouseY":138,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526349061060	38	{"lClicked":0,"mouseX":132,"mouseY":232,"condition":{"name":"FAR","numDiffs":3}}
